uniqid_eco4,NWALT82_11_eco4,NWALT82_12_eco4,NWALT82_21_eco4,NWALT82_22_eco4,NWALT82_23_eco4,NWALT82_24_eco4,NWALT82_25_eco4,NWALT82_26_eco4,NWALT82_27_eco4,NWALT82_31_eco4,NWALT82_32_eco4,NWALT82_33_eco4,NWALT82_41_eco4,NWALT82_43_eco4,NWALT82_44_eco4,NWALT82_45_eco4,NWALT82_46_eco4,NWALT82_50_eco4,NWALT82_60_eco4,NWALT82_9999_eco4
29,2.62,0.19,1.02,1.51,0.50,0.36,0.90,3.05,1.41,0.16,0.25,0.01,0.00,55.13,14.09,0.85,7.60,10.27,0.07,0.00
30,0.00,0.01,0.12,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,2.21,0.15,0.02,0.64,90.13,6.70,0.00
31,0.94,0.61,0.64,0.15,0.01,0.02,0.00,0.37,0.31,0.00,0.41,0.00,0.00,6.64,8.60,10.81,42.68,27.79,0.01,0.00
32,0.44,0.86,0.19,0.07,0.00,0.01,0.00,0.09,0.36,0.00,0.07,0.00,0.00,63.07,4.14,1.22,8.50,20.98,0.00,0.00
33,6.83,2.95,1.03,0.90,0.29,0.17,0.52,1.37,1.23,0.36,0.23,0.03,0.01,66.84,6.98,0.19,1.00,9.10,0.01,0.00
34,0.58,0.02,0.17,0.02,0.00,0.00,0.00,0.02,0.04,0.00,0.03,0.00,0.00,2.83,1.29,0.74,19.02,75.24,0.00,0.00
35,0.41,0.05,0.19,0.01,0.05,0.00,0.01,0.02,0.12,0.00,0.02,0.02,0.00,14.44,2.33,0.20,18.00,64.06,0.07,0.00
36,0.41,0.01,0.27,0.08,0.24,0.02,0.02,0.10,0.16,0.07,0.32,0.03,0.00,7.16,3.69,0.75,51.62,34.93,0.14,0.00
37,1.01,0.02,0.70,0.53,0.19,0.08,0.30,0.66,0.92,0.00,0.18,0.04,0.00,64.54,18.93,0.42,5.52,5.94,0.01,0.00
38,0.61,0.02,0.24,0.02,0.00,0.02,0.01,0.06,0.12,0.11,0.07,0.01,0.00,5.65,2.31,0.56,47.17,42.99,0.04,0.00
39,22.04,0.08,0.12,0.02,0.02,0.01,0.00,0.00,0.01,0.01,0.00,0.02,0.06,0.03,0.24,0.01,0.08,77.25,0.00,0.00
40,0.90,0.09,0.68,0.70,0.23,0.28,0.53,1.23,0.72,0.92,1.37,0.02,0.05,0.81,3.28,1.24,6.77,80.17,0.00,0.00
41,0.03,0.78,0.90,0.04,0.03,0.00,0.00,0.10,0.25,0.00,0.03,0.01,0.00,0.76,5.55,19.21,35.84,36.48,0.00,0.00
42,0.27,0.07,0.72,0.08,0.00,1.37,0.05,0.38,0.08,0.01,0.06,0.02,0.04,2.40,2.21,0.01,1.76,88.56,1.91,0.00
43,22.80,0.02,0.39,0.02,0.00,0.04,0.00,0.00,0.01,0.00,0.00,0.00,0.03,0.00,0.02,0.00,1.17,75.50,0.00,0.00
44,0.06,0.05,0.44,0.00,0.00,0.12,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.15,0.51,0.02,5.57,93.05,0.00,0.00
45,0.17,0.04,0.18,0.03,0.04,0.01,0.00,0.02,0.04,0.01,0.03,0.02,0.01,0.74,2.11,0.09,11.84,84.61,0.00,0.00
46,0.86,0.01,0.26,0.07,0.05,0.02,0.03,0.23,0.11,0.02,0.23,0.01,0.12,1.72,4.56,0.34,11.32,80.03,0.00,0.00
47,0.01,0.00,0.06,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.04,0.00,0.11,0.01,0.10,0.03,0.52,98.84,0.25,0.00
48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,88.18,11.23,0.00
49,9.84,0.41,3.41,6.64,3.02,2.12,7.60,11.94,1.77,6.76,1.42,0.14,0.16,13.58,21.33,0.52,1.06,8.27,0.01,0.00
50,15.24,6.84,0.08,0.01,0.02,0.00,0.00,0.00,0.03,0.02,0.05,0.04,0.03,1.29,3.78,0.19,0.13,72.24,0.00,0.00
51,7.17,0.05,0.08,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.03,0.05,0.06,0.24,0.02,0.42,91.81,0.00,0.00
52,0.69,1.02,0.77,0.44,0.14,0.10,0.15,1.68,0.79,0.23,0.24,0.09,0.00,45.79,25.12,1.64,5.63,15.49,0.00,0.00
53,0.88,0.05,0.23,0.03,0.04,0.01,0.01,0.06,0.15,0.00,0.07,0.03,0.12,1.67,1.45,0.06,1.99,93.14,0.00,0.00
54,0.06,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.33,0.08,0.18,0.08,11.96,87.27,0.00,0.00
55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,1.69,98.08,0.00,0.00
56,0.17,0.22,0.16,0.04,0.01,0.01,0.01,0.09,0.18,0.00,0.10,0.02,0.36,0.27,2.27,0.60,11.82,83.67,0.00,0.00
57,0.01,0.49,0.10,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.07,3.84,0.66,1.72,93.09,0.00,0.00
58,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,97.02,2.41,0.00
59,0.01,0.11,0.21,0.01,0.00,0.00,0.00,0.01,0.03,0.00,0.01,0.01,0.02,0.12,1.32,0.09,2.67,95.32,0.07,0.00
60,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.13,0.00,0.01,0.00,0.75,97.32,1.72,0.00
61,0.01,0.01,0.09,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.05,0.02,0.23,0.04,4.65,94.89,0.01,0.00
62,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.85,98.91,0.20,0.00
63,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.37,98.85,0.75,0.00
64,0.02,0.00,0.17,0.00,0.02,0.00,0.00,0.00,0.02,0.00,0.01,0.03,0.10,0.20,0.28,0.03,0.97,97.52,0.62,0.00
65,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,1.08,97.44,1.39,0.00
66,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,99.23,0.00,0.00
67,0.01,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.01,0.00,0.01,0.02,1.78,94.16,3.86,0.00
68,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.69,70.02,29.22,0.00
69,0.03,0.12,0.24,0.03,0.01,0.00,0.01,0.05,0.13,0.00,0.09,0.05,0.06,1.50,3.48,1.08,12.83,80.28,0.00,0.00
70,0.01,0.01,0.35,0.31,0.13,0.08,0.26,0.45,0.28,0.26,0.82,0.01,0.07,0.09,0.05,0.01,3.59,91.40,1.82,0.00
71,0.03,0.00,0.05,0.01,0.00,0.01,0.00,0.01,0.02,0.00,0.06,0.00,0.03,0.00,0.01,0.00,1.74,91.28,6.74,0.00
72,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,99.74,0.02,0.00
73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.32,5.68,0.00
74,8.18,0.41,0.28,0.11,0.03,0.07,0.07,0.22,0.20,0.01,1.12,0.02,0.06,0.91,0.58,0.05,0.20,87.07,0.42,0.00
75,2.14,0.00,0.11,0.01,0.05,0.01,0.00,0.00,0.15,0.00,0.03,0.00,0.88,0.13,0.06,0.00,0.02,95.12,1.30,0.00
76,0.02,0.01,0.19,0.06,0.01,0.01,0.00,0.02,0.27,0.00,0.64,0.01,0.05,0.23,0.19,0.00,0.06,95.70,2.53,0.00
77,0.00,0.00,0.21,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.05,0.02,0.00,0.00,96.11,3.55,0.00
78,0.00,0.00,0.08,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,94.44,5.41,0.00
79,0.12,0.00,0.48,0.32,0.24,0.10,0.17,1.17,0.57,1.25,1.21,0.06,0.13,0.83,1.46,0.52,3.02,87.30,1.07,0.00
80,0.00,0.00,0.05,0.00,0.03,0.01,0.00,0.01,0.02,0.04,0.14,0.02,0.04,0.00,0.00,0.01,0.34,94.93,4.35,0.00
81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,95.45,4.10,0.00
82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
83,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,99.57,0.14,0.00
84,0.00,0.00,0.05,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.02,98.83,1.07,0.00
85,0.62,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,51.97,47.09,0.00
86,0.49,0.06,0.42,0.02,0.00,0.00,0.00,0.04,0.03,0.00,0.31,0.01,0.00,0.11,0.38,0.55,1.46,95.97,0.16,0.00
87,1.53,0.04,0.36,0.16,0.01,0.00,0.00,0.11,0.30,0.00,0.05,0.00,0.00,9.43,24.13,3.96,45.88,14.03,0.00,0.00
88,20.25,0.36,0.67,0.49,0.12,0.13,0.13,0.93,0.99,0.00,1.61,0.01,0.00,19.83,22.45,2.68,14.04,15.31,0.00,0.00
89,1.39,0.03,0.94,0.39,0.01,0.00,0.00,0.87,0.57,0.00,1.21,0.00,0.00,2.96,6.54,0.25,6.59,78.26,0.00,0.00
90,0.50,0.02,0.17,0.01,0.00,0.00,0.00,0.01,0.05,0.00,0.50,0.00,0.00,0.29,0.94,0.71,45.81,51.00,0.00,0.00
91,0.03,0.00,0.15,0.04,0.01,0.00,0.00,0.11,0.33,0.00,0.15,0.00,0.00,61.24,1.18,0.01,6.53,30.22,0.00,0.00
92,0.41,0.01,0.09,0.01,0.00,0.00,0.01,0.00,0.03,0.00,0.00,0.00,0.00,0.16,0.15,0.80,9.72,88.61,0.00,0.01
93,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.37,80.56,18.57,0.00
94,0.05,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.04,0.00,0.00,0.01,0.00,0.00,0.02,99.78,0.08,0.00
95,2.67,0.01,0.57,0.10,0.03,0.01,0.05,0.19,0.25,0.04,0.39,0.00,0.01,8.28,0.21,0.27,16.20,70.72,0.00,0.00
96,1.34,0.03,0.16,0.03,0.01,0.00,0.00,0.06,0.05,0.00,0.24,0.00,0.00,0.09,0.42,0.26,0.35,96.90,0.06,0.00
97,1.34,0.05,0.13,0.03,0.01,0.00,0.01,0.06,0.08,0.00,0.30,0.00,0.00,0.08,0.23,0.22,0.81,96.53,0.09,0.01
98,3.23,0.12,0.61,0.23,0.10,0.01,0.00,0.38,0.61,0.00,0.79,0.05,0.00,31.73,0.24,0.59,3.19,58.06,0.03,0.04
99,0.01,0.01,0.00,0.02,0.01,0.00,0.00,0.07,0.10,0.00,0.05,0.00,0.00,4.15,0.01,0.40,3.58,91.58,0.00,0.00
100,0.40,0.07,0.23,0.04,0.02,0.01,0.04,0.07,0.07,0.02,0.36,0.01,0.08,0.08,0.13,0.05,0.15,97.98,0.19,0.00
101,0.32,0.01,0.04,0.01,0.00,0.00,0.00,0.01,0.02,0.00,0.01,0.00,0.00,0.04,0.08,0.05,0.06,96.47,2.88,0.00
102,0.68,0.02,0.17,0.02,0.00,0.00,0.00,0.02,0.06,0.00,0.09,0.00,0.01,0.05,0.09,0.02,0.02,93.19,5.53,0.02
103,3.10,0.05,0.30,0.05,0.01,0.01,0.01,0.09,0.14,0.00,0.13,0.00,0.02,1.57,1.34,1.23,5.34,86.61,0.00,0.00
104,1.88,0.03,1.19,2.48,0.89,0.66,3.14,5.77,1.65,2.30,3.09,0.18,0.01,11.10,2.13,2.00,6.24,55.25,0.02,0.00
105,5.00,0.20,0.44,0.10,0.09,0.03,0.04,0.22,0.52,0.00,0.67,0.01,0.00,0.89,2.31,0.37,0.29,88.67,0.14,0.00
106,14.06,0.23,0.45,0.16,0.04,0.01,0.04,0.17,0.30,0.00,0.50,0.01,0.01,1.11,1.42,1.39,1.60,78.05,0.42,0.00
107,4.18,0.03,0.21,0.04,0.02,0.03,0.02,0.22,0.27,0.08,0.49,0.08,0.00,6.80,0.65,0.29,2.05,84.47,0.07,0.00
108,0.98,0.06,0.00,0.00,0.00,0.02,0.00,0.02,0.11,0.00,0.22,0.00,0.05,0.09,0.13,0.40,0.88,97.04,0.00,0.00
109,0.04,0.01,0.11,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.04,0.04,1.32,98.19,0.20,0.02
110,0.57,0.01,0.06,0.01,0.00,0.00,0.00,0.01,0.02,0.00,0.02,0.00,0.00,0.02,0.05,0.05,0.09,96.17,2.90,0.01
111,0.09,0.04,0.06,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.09,0.06,0.02,2.03,89.06,8.54,0.00
112,0.06,0.01,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.00,53.86,0.00
113,0.22,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,51.27,48.18,0.00
114,0.05,0.15,0.03,0.05,0.00,0.06,0.03,0.10,0.04,0.01,0.46,0.00,0.00,0.04,0.10,0.02,12.50,86.13,0.21,0.00
115,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.01,0.00,0.00,25.84,73.69,0.00
116,0.53,0.10,0.06,0.01,0.00,0.01,0.00,0.05,0.05,0.00,0.14,0.01,0.00,0.48,0.94,0.47,35.98,61.10,0.07,0.00
117,9.09,1.53,0.29,0.14,0.03,0.06,0.00,0.24,0.25,0.00,1.00,0.01,0.00,2.13,6.94,3.38,8.18,57.86,8.89,0.00
118,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,52.36,43.37,0.00
119,0.03,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.14,0.01,0.00,0.50,68.81,30.48,0.00
120,0.24,0.01,0.04,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.00,0.03,0.11,0.06,1.69,50.06,47.73,0.00
121,0.19,0.07,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.02,0.01,2.44,71.36,25.86,0.00
122,0.18,0.33,0.40,0.15,0.07,0.07,0.05,0.34,0.12,0.19,0.39,0.03,0.05,1.05,0.77,4.93,25.62,64.45,0.82,0.00
123,0.42,0.35,0.49,0.11,0.07,0.02,0.08,0.15,0.25,0.01,0.15,0.02,0.11,5.16,9.92,2.45,40.68,39.49,0.06,0.00
124,0.07,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.02,0.17,0.58,0.40,44.30,54.03,0.19,0.00
125,0.12,0.09,0.21,0.01,0.00,0.00,0.00,0.01,0.06,0.00,0.13,0.00,0.00,0.00,2.16,4.47,65.02,27.72,0.00,0.00
126,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,17.11,81.39,1.47,0.00
127,0.10,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,8.36,91.48,0.00,0.00
128,8.01,4.19,0.00,0.00,0.00,0.01,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.07,0.24,32.23,40.52,14.70,0.00
129,0.14,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.30,0.15,5.88,89.04,4.44,0.00
130,0.06,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.19,0.22,21.77,77.39,0.31,0.00
131,0.13,0.02,0.19,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.02,0.11,0.04,7.62,90.76,1.07,0.00
132,0.02,0.02,0.25,0.01,0.00,0.00,0.00,0.01,0.04,0.00,0.01,0.00,0.00,0.06,0.15,0.11,13.48,85.78,0.06,0.00
133,0.37,0.68,0.97,0.15,0.09,0.03,0.08,0.13,0.28,0.00,0.20,0.08,0.53,4.53,10.41,3.38,41.46,36.65,0.01,0.00
134,0.01,0.03,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.28,0.02,7.15,92.41,0.00,0.00
135,0.96,0.02,0.10,0.02,0.00,0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.02,0.07,0.02,2.68,89.45,6.62,0.00
136,0.05,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,22.97,76.20,0.00
137,0.06,0.05,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.00,4.95,82.52,12.34,0.00
138,0.12,0.01,0.32,0.04,0.01,0.03,0.00,0.12,0.08,0.08,0.43,0.00,0.03,0.01,0.25,1.03,3.83,90.58,3.02,0.00
139,0.10,0.01,0.32,0.03,0.02,0.00,0.03,0.09,0.03,0.01,0.40,0.00,0.21,0.00,0.12,0.60,1.59,95.79,0.63,0.00
140,0.43,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,4.50,93.66,1.39,0.00
141,0.01,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,17.33,80.62,1.98,0.00
142,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,4.58,95.36,0.00,0.00
143,0.18,0.30,0.07,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.01,0.07,0.06,5.64,83.95,9.69,0.00
144,0.75,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,2.92,44.33,51.98,0.00
145,0.16,0.37,0.08,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.02,0.00,0.00,0.00,0.05,0.03,3.98,48.04,47.26,0.00
146,6.29,0.47,0.17,0.01,0.00,0.00,0.00,0.02,0.03,0.00,0.05,0.01,0.00,0.04,0.07,0.03,0.39,32.33,60.10,0.00
147,1.53,0.06,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.01,0.00,2.48,70.54,25.22,0.00
148,0.36,0.01,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,1.02,60.53,37.98,0.00
149,0.11,0.02,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.06,0.00,0.01,0.02,12.27,85.33,1.90,0.00
150,5.45,4.88,0.32,0.08,0.01,0.09,0.02,0.23,0.30,0.01,0.28,0.00,0.00,2.88,5.79,1.72,13.91,38.60,25.43,0.00
151,0.96,0.11,0.05,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.28,0.27,0.17,9.79,88.22,0.14,0.00
152,1.11,1.52,0.52,0.01,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,3.32,13.31,10.53,31.33,38.24,0.00,0.00
153,0.02,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.07,0.00,0.01,0.01,0.11,0.03,7.59,91.53,0.52,0.00
154,0.05,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.18,0.00,0.06,0.02,14.29,85.31,0.00,0.00
155,0.61,2.00,1.26,1.11,0.25,0.16,0.56,1.59,1.10,0.77,2.55,0.04,0.01,4.78,16.37,6.90,18.06,41.85,0.02,0.00
156,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.07,0.42,0.08,16.02,83.15,0.18,0.00
157,1.73,0.73,0.33,0.01,0.00,0.00,0.00,0.01,0.19,0.00,0.11,0.00,0.00,3.01,5.79,2.33,55.69,30.05,0.00,0.00
158,0.08,0.00,0.06,0.01,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.05,0.01,0.08,11.35,81.44,6.88,0.00
159,2.60,0.13,0.68,0.36,0.13,0.06,0.12,0.53,0.64,0.00,0.54,0.02,0.03,9.55,11.95,1.53,51.79,19.33,0.00,0.00
160,0.26,0.07,0.07,0.01,0.00,0.00,0.00,0.03,0.03,0.01,0.22,0.00,0.00,0.13,0.30,0.25,1.61,86.07,10.95,0.00
161,0.13,0.01,0.04,0.00,0.03,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.03,0.19,0.20,47.74,51.61,0.00,0.00
162,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.68,96.12,0.00,0.00
163,0.63,0.36,0.17,0.02,0.02,0.00,0.02,0.04,0.04,0.00,0.06,0.01,0.06,0.19,1.31,0.20,13.80,83.03,0.03,0.00
164,0.47,0.19,0.17,0.02,0.01,0.01,0.01,0.05,0.06,0.00,0.06,0.02,0.00,1.20,3.04,0.30,44.76,49.38,0.23,0.00
