uniqid_eco4,NLCD06_11_eco4,NLCD06_12_eco4,NLCD06_21_eco4,NLCD06_22_eco4,NLCD06_23_eco4,NLCD06_24_eco4,NLCD06_31_eco4,NLCD06_41_eco4,NLCD06_42_eco4,NLCD06_43_eco4,NLCD06_52_eco4,NLCD06_71_eco4,NLCD06_81_eco4,NLCD06_82_eco4,NLCD06_90_eco4,NLCD06_95_eco4,NLCD06_9999_eco4
86,0.48,0.00,0.43,0.26,0.13,0.00,0.04,0.09,74.19,0.00,19.57,3.70,0.48,0.09,0.23,0.30,0.00
87,1.57,0.00,2.78,1.88,0.14,0.01,0.05,0.00,1.88,0.00,11.83,47.01,25.13,7.43,0.17,0.12,0.00
88,20.15,0.00,4.36,2.50,0.68,0.12,0.00,0.28,7.60,0.01,2.78,16.93,23.09,17.81,3.38,0.30,0.00
89,1.40,0.00,2.02,1.79,0.52,0.07,0.00,0.42,16.88,0.01,59.98,6.89,6.37,2.55,0.64,0.47,0.00
90,0.46,0.00,0.44,0.22,0.06,0.00,0.01,0.23,40.82,0.00,8.35,47.79,1.07,0.24,0.27,0.03,0.00
91,0.04,0.00,3.67,0.38,0.04,0.01,0.00,0.46,16.40,0.02,12.63,7.35,0.03,58.66,0.12,0.20,0.00
92,0.42,0.00,0.26,0.20,0.03,0.00,0.00,0.02,36.79,0.00,49.89,11.09,0.14,0.18,0.63,0.31,0.03
93,0.48,0.08,0.00,0.00,0.00,0.00,0.32,0.00,70.06,0.00,21.41,7.59,0.01,0.00,0.00,0.02,0.00
94,0.05,0.00,0.02,0.01,0.01,0.00,0.01,0.01,81.91,0.03,17.25,0.43,0.01,0.01,0.10,0.16,0.00
95,2.66,0.00,2.35,0.51,0.12,0.02,0.15,0.63,42.58,0.07,17.15,23.93,0.02,9.45,0.16,0.19,0.00
96,1.33,0.00,0.30,0.22,0.04,0.00,0.01,0.02,84.47,0.00,11.13,1.15,0.19,0.42,0.15,0.56,0.00
97,1.34,0.00,0.30,0.23,0.07,0.00,0.07,0.15,75.62,0.00,18.71,2.35,0.28,0.08,0.33,0.45,0.00
98,3.25,0.00,2.89,2.04,0.29,0.04,0.01,0.92,38.90,0.00,14.47,5.87,0.09,26.93,1.77,2.52,0.01
99,0.01,0.00,0.87,0.27,0.02,0.00,0.00,0.02,58.44,0.00,32.51,3.65,0.01,3.48,0.34,0.38,0.00
100,0.39,0.00,0.27,0.23,0.18,0.03,0.04,0.07,86.12,0.02,10.83,0.62,0.08,0.01,0.48,0.63,0.00
101,0.32,0.00,0.16,0.07,0.02,0.01,0.02,0.04,70.85,0.02,27.58,0.38,0.01,0.00,0.16,0.35,0.00
102,0.67,0.00,0.39,0.17,0.02,0.00,0.03,0.11,87.11,0.01,9.62,0.89,0.07,0.03,0.47,0.39,0.01
103,3.09,0.00,0.68,0.53,0.12,0.01,0.03,0.35,63.95,0.00,19.18,8.21,1.14,1.38,0.70,0.61,0.01
104,1.88,0.00,5.33,9.57,5.63,0.96,0.03,0.02,38.17,0.00,16.58,9.99,1.24,9.48,0.27,0.84,0.00
105,4.98,0.00,1.76,0.93,0.22,0.03,0.03,2.46,70.77,0.06,7.71,2.46,3.47,1.06,3.11,0.96,0.00
106,14.06,0.00,0.73,0.92,0.22,0.03,0.05,0.21,64.71,0.01,10.00,3.83,0.92,0.85,2.15,1.32,0.00
107,4.18,0.00,1.10,0.69,0.10,0.01,0.01,0.06,62.22,0.01,21.55,3.62,0.08,5.55,0.30,0.50,0.00
108,0.98,0.00,0.15,0.20,0.01,0.00,0.04,0.02,82.95,0.00,12.71,2.34,0.05,0.01,0.13,0.41,0.00
109,0.04,0.00,0.30,0.09,0.01,0.00,0.00,0.13,78.76,0.00,17.79,2.42,0.03,0.01,0.30,0.09,0.03
110,0.57,0.00,0.11,0.07,0.01,0.00,0.01,0.10,89.51,0.00,8.49,0.78,0.05,0.03,0.18,0.09,0.01
111,0.09,0.00,0.10,0.04,0.01,0.00,0.03,0.02,67.43,0.00,17.68,13.99,0.15,0.18,0.26,0.03,0.00
112,0.06,0.00,0.07,0.03,0.01,0.00,0.03,0.00,87.96,0.00,9.00,2.65,0.02,0.00,0.11,0.06,0.00
113,0.22,0.00,0.45,0.05,0.00,0.00,0.00,0.12,82.31,0.35,15.39,1.03,0.00,0.01,0.04,0.03,0.00
114,0.05,0.10,0.20,0.18,0.04,0.01,0.10,0.05,46.49,0.00,37.71,14.18,0.11,0.03,0.27,0.48,0.00
115,0.25,0.02,0.01,0.00,0.00,0.00,0.07,0.00,73.30,0.00,14.39,11.78,0.02,0.00,0.15,0.02,0.00
116,0.45,0.00,0.22,0.14,0.03,0.00,0.25,0.10,8.70,0.00,56.98,31.30,0.75,0.44,0.37,0.28,0.00
117,9.07,0.00,1.83,0.64,0.12,0.01,0.03,0.13,38.49,0.00,22.49,10.97,6.01,2.74,4.46,3.00,0.00
118,0.77,2.07,0.00,0.00,0.00,0.00,1.70,0.00,40.53,0.00,12.51,42.34,0.00,0.00,0.02,0.06,0.00
119,0.03,0.00,0.06,0.02,0.00,0.00,0.01,0.00,86.23,0.00,8.67,4.65,0.04,0.18,0.07,0.04,0.00
120,0.24,0.00,0.09,0.06,0.01,0.00,0.01,0.45,57.99,0.00,28.16,12.78,0.11,0.00,0.07,0.03,0.00
121,0.18,0.01,0.05,0.02,0.00,0.00,0.08,0.28,63.08,0.00,24.30,11.54,0.03,0.01,0.27,0.15,0.00
122,0.13,0.00,0.96,0.61,0.22,0.05,0.15,0.32,26.46,0.00,29.92,38.38,0.63,1.18,0.51,0.49,0.00
123,0.33,0.00,2.07,1.23,0.58,0.04,0.13,0.02,1.30,0.05,39.11,37.90,10.60,5.02,0.87,0.75,0.00
124,0.07,0.00,0.29,0.12,0.02,0.00,0.07,0.08,6.31,0.03,53.68,37.76,0.91,0.13,0.20,0.34,0.00
125,0.11,0.00,1.16,0.17,0.05,0.00,0.04,0.15,7.94,0.00,7.64,76.73,5.77,0.00,0.21,0.03,0.00
126,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.00,60.60,0.00,14.26,24.55,0.01,0.00,0.00,0.00,0.00
127,0.10,0.00,0.00,0.00,0.00,0.00,0.29,0.00,80.45,0.00,2.86,16.14,0.01,0.00,0.08,0.06,0.00
128,8.05,0.00,0.92,0.03,0.00,0.00,0.01,0.01,1.13,0.03,29.45,36.13,0.13,0.00,0.15,23.94,0.00
129,0.14,0.00,0.12,0.01,0.00,0.00,0.06,0.00,81.91,0.00,5.10,12.04,0.59,0.00,0.03,0.00,0.00
130,0.06,0.00,0.13,0.03,0.00,0.00,0.04,0.00,64.49,0.03,8.73,26.13,0.32,0.00,0.03,0.00,0.00
131,0.07,0.01,0.23,0.09,0.03,0.00,0.08,0.00,79.77,0.07,8.85,10.59,0.14,0.02,0.05,0.00,0.00
132,0.02,0.00,0.32,0.23,0.07,0.00,0.05,0.03,67.44,0.63,14.59,16.22,0.18,0.08,0.13,0.00,0.00
133,0.36,0.00,2.21,1.16,0.37,0.02,0.37,0.01,9.78,0.01,28.50,39.16,10.71,5.15,2.16,0.01,0.00
134,0.01,0.00,0.07,0.03,0.00,0.00,0.02,0.01,65.79,0.17,23.35,10.07,0.34,0.03,0.10,0.00,0.00
135,0.98,0.00,0.19,0.08,0.02,0.00,0.09,0.00,81.75,0.00,12.56,4.01,0.14,0.07,0.10,0.00,0.00
136,0.05,0.00,0.03,0.00,0.00,0.00,2.19,0.30,56.99,0.08,28.93,10.86,0.01,0.00,0.33,0.23,0.00
137,0.06,0.00,0.06,0.00,0.00,0.00,0.26,0.87,54.77,0.37,32.46,10.10,0.02,0.00,0.55,0.47,0.00
138,0.11,0.00,0.72,0.28,0.08,0.01,0.04,0.60,72.73,0.09,10.68,14.21,0.34,0.01,0.02,0.06,0.00
139,0.13,0.00,0.52,0.24,0.05,0.01,0.24,1.18,88.47,0.43,2.67,5.97,0.01,0.00,0.01,0.06,0.00
140,0.44,0.00,0.00,0.00,0.00,0.00,0.14,0.45,62.80,0.04,27.99,7.70,0.06,0.01,0.20,0.18,0.00
141,0.01,0.01,0.01,0.00,0.00,0.00,1.48,0.14,51.10,0.02,22.32,24.74,0.01,0.00,0.06,0.09,0.00
142,0.05,0.01,0.07,0.00,0.00,0.00,3.29,0.02,76.63,0.01,11.10,8.77,0.04,0.00,0.01,0.00,0.00
143,0.18,0.00,0.16,0.02,0.00,0.00,0.02,2.09,56.73,0.32,30.46,7.69,0.12,0.01,1.10,1.10,0.00
144,0.74,0.80,0.01,0.00,0.00,0.00,13.35,0.25,18.60,0.23,29.87,36.06,0.01,0.00,0.05,0.03,0.00
