uniqid_county,NWALT92_11_county,NWALT92_12_county,NWALT92_21_county,NWALT92_22_county,NWALT92_23_county,NWALT92_24_county,NWALT92_25_county,NWALT92_26_county,NWALT92_27_county,NWALT92_31_county,NWALT92_32_county,NWALT92_33_county,NWALT92_41_county,NWALT92_43_county,NWALT92_44_county,NWALT92_45_county,NWALT92_46_county,NWALT92_50_county,NWALT92_60_county,NWALT92_9999_county
1034,4.59,7.11,1.09,0.68,1.70,0.10,0.25,2.22,0.81,0.78,3.70,0.01,0.04,2.56,26.48,1.29,0.61,45.98,0.00,0.00
1035,1.18,10.07,0.25,0.08,0.02,0.01,0.02,0.27,0.29,0.00,0.08,0.00,0.00,2.74,40.14,1.52,0.97,42.18,0.17,0.00
1036,6.72,5.39,0.41,0.25,0.05,0.07,0.02,0.70,1.57,0.00,0.53,0.00,0.00,2.22,29.33,1.88,0.18,50.67,0.00,0.00
1037,9.99,5.74,0.42,0.20,0.01,0.01,0.00,0.44,1.04,0.00,0.40,0.00,0.00,4.46,48.51,1.65,0.10,27.03,0.00,0.00
1038,3.25,5.76,0.33,0.36,0.04,0.07,0.00,0.76,1.28,0.00,0.45,0.00,0.00,1.45,32.78,2.21,0.79,50.46,0.00,0.00
1039,1.85,2.65,0.44,0.25,0.06,0.03,0.00,0.71,1.28,0.00,0.37,0.00,0.01,5.56,57.20,1.74,0.09,27.75,0.00,0.00
1040,7.40,4.29,0.29,0.13,0.02,0.02,0.00,0.59,0.79,0.00,2.94,0.00,0.00,0.08,6.31,0.55,0.46,75.96,0.16,0.00
1041,1.53,5.30,0.55,0.37,0.18,0.01,0.00,0.89,0.84,0.00,3.31,0.00,0.04,0.46,26.63,1.51,0.60,57.77,0.00,0.00
1042,4.11,9.38,0.87,0.41,0.31,0.05,0.10,0.96,1.09,0.01,0.66,0.06,0.05,2.52,41.21,2.31,0.33,35.59,0.00,0.00
1043,2.25,3.31,0.46,0.24,0.08,0.04,0.08,0.57,0.72,0.00,0.21,0.00,0.00,8.16,57.90,1.83,0.16,23.99,0.00,0.00
1044,1.84,6.35,0.75,0.35,0.66,0.14,0.07,1.48,0.73,0.14,3.75,0.02,0.09,0.28,13.14,1.08,0.28,68.86,0.00,0.00
1045,1.78,9.33,2.51,4.00,2.21,0.68,1.61,10.86,2.02,6.13,11.60,0.07,0.04,0.44,11.76,1.73,0.08,33.15,0.00,0.00
1046,8.35,1.89,0.35,0.47,0.05,0.06,0.02,2.31,1.04,0.00,3.36,0.00,0.02,3.68,37.92,2.27,1.11,37.10,0.00,0.00
1047,5.59,3.47,0.13,0.10,0.00,0.02,0.00,0.34,0.42,0.00,0.14,0.00,0.00,15.09,21.55,13.76,17.88,21.52,0.00,0.00
1048,1.65,12.58,0.40,0.23,0.10,0.00,0.00,0.41,0.56,0.00,0.68,0.00,0.10,0.11,17.15,1.38,0.61,64.03,0.00,0.00
1049,1.28,0.21,0.25,0.19,0.03,0.04,0.02,0.57,0.57,0.00,0.86,0.01,0.01,15.07,17.28,18.47,22.52,22.61,0.00,0.00
1050,3.18,4.51,0.37,0.18,0.10,0.01,0.00,0.64,0.56,0.00,1.24,0.05,0.01,0.07,12.18,0.88,0.67,75.36,0.00,0.00
1051,1.08,5.04,0.48,0.25,0.05,0.04,0.00,0.72,1.18,0.00,1.50,0.00,0.00,0.97,22.33,2.21,0.63,63.53,0.00,0.00
1052,14.09,0.02,0.83,1.44,0.51,0.67,0.45,3.42,4.02,2.08,4.00,0.01,0.00,15.51,17.00,14.05,14.54,7.37,0.00,0.00
1053,1.42,27.05,0.68,0.26,0.15,0.15,0.00,0.50,1.02,0.00,2.08,0.02,0.00,2.26,0.92,0.10,0.34,63.04,0.00,0.00
1054,0.38,6.87,0.68,0.29,0.10,0.05,0.00,0.47,0.73,0.00,0.77,0.03,0.02,19.90,4.17,0.32,0.95,63.80,0.48,0.00
1055,0.58,6.02,0.78,0.36,0.02,0.27,0.00,0.70,0.68,0.00,0.85,0.00,0.01,26.46,10.89,0.46,4.28,47.63,0.00,0.00
1056,0.28,9.03,0.89,0.24,0.09,0.08,0.00,0.50,0.53,0.00,0.93,0.00,0.20,22.55,7.11,0.16,2.71,54.68,0.00,0.00
1057,2.89,35.91,0.64,0.28,0.73,0.12,0.00,0.81,0.81,0.00,2.36,0.23,0.00,0.03,0.31,0.04,0.02,53.05,1.76,0.00
1058,4.98,35.60,1.79,1.45,0.66,1.01,0.59,2.52,0.76,2.42,3.89,0.22,0.00,0.15,0.52,0.08,0.04,43.32,0.01,0.00
1059,6.17,0.41,1.08,1.27,0.25,0.42,0.01,5.71,1.32,2.02,8.95,0.00,0.24,1.11,8.02,0.08,0.75,62.18,0.00,0.00
1060,0.41,5.23,0.89,0.34,0.07,0.10,0.02,0.62,0.60,0.00,1.41,0.00,0.00,16.07,6.04,0.24,1.44,65.99,0.53,0.00
1061,0.78,0.28,0.92,0.09,0.16,0.06,0.00,0.25,0.37,0.00,0.47,0.09,0.84,2.49,11.01,0.42,3.06,78.72,0.00,0.00
1062,6.29,0.07,0.82,0.35,0.37,0.12,0.01,0.67,1.16,0.00,1.34,0.04,0.12,0.19,18.29,1.29,3.21,65.67,0.00,0.00
1063,0.45,20.34,0.81,0.12,0.01,0.00,0.00,0.12,0.97,0.00,0.69,0.00,0.00,2.26,3.07,0.35,0.79,70.02,0.00,0.00
1064,7.67,29.80,2.84,2.84,2.60,0.88,2.31,4.91,0.89,8.60,5.49,0.18,0.12,0.43,0.79,0.09,0.16,27.93,1.49,0.00
1065,0.56,9.84,0.83,0.41,0.47,0.15,0.00,0.84,1.02,0.00,1.50,0.02,0.00,16.89,7.47,0.43,2.36,57.22,0.00,0.00
1066,0.97,7.47,0.47,0.12,0.05,0.04,0.00,0.20,0.51,0.00,0.09,0.01,0.00,38.05,8.01,0.44,2.38,41.19,0.00,0.00
1067,0.36,11.32,0.39,0.22,0.18,0.06,0.00,0.23,0.59,0.00,0.36,0.00,0.00,26.05,4.47,0.28,2.69,52.80,0.00,0.00
1068,1.65,28.93,0.60,0.33,1.40,0.09,0.04,1.33,0.66,0.00,3.75,0.12,0.01,0.37,0.66,0.07,0.09,59.87,0.02,0.00
1069,0.89,7.32,0.88,0.62,0.10,0.13,0.08,1.24,0.85,0.01,1.64,0.00,0.00,20.95,10.36,0.31,1.86,52.76,0.00,0.00
1070,0.46,11.10,0.57,0.17,0.06,0.00,0.02,0.39,0.47,0.01,0.80,0.00,0.01,24.93,7.93,0.32,1.10,51.64,0.00,0.00
1071,0.47,9.75,1.43,0.44,0.22,0.09,0.00,0.87,0.74,0.00,1.24,0.05,0.05,33.08,10.88,0.32,1.66,38.71,0.00,0.00
1072,0.33,14.73,0.76,0.22,0.08,0.12,0.00,0.54,0.96,0.00,1.07,0.00,0.00,17.84,5.79,0.53,1.35,55.67,0.00,0.00
1073,0.34,5.83,0.96,0.11,0.03,0.06,0.00,0.22,0.32,0.00,0.69,0.00,0.00,14.43,9.49,0.35,5.89,61.28,0.00,0.00
1074,0.78,0.10,0.63,0.17,0.07,0.05,0.00,0.31,0.28,0.00,0.90,0.01,0.03,0.37,14.99,0.82,1.57,78.91,0.00,0.00
1075,0.69,7.56,0.67,0.41,0.18,0.11,0.04,0.75,0.81,0.00,1.43,0.00,0.00,24.09,7.26,0.42,1.83,53.73,0.00,0.00
1076,0.17,5.43,0.26,0.07,0.02,0.00,0.00,0.21,0.30,0.00,0.72,0.00,0.19,8.97,8.00,0.13,2.29,73.24,0.00,0.00
1077,1.81,7.28,2.81,4.03,3.96,1.21,2.86,10.09,0.59,7.53,19.24,0.14,0.63,5.62,3.59,0.11,0.82,27.68,0.00,0.00
1078,0.26,7.20,0.72,0.24,0.13,0.15,0.00,0.34,0.72,0.00,0.40,0.01,0.00,22.70,5.50,0.45,1.22,59.97,0.00,0.00
1079,0.31,13.59,0.67,0.17,0.06,0.01,0.00,0.29,0.37,0.00,0.74,0.00,0.00,17.34,3.87,0.18,0.52,61.88,0.00,0.00
1080,0.66,19.60,0.52,0.12,0.08,0.03,0.03,0.24,0.40,0.00,0.62,0.02,0.00,21.11,4.33,0.30,3.84,48.10,0.00,0.00
1081,0.53,7.68,0.86,0.36,0.19,0.11,0.03,0.75,0.77,0.01,1.43,0.01,0.01,14.31,9.11,0.37,3.05,60.44,0.00,0.00
1082,0.76,8.80,0.87,0.30,0.07,0.08,0.00,0.53,0.72,0.00,0.68,0.01,0.00,27.05,8.44,0.35,1.90,49.43,0.00,0.00
1083,17.23,0.06,0.40,0.14,0.04,0.05,0.00,0.27,1.17,0.00,0.49,0.08,0.04,0.20,10.61,0.30,1.09,67.82,0.00,0.00
1084,0.64,16.22,0.63,0.32,0.21,0.07,0.00,0.98,0.60,0.00,2.37,0.04,0.05,7.39,3.04,0.25,0.85,66.33,0.01,0.00
1085,0.89,31.94,0.41,0.29,0.24,0.03,0.00,0.82,1.43,0.00,2.45,0.01,0.02,8.58,2.86,0.29,1.48,48.25,0.02,0.00
1086,0.69,9.30,0.54,0.17,0.08,0.01,0.01,0.52,0.29,0.00,0.98,0.01,0.00,11.43,6.59,0.31,1.19,67.87,0.00,0.00
