uniqid_eco4,NWALT12_11_eco4,NWALT12_12_eco4,NWALT12_21_eco4,NWALT12_22_eco4,NWALT12_23_eco4,NWALT12_24_eco4,NWALT12_25_eco4,NWALT12_26_eco4,NWALT12_27_eco4,NWALT12_31_eco4,NWALT12_32_eco4,NWALT12_33_eco4,NWALT12_41_eco4,NWALT12_43_eco4,NWALT12_44_eco4,NWALT12_45_eco4,NWALT12_46_eco4,NWALT12_50_eco4,NWALT12_60_eco4,NWALT12_9999_eco4
688,0.02,0.01,0.15,0.15,0.01,0.07,0.01,0.87,0.34,0.00,23.08,0.00,0.04,0.05,8.40,0.58,0.33,59.75,6.14,0.00
689,0.06,0.04,0.70,0.32,0.16,0.05,0.01,1.31,0.59,0.00,13.35,0.01,0.00,0.15,8.57,0.28,0.12,74.28,0.00,0.00
690,0.11,0.00,0.31,0.04,0.03,0.04,0.00,0.25,0.16,0.00,26.93,0.00,0.00,0.10,4.85,0.30,0.20,66.67,0.00,0.00
691,0.95,0.17,2.80,2.54,1.28,0.74,1.72,5.15,1.21,0.51,4.82,0.02,0.13,18.76,36.34,1.18,0.02,21.52,0.14,0.00
692,1.60,0.21,1.65,0.87,0.42,0.33,0.49,2.93,0.96,0.17,8.18,0.01,0.10,11.22,25.10,0.99,0.04,44.58,0.16,0.00
693,0.53,0.02,0.77,0.16,0.09,0.05,0.05,0.32,0.37,0.40,3.95,0.02,0.09,0.63,4.18,0.34,0.00,87.30,0.74,0.00
694,0.81,0.01,0.80,0.22,0.07,0.06,0.12,0.45,0.54,0.20,2.67,0.00,0.15,1.46,8.41,0.61,0.02,82.23,1.17,0.00
695,2.22,0.10,4.06,4.70,3.75,1.18,5.04,4.59,0.94,6.40,12.37,1.40,4.99,0.72,0.72,0.02,0.00,46.76,0.05,0.00
696,2.67,0.14,1.89,1.71,1.11,0.48,0.96,6.89,0.98,1.70,13.81,0.04,0.22,2.04,27.88,1.57,1.81,34.06,0.05,0.00
697,3.31,0.42,1.41,1.27,0.88,0.30,0.29,4.23,1.04,1.02,15.31,0.02,0.25,3.26,24.87,0.97,0.62,40.39,0.16,0.00
698,0.44,0.05,0.58,0.54,0.10,0.20,0.31,2.01,0.43,1.36,7.68,0.02,0.19,0.19,4.57,0.37,0.34,76.83,3.80,0.00
699,1.41,0.03,0.54,0.27,0.29,0.09,0.03,1.63,0.66,0.91,15.49,0.01,0.07,0.33,10.38,0.48,0.26,66.74,0.37,0.00
