uniqid_eco4,NWALT74_12_eco4,NWALT74_21_eco4,NWALT74_22_eco4,NWALT74_23_eco4,NWALT74_24_eco4,NWALT74_25_eco4,NWALT74_26_eco4,NWALT74_27_eco4,NWALT74_31_eco4,NWALT74_32_eco4,NWALT74_33_eco4,NWALT74_41_eco4,NWALT74_43_eco4,NWALT74_44_eco4,NWALT74_45_eco4,NWALT74_46_eco4,NWALT74_50_eco4,NWALT74_60_eco4,NWALT74_9999_eco4
655,0.97,1.66,1.73,0.41,0.89,1.72,6.76,2.07,7.59,9.23,0.05,0.38,8.22,10.25,0.77,0.17,44.93,0.36,0.00
656,0.43,1.73,2.34,0.33,1.00,2.31,4.68,2.16,4.72,3.08,0.01,0.07,13.27,29.38,1.34,0.08,31.68,0.34,0.00
657,0.33,2.68,4.22,1.63,1.07,1.94,6.72,2.17,2.49,1.85,0.15,0.58,33.62,30.84,0.39,0.10,7.66,0.00,0.00
658,1.96,5.70,10.90,4.20,5.09,26.29,21.31,1.09,16.73,0.48,0.00,0.05,0.53,0.25,0.00,0.00,0.68,0.01,0.00
659,31.16,3.55,5.13,2.34,2.93,3.95,14.80,0.71,17.24,3.15,0.00,0.00,1.50,1.69,0.04,0.02,7.36,2.34,0.00
660,7.99,18.28,8.07,22.51,3.25,9.43,1.81,0.58,18.56,0.00,0.00,0.42,0.13,0.23,0.00,0.00,0.81,0.01,0.00
661,3.46,0.69,0.33,0.14,0.06,0.05,0.80,0.71,0.20,0.88,0.01,0.03,16.99,39.26,2.12,0.47,31.69,0.00,0.00
662,6.93,0.42,0.29,0.22,0.08,0.20,0.65,0.64,0.21,0.96,0.01,0.05,9.04,15.85,1.13,0.47,61.87,0.00,0.00
663,3.95,0.93,0.84,0.64,0.22,0.26,1.78,1.22,1.72,2.17,0.08,0.36,10.22,5.79,0.17,2.41,66.35,0.06,0.00
664,3.53,0.38,0.12,0.12,0.02,0.02,0.32,0.52,0.05,1.11,0.01,0.03,4.52,11.87,0.73,0.50,75.43,0.00,0.00
665,3.28,0.34,0.16,0.09,0.03,0.03,0.45,0.72,0.10,0.76,0.01,0.01,13.75,14.13,1.61,0.42,61.71,0.00,0.00
666,4.37,0.45,0.19,0.16,0.05,0.02,0.55,0.81,0.35,0.93,0.02,0.08,6.32,10.94,0.85,0.67,72.65,0.06,0.00
667,6.47,0.63,0.34,0.11,0.06,0.04,0.70,0.74,0.40,0.98,0.02,0.02,28.34,10.89,0.46,1.51,47.55,0.01,0.00
668,7.78,0.95,0.44,0.17,0.07,0.05,0.87,0.85,0.00,1.08,0.02,0.04,30.44,8.59,0.38,1.76,45.88,0.02,0.00
669,3.17,0.50,0.30,0.05,0.04,0.06,0.74,0.74,0.50,1.58,0.01,0.04,3.93,8.13,0.39,0.23,78.87,0.01,0.00
670,0.44,0.30,0.08,0.04,0.02,0.00,0.27,0.57,0.00,0.93,0.04,0.13,3.98,9.55,0.49,0.16,79.13,0.01,0.00
671,4.13,0.72,0.32,0.06,0.06,0.03,0.66,0.57,0.12,1.20,0.04,0.40,16.89,8.65,0.40,2.61,62.70,0.01,0.00
672,8.16,0.91,0.48,0.16,0.08,0.04,1.03,0.91,0.39,1.33,0.01,0.03,28.82,7.47,0.29,1.67,47.65,0.06,0.00
673,8.57,1.33,0.78,0.37,0.16,0.26,1.37,1.37,1.31,1.65,0.04,0.06,24.75,5.56,0.27,0.90,49.71,0.10,0.00
674,4.26,3.40,4.33,2.08,1.59,3.95,7.00,3.09,9.12,6.13,0.10,0.24,8.98,5.20,0.20,0.05,34.52,0.87,0.00
675,9.24,1.12,0.47,0.06,0.14,0.06,0.77,1.14,0.80,0.79,0.08,0.08,12.87,10.71,0.24,2.36,58.31,0.13,0.00
676,37.32,0.44,0.25,0.40,0.07,0.06,0.34,0.40,0.38,0.58,0.07,0.20,8.86,5.48,0.27,0.39,37.36,0.05,0.00
677,2.10,0.22,0.05,0.02,0.00,0.00,0.05,0.28,0.00,0.41,0.00,0.02,1.23,3.40,0.14,0.35,91.51,0.00,0.00
678,6.00,0.41,0.10,0.02,0.01,0.00,0.23,0.41,0.00,0.48,0.00,0.00,3.72,16.21,0.99,0.30,70.64,0.00,0.00
679,0.15,0.85,0.15,0.02,0.04,0.00,0.09,0.88,0.00,0.42,0.01,0.01,1.51,7.18,0.37,0.02,72.94,15.16,0.00
680,0.09,0.73,0.11,0.04,0.08,0.00,0.83,1.11,0.01,3.11,0.02,0.02,0.66,2.77,0.19,0.00,76.58,13.00,0.00
681,0.02,0.90,0.26,0.05,0.04,0.00,0.33,1.03,0.00,0.67,0.01,0.00,1.02,32.52,2.26,0.39,60.03,0.20,0.00
682,0.01,0.53,0.18,0.03,0.08,0.01,0.36,1.09,0.10,1.30,0.01,0.02,0.23,4.88,0.27,0.11,89.59,0.68,0.00
683,0.01,0.30,0.04,0.01,0.06,0.00,0.11,0.46,0.31,0.48,0.00,0.04,0.12,3.91,0.14,0.04,91.87,1.21,0.00
684,0.10,1.07,0.84,0.34,0.03,0.11,2.99,2.97,0.40,1.96,0.00,0.01,1.71,33.65,1.78,0.46,46.10,5.43,0.00
685,0.00,0.48,0.17,0.03,0.06,0.00,0.24,0.92,0.00,1.14,0.00,0.01,0.12,2.33,0.18,0.05,77.17,15.90,0.00
686,0.01,0.72,0.04,0.00,0.06,0.00,0.13,0.17,0.00,0.74,0.00,0.04,0.02,0.46,0.01,0.01,57.80,39.82,0.00
687,0.02,2.18,1.76,0.60,0.31,0.20,6.04,3.74,1.51,5.83,0.03,0.04,1.93,19.29,1.02,0.55,53.32,0.00,0.00
688,0.01,0.13,0.10,0.00,0.02,0.01,0.26,0.83,0.00,2.40,0.00,0.01,0.40,7.95,0.74,0.33,80.67,6.14,0.00
689,0.04,0.56,0.26,0.10,0.04,0.00,0.63,0.98,0.00,3.18,0.01,0.01,0.53,8.14,0.34,0.14,84.99,0.00,0.00
690,0.00,0.30,0.04,0.00,0.04,0.00,0.00,0.41,0.00,0.35,0.00,0.00,0.32,4.76,0.32,0.30,93.06,0.00,0.00
691,0.17,2.27,1.78,0.62,0.52,0.90,2.70,2.22,0.63,1.29,0.06,0.12,18.62,40.82,1.19,0.03,24.98,0.14,0.00
692,0.21,1.32,0.63,0.25,0.19,0.26,1.27,1.69,0.21,1.76,0.03,0.06,10.96,27.39,1.07,0.04,51.01,0.09,0.00
693,0.02,0.60,0.11,0.04,0.03,0.03,0.18,0.44,0.42,0.88,0.03,0.07,0.60,4.08,0.36,0.00,91.20,0.36,0.00
694,0.01,0.66,0.17,0.04,0.04,0.07,0.32,0.62,0.21,0.94,0.01,0.10,1.51,8.18,0.71,0.02,85.62,0.06,0.00
695,0.10,3.50,3.72,1.63,0.86,4.17,4.34,1.04,8.03,9.13,1.89,5.43,0.74,0.88,0.01,0.00,52.24,0.05,0.00
696,0.14,1.59,1.25,0.63,0.27,0.46,4.14,2.11,2.23,4.05,0.06,0.16,2.97,29.53,1.60,1.90,44.21,0.04,0.00
697,0.42,1.19,0.86,0.45,0.14,0.18,2.04,1.89,1.27,2.72,0.03,0.20,4.16,26.22,1.02,0.66,53.29,0.03,0.00
698,0.05,0.45,0.25,0.04,0.07,0.06,0.87,0.61,1.79,1.65,0.02,0.14,0.37,4.70,0.38,0.32,87.45,0.38,0.00
699,0.03,0.46,0.18,0.20,0.04,0.00,0.71,1.24,0.96,2.79,0.02,0.03,0.49,9.93,0.56,0.29,80.31,0.37,0.00
700,4.83,1.43,0.94,0.20,0.41,0.17,2.16,2.30,0.04,5.35,0.02,0.19,25.74,17.74,0.44,0.01,35.10,1.50,0.00
701,2.66,2.02,1.22,0.24,0.30,0.33,3.06,2.33,1.09,8.24,0.04,0.01,18.30,21.69,0.30,0.02,36.88,0.16,0.00
702,1.80,2.87,1.56,0.19,0.98,0.42,3.50,1.96,0.08,16.05,0.01,0.12,10.77,8.26,0.16,0.02,48.08,0.70,0.00
703,1.13,0.56,0.18,0.00,0.11,0.00,0.79,0.60,0.01,8.35,0.00,0.00,0.71,2.04,0.08,0.00,79.02,4.70,0.00
704,0.00,0.58,0.28,0.11,0.06,0.00,0.73,1.84,0.04,1.45,0.04,0.41,0.83,12.35,1.13,1.89,76.97,0.90,0.00
705,1.44,1.19,0.45,0.31,0.06,0.00,1.59,1.55,0.00,3.11,0.08,0.10,8.75,28.81,0.64,1.31,37.74,0.00,0.00
706,0.03,0.28,0.06,0.02,0.02,0.00,0.23,0.64,0.41,0.92,0.01,0.09,1.23,5.25,0.20,0.30,88.04,1.37,0.00
707,0.03,0.48,0.32,0.06,0.04,0.02,0.96,1.86,0.21,1.33,0.00,0.10,8.52,37.05,0.75,0.80,46.97,0.01,0.00
708,0.08,0.31,0.06,0.04,0.01,0.00,0.10,0.97,0.00,0.51,0.02,0.26,1.87,13.06,0.52,0.58,79.27,0.00,0.00
709,0.04,0.48,0.35,0.14,0.04,0.01,1.79,0.92,1.69,4.51,0.12,1.30,0.76,5.34,0.37,0.54,80.33,0.00,0.00
710,0.12,0.54,0.15,0.06,0.05,0.04,0.46,0.69,0.02,1.53,0.05,0.73,0.73,3.92,0.42,0.03,89.60,0.13,0.00
711,0.02,0.97,0.39,0.24,0.11,0.22,0.90,1.05,0.55,3.11,0.25,1.39,3.30,15.61,0.71,0.06,70.26,0.03,0.00
712,0.19,1.29,0.44,0.06,0.07,0.05,1.07,1.15,0.00,2.85,0.02,0.11,1.06,23.79,3.10,0.53,63.41,0.02,0.00
713,0.00,0.52,0.21,0.07,0.01,0.03,0.36,1.11,0.08,2.94,0.05,1.12,0.19,2.33,0.17,0.14,90.29,0.06,0.00
714,0.00,0.74,0.24,0.06,0.02,0.08,0.72,0.96,0.03,2.83,0.00,0.93,0.03,0.70,0.26,0.09,91.88,0.22,0.00
715,0.00,0.17,0.02,0.01,0.02,0.00,0.05,0.09,0.12,0.34,0.01,0.01,0.09,0.55,0.78,2.48,94.48,0.74,0.00
716,0.00,0.32,0.04,0.49,0.01,0.00,0.00,0.15,0.00,0.00,0.23,0.03,1.13,0.35,0.61,71.73,23.81,0.00,0.00
717,0.00,0.94,0.65,1.09,0.04,0.29,0.63,0.49,0.00,0.27,0.30,0.16,45.91,4.76,5.01,28.71,10.69,0.00,0.00
718,0.00,0.13,0.02,0.16,0.02,0.00,0.01,0.34,0.00,0.06,0.02,1.28,0.05,0.10,1.09,38.07,58.66,0.00,0.00
719,0.00,0.23,0.02,0.11,0.01,0.00,0.00,0.11,0.00,0.00,0.00,0.07,0.00,0.00,1.42,51.99,45.98,0.00,0.00
720,0.00,0.18,0.07,0.00,0.02,0.00,0.44,0.17,0.00,1.76,0.00,0.00,0.01,0.02,0.42,3.11,92.07,0.00,0.00
721,0.15,1.39,0.74,0.67,0.16,0.25,0.87,1.24,0.02,0.13,0.01,0.05,63.43,3.89,1.85,8.22,16.82,0.00,0.00
722,0.00,0.00,0.07,0.02,0.06,0.00,0.35,0.45,0.05,0.64,0.00,0.00,0.02,0.01,0.05,1.28,55.84,41.06,0.00
723,0.00,0.94,0.07,0.05,0.16,0.04,0.41,0.52,0.33,0.76,0.00,0.00,0.14,0.13,0.02,2.45,68.11,25.72,0.00
724,0.00,0.12,0.07,0.06,0.05,0.00,0.40,0.44,0.00,0.17,0.01,0.01,0.88,0.72,0.85,2.36,91.85,0.87,0.00
725,0.05,0.65,0.54,0.23,0.24,0.29,0.99,0.58,0.33,1.06,0.04,0.01,1.00,0.54,1.22,14.11,77.09,0.66,0.00
726,0.00,0.48,0.20,0.31,0.05,0.00,0.43,0.56,0.00,0.35,0.10,0.01,4.72,2.62,1.84,42.03,46.21,0.00,0.00
727,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.62,2.74,1.42,32.12,62.75,0.00,0.00
728,0.00,0.41,0.02,0.13,0.02,0.00,0.00,0.23,0.00,0.00,0.00,0.17,11.60,3.48,1.86,16.85,65.22,0.00,0.00
729,0.00,0.11,0.00,0.00,0.09,0.00,0.00,0.17,0.00,0.00,0.00,0.21,2.24,3.83,1.11,59.07,32.67,0.00,0.00
730,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.03,0.17,0.98,32.33,66.42,0.00,0.00
731,0.00,0.34,0.01,0.28,0.06,0.01,0.06,0.29,0.20,0.52,0.06,0.23,2.96,1.00,0.40,4.86,88.02,0.00,0.00
732,0.10,1.25,1.92,2.04,0.62,1.47,4.19,1.88,3.40,3.20,1.12,0.05,25.00,7.87,1.85,7.75,35.96,0.00,0.00
733,0.17,1.61,1.78,1.25,0.24,0.01,5.51,1.82,2.81,3.32,0.01,0.68,9.25,22.93,5.02,4.82,34.17,0.00,0.00
734,0.00,0.44,0.28,0.09,0.14,0.01,0.82,0.76,0.41,2.73,0.01,0.04,0.46,0.64,1.35,5.26,83.75,0.00,0.00
735,0.00,0.11,0.03,0.00,0.02,0.00,0.03,0.24,0.00,0.27,0.00,0.00,0.26,0.02,0.27,5.92,91.72,0.20,0.00
736,0.01,0.26,0.11,0.03,0.05,0.00,0.10,0.56,0.00,0.36,0.05,0.13,2.96,1.57,1.66,42.74,47.24,0.00,0.00
737,0.03,0.43,0.53,0.11,0.09,0.07,1.32,0.74,1.79,1.11,0.08,0.07,0.57,1.77,2.79,15.55,72.24,0.00,0.00
738,0.02,0.12,0.03,0.03,0.01,0.00,0.18,0.33,0.20,0.18,0.00,0.00,0.11,0.25,1.05,3.27,92.11,0.20,0.00
739,0.00,0.06,0.02,0.01,0.01,0.00,0.06,0.15,0.04,0.13,0.00,0.02,0.48,0.24,0.61,0.29,96.99,0.46,0.00
740,0.00,0.15,0.04,0.00,0.01,0.04,0.07,0.20,0.09,0.15,0.00,0.00,5.33,1.29,3.87,43.83,44.80,0.00,0.00
741,0.02,0.85,0.67,0.21,0.10,0.10,3.91,1.78,0.00,3.89,0.02,0.01,5.61,0.83,1.54,3.27,52.04,0.50,0.00
742,0.00,0.17,0.02,0.01,0.01,0.00,0.06,0.32,0.11,0.23,0.00,0.00,0.60,0.04,0.06,2.31,95.90,0.00,0.00
743,0.01,0.26,0.16,0.06,0.18,0.04,1.03,1.39,0.95,3.47,0.00,0.04,1.42,0.36,1.56,2.94,85.71,0.04,0.00
744,0.09,1.96,3.33,1.23,0.97,2.35,9.24,2.52,1.92,6.67,0.19,0.03,23.42,5.09,7.43,9.57,22.74,0.00,0.00
745,0.00,0.34,0.01,0.01,0.01,0.00,0.02,0.27,0.00,0.02,0.00,0.00,0.65,0.09,0.42,1.10,97.03,0.00,0.00
746,0.13,0.91,0.40,0.18,0.17,0.45,1.77,1.16,0.00,3.21,0.03,0.01,0.14,0.99,18.89,50.72,19.89,0.00,0.00
747,0.42,1.09,2.66,0.19,1.83,3.78,8.25,0.60,8.30,2.15,0.00,0.02,0.02,0.02,1.07,22.68,45.98,0.00,0.00
748,11.07,1.67,3.12,3.94,2.85,1.23,1.61,0.96,12.26,0.43,0.02,0.00,9.82,1.20,1.70,3.66,17.58,0.00,0.00
749,0.56,2.30,5.22,3.99,1.53,5.85,7.75,1.27,6.28,1.42,0.15,0.04,10.35,12.24,3.75,29.58,7.38,0.00,0.00
750,0.04,0.77,1.29,0.47,1.07,1.94,4.80,0.75,7.13,0.89,0.00,0.03,0.26,0.07,0.04,9.07,69.94,0.10,0.00
751,0.01,11.77,17.65,5.99,12.52,36.33,2.88,1.69,8.73,0.01,0.06,0.04,0.01,0.02,0.00,0.00,1.26,0.00,0.00
752,0.24,8.94,17.99,9.54,5.36,34.03,11.12,1.59,4.75,0.20,0.00,0.01,2.25,2.00,0.01,0.03,1.05,0.00,0.00
753,0.05,1.79,4.97,1.21,1.89,2.78,7.97,2.67,6.86,2.13,0.01,0.06,5.18,4.89,1.30,35.19,19.89,0.00,0.00
754,0.00,2.08,2.55,0.84,0.77,0.55,7.45,3.66,0.95,2.15,0.02,0.01,42.91,9.15,3.01,14.96,8.67,0.00,0.00
755,0.41,2.46,4.51,1.59,2.36,4.59,10.42,4.60,9.27,4.98,0.12,0.06,20.54,2.01,1.01,5.37,24.42,0.33,0.00
756,0.08,1.41,1.76,0.25,1.66,2.24,12.83,1.45,7.69,1.69,0.00,0.00,0.92,0.36,0.18,14.19,51.93,0.00,0.00
757,0.00,0.06,0.01,0.07,0.01,0.00,0.02,0.31,0.00,0.01,0.00,0.07,0.23,0.09,0.69,11.87,86.42,0.00,0.00
758,0.00,0.08,0.00,0.00,0.01,0.00,0.00,0.08,0.00,0.00,0.01,0.04,0.13,0.42,0.86,11.80,86.47,0.00,0.00
759,0.00,0.73,0.23,0.19,0.08,0.20,0.81,1.07,0.43,2.30,0.03,0.03,2.76,12.22,1.29,0.30,76.26,0.05,0.00
760,0.00,1.09,0.71,0.34,0.27,0.84,2.44,1.39,1.69,4.94,0.06,0.23,3.40,12.88,1.55,0.47,66.66,0.00,0.00
761,0.01,1.44,0.96,0.58,0.53,0.97,3.98,1.59,3.59,7.68,0.05,0.29,6.51,14.12,0.74,0.24,55.38,0.01,0.00
762,0.00,0.49,0.21,0.16,0.06,0.12,0.46,0.94,0.01,2.11,0.01,0.03,4.95,11.27,1.19,0.89,75.84,0.45,0.00
763,0.13,0.68,0.34,0.22,0.15,0.24,1.10,1.42,0.03,1.93,0.02,0.07,12.69,18.25,1.57,0.51,59.04,0.05,0.00
764,0.00,0.61,0.27,0.15,0.04,0.14,0.90,1.11,0.34,1.44,0.12,0.22,2.61,12.57,1.02,1.04,76.64,0.13,0.00
765,0.00,0.31,0.07,0.05,0.00,0.00,0.08,0.72,0.00,0.17,0.00,0.10,0.36,5.18,0.16,0.24,90.14,0.26,0.00
766,0.00,0.50,0.10,0.04,0.03,0.00,0.15,1.19,0.00,0.17,0.01,0.10,0.56,14.78,0.57,1.42,79.95,0.05,0.00
767,0.06,0.39,0.08,0.05,0.01,0.02,0.18,0.64,0.00,0.33,0.01,0.05,9.90,21.34,1.81,1.87,60.85,0.97,0.00
768,0.06,0.82,0.48,0.49,0.09,0.14,1.18,1.42,0.23,2.23,0.02,0.13,20.75,33.96,1.43,0.61,34.93,0.40,0.00
769,0.87,0.34,0.10,0.03,0.04,0.10,0.36,0.67,0.46,1.45,0.02,0.02,6.42,10.09,1.40,0.77,74.99,0.48,0.00
770,0.06,1.26,0.98,0.65,0.32,1.10,2.42,1.50,2.08,1.86,0.02,0.06,6.96,39.47,1.39,1.12,36.65,0.26,0.00
771,0.02,0.99,0.46,0.52,0.07,0.11,1.18,1.40,0.47,0.65,0.02,0.01,34.16,36.73,1.04,0.48,21.44,0.03,0.00
772,0.40,0.33,0.16,0.07,0.03,0.02,0.49,0.85,0.71,1.06,0.01,0.03,4.05,15.25,1.20,1.12,69.66,0.18,0.00
773,0.93,0.69,0.52,0.35,0.10,0.11,1.34,1.76,0.33,0.75,0.03,0.04,12.81,34.57,1.19,1.14,40.17,0.01,0.00
774,0.04,0.99,0.84,0.34,0.19,0.46,2.50,1.22,2.47,0.68,0.03,0.04,3.84,31.49,1.29,0.79,50.63,0.08,0.00
775,0.07,1.15,0.79,0.39,0.14,0.09,2.16,2.21,1.00,1.29,0.02,0.09,6.46,43.77,0.71,1.13,36.66,0.45,0.00
776,1.23,0.51,0.25,0.03,0.04,0.00,1.20,1.81,1.12,1.13,0.00,0.03,3.83,31.54,1.17,0.50,55.08,0.00,0.00
777,0.01,0.51,0.09,0.02,0.02,0.01,0.15,0.96,0.00,0.32,0.00,0.02,2.51,33.74,1.84,2.39,56.95,0.02,0.00
778,0.00,1.66,1.44,0.72,0.37,0.89,2.70,1.68,0.68,0.79,0.01,0.05,6.42,67.25,1.02,0.35,13.04,0.15,0.00
779,0.19,0.32,0.08,0.02,0.05,0.03,0.37,0.64,0.00,0.43,0.00,0.04,4.74,15.37,1.13,0.42,73.48,0.65,0.00
780,1.43,0.53,0.16,0.05,0.05,0.08,0.53,0.67,0.01,0.70,0.00,0.12,7.20,32.24,1.29,0.23,53.25,0.72,0.00
781,3.90,0.76,0.70,0.43,0.13,0.75,1.06,0.68,0.49,0.59,0.06,0.02,60.59,5.81,0.19,0.05,16.86,0.38,0.00
782,0.22,0.72,0.30,0.13,0.09,0.24,0.94,0.97,0.23,1.11,0.05,0.06,56.02,8.62,0.63,0.42,27.49,0.16,0.00
783,1.25,0.69,0.24,0.17,0.07,0.07,0.79,1.05,0.22,1.50,0.14,0.10,43.16,12.67,0.71,0.58,35.29,0.06,0.00
784,9.25,0.82,0.51,0.47,0.11,0.24,0.75,0.60,0.27,0.37,0.02,0.05,57.77,3.80,0.20,1.15,10.29,0.19,0.00
785,6.78,1.86,1.37,1.97,0.28,1.34,2.26,0.77,2.36,0.33,0.02,0.08,50.59,6.04,0.16,0.04,11.07,0.13,0.00
786,0.36,0.77,0.99,0.29,0.39,1.15,1.96,0.78,1.23,1.23,0.00,0.08,22.59,25.70,1.45,0.40,39.44,0.14,0.00
787,0.49,0.21,0.03,0.01,0.01,0.00,0.10,0.43,0.00,0.67,0.00,0.02,2.35,6.25,0.80,0.00,86.70,0.67,0.00
788,0.27,0.33,0.04,0.03,0.01,0.00,0.06,0.48,0.00,0.23,0.04,0.01,6.04,15.24,1.34,2.71,70.36,1.88,0.00
789,0.16,0.47,0.24,0.06,0.08,0.15,0.64,0.54,0.02,0.19,0.00,0.01,61.52,12.12,0.49,0.05,22.66,0.03,0.00
790,1.07,0.64,0.33,0.16,0.10,0.18,1.12,0.90,0.03,0.52,0.03,0.03,48.73,20.47,1.02,0.46,22.36,0.10,0.00
791,0.45,0.69,0.05,0.23,0.02,0.00,0.30,0.96,0.00,0.51,0.13,0.01,18.91,41.29,1.26,0.15,34.05,0.46,0.00
792,0.04,0.42,0.26,0.05,0.08,0.11,0.87,0.95,0.15,0.63,0.00,0.21,18.54,28.22,1.33,0.19,45.72,1.50,0.00
793,0.13,0.98,0.32,0.32,0.10,0.24,0.75,1.11,0.04,0.52,0.00,0.01,58.16,10.83,0.61,0.59,24.93,0.06,0.00
794,16.82,0.48,0.16,0.10,0.03,0.14,0.29,0.38,0.04,0.10,0.00,0.00,65.32,1.29,0.03,0.06,7.03,0.01,0.00
795,7.78,0.44,0.08,0.01,0.09,0.07,0.28,0.42,0.00,0.04,0.00,0.00,82.10,2.36,0.07,0.01,4.82,0.00,0.00
796,3.64,0.62,0.23,0.10,0.05,0.11,0.67,0.52,0.00,0.05,0.01,0.01,89.24,1.32,0.02,0.03,2.35,0.01,0.00
797,17.08,0.49,0.11,0.07,0.03,0.10,0.24,0.30,0.04,0.08,0.00,0.00,70.43,0.97,0.02,0.01,6.53,0.00,0.00
798,8.23,0.61,0.22,0.08,0.05,0.06,0.66,0.58,0.23,0.48,0.00,0.00,58.97,7.43,0.21,0.18,18.44,0.03,0.00
799,33.69,0.26,0.06,0.01,0.02,0.02,0.15,0.20,0.00,0.10,0.00,0.01,51.28,1.66,0.04,0.01,8.33,0.00,0.00
800,8.41,0.53,0.11,0.04,0.02,0.03,0.36,0.38,0.00,0.13,0.00,0.00,81.13,1.92,0.04,0.03,5.64,0.04,0.00
801,14.09,0.64,0.27,0.22,0.04,0.10,0.39,0.47,0.52,0.19,0.01,0.00,59.30,2.61,0.04,0.04,14.67,0.00,0.00
802,11.31,0.69,0.39,0.11,0.05,0.25,0.67,0.41,0.39,0.18,0.01,0.01,71.39,1.44,0.01,0.02,9.42,0.00,0.00
803,4.88,0.43,0.12,0.04,0.02,0.03,0.32,0.52,0.00,0.20,0.00,0.00,76.56,2.22,0.00,0.03,12.71,0.00,0.00
804,25.63,0.87,1.09,1.17,0.29,1.57,1.83,1.51,1.01,0.75,0.06,0.01,36.60,9.59,0.27,0.12,10.10,0.02,0.00
805,43.96,0.10,0.01,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00,37.68,2.27,0.02,0.06,11.90,0.00,0.00
806,33.51,0.54,0.12,0.14,0.01,0.02,0.41,0.58,0.01,0.25,0.01,0.00,39.54,9.60,0.34,0.10,11.07,0.00,0.00
807,74.21,0.25,0.06,0.24,0.02,0.01,0.13,0.42,0.10,0.23,0.01,0.01,7.06,1.84,0.08,0.02,6.62,0.01,0.00
808,46.67,0.14,0.18,0.16,0.06,0.22,0.41,0.16,0.47,0.35,0.01,0.05,0.74,1.03,0.03,0.00,11.50,0.07,0.00
809,0.58,0.35,0.27,0.11,0.08,0.13,0.94,0.86,0.15,2.18,0.02,0.08,15.02,14.13,1.38,0.14,62.64,0.20,0.00
810,5.35,0.89,0.62,0.31,0.16,0.53,1.44,1.00,1.04,0.99,0.01,0.03,32.08,20.74,1.66,0.20,31.58,0.04,0.00
811,1.25,0.40,0.10,0.06,0.01,0.02,0.29,0.46,0.00,0.64,0.01,0.13,3.89,13.93,1.37,0.45,76.48,0.00,0.00
812,6.14,1.22,1.95,0.92,0.45,0.93,6.08,2.21,4.02,4.80,0.05,0.27,5.62,15.80,0.83,0.41,47.25,0.00,0.00
813,29.93,0.82,0.68,0.41,0.17,0.22,1.63,1.15,1.46,1.92,0.03,0.07,2.23,3.37,0.19,0.37,54.16,0.20,0.00
814,19.95,0.97,1.70,0.47,0.54,1.11,3.44,1.92,2.79,1.80,0.40,0.88,13.83,17.34,0.38,1.75,28.28,0.52,0.00
815,5.80,1.20,1.74,0.32,0.34,0.40,3.22,2.92,2.37,3.27,0.09,0.18,11.90,16.33,0.11,1.24,42.35,0.32,0.00
816,22.62,0.93,0.80,0.26,0.34,0.17,1.34,1.26,2.04,1.29,0.04,0.02,8.63,15.43,0.36,0.85,38.11,0.41,0.00
817,21.76,0.49,0.05,0.02,0.01,0.00,0.10,0.37,0.00,0.20,0.11,0.23,3.39,1.50,0.08,0.31,70.80,0.13,0.00
818,19.66,1.10,0.83,0.50,0.20,0.46,1.62,1.17,2.34,1.31,0.08,0.15,3.41,2.64,0.13,0.47,62.04,0.03,0.00
819,80.26,0.08,0.00,0.00,0.01,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,15.08,4.25,0.00
820,7.64,0.79,0.32,0.07,0.05,0.04,0.69,0.83,0.00,0.83,0.00,0.00,23.55,6.09,0.34,0.75,57.76,0.00,0.00
821,67.83,0.30,0.10,0.18,0.01,0.00,0.37,0.22,0.98,0.30,0.06,0.10,0.48,0.60,0.05,0.01,21.87,0.06,0.00
822,30.82,0.90,0.87,0.76,0.39,0.32,1.69,0.90,2.83,3.20,0.17,0.05,1.52,1.63,0.08,0.08,41.33,1.02,0.00
823,34.30,1.59,2.44,2.09,1.22,0.61,5.68,2.09,5.97,5.19,0.79,0.21,0.44,0.46,0.04,0.03,23.86,2.28,0.00
824,74.61,0.13,0.39,0.05,0.12,0.00,1.28,1.04,0.79,0.61,0.02,0.00,0.00,0.02,0.00,0.00,15.39,1.04,0.00
825,52.53,0.21,0.08,0.03,0.03,0.01,0.10,0.13,0.02,0.18,0.00,0.01,22.43,1.47,0.05,0.04,10.14,0.46,0.00
826,66.13,0.33,0.13,0.03,0.15,0.00,0.28,0.37,0.65,0.31,0.00,0.07,3.27,1.73,0.06,0.06,11.60,14.32,0.00
827,5.29,4.98,8.80,2.25,3.67,11.88,10.88,2.89,9.82,2.81,0.14,0.18,16.81,4.02,0.01,0.10,11.84,0.35,0.00
828,78.04,0.42,0.55,0.36,0.25,0.13,1.35,0.46,0.07,0.94,0.00,0.01,0.01,0.00,0.00,0.00,7.08,0.65,0.00
829,0.09,0.26,0.05,0.02,0.01,0.00,0.08,0.66,0.00,0.15,0.01,0.03,0.13,1.05,0.07,0.02,81.24,13.78,0.00
830,0.01,0.11,0.00,0.00,0.00,0.00,0.01,0.08,0.00,0.03,0.00,0.01,0.00,0.00,0.00,0.03,56.27,42.78,0.01
