uniqid_eco4,NWALT74_12_eco4,NWALT74_21_eco4,NWALT74_22_eco4,NWALT74_23_eco4,NWALT74_24_eco4,NWALT74_25_eco4,NWALT74_26_eco4,NWALT74_27_eco4,NWALT74_31_eco4,NWALT74_32_eco4,NWALT74_33_eco4,NWALT74_41_eco4,NWALT74_43_eco4,NWALT74_44_eco4,NWALT74_45_eco4,NWALT74_46_eco4,NWALT74_50_eco4,NWALT74_60_eco4,NWALT74_9999_eco4
576,3.65,0.12,0.01,0.00,0.11,0.00,0.02,0.07,0.00,0.36,0.00,0.03,0.57,1.87,0.08,0.08,90.03,0.01,0.00
577,0.69,0.60,0.00,0.00,1.07,0.00,0.00,0.02,0.00,2.43,0.01,0.01,0.65,0.69,0.00,0.14,86.68,0.05,0.00
578,0.95,0.33,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.16,0.00,0.02,0.18,0.33,0.00,0.00,91.23,0.07,0.00
579,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.33,1.71,0.19,0.31,90.46,0.23,0.00
580,1.28,0.20,0.07,0.01,0.02,0.00,0.07,0.21,0.00,0.54,0.00,0.04,5.91,17.51,0.79,0.99,71.66,0.00,0.00
581,1.74,0.36,0.04,0.00,0.02,0.00,0.03,0.79,0.00,1.45,0.00,0.06,0.18,2.69,0.03,0.00,91.50,0.00,0.00
582,3.71,1.85,1.22,0.32,0.48,0.65,3.08,2.07,1.62,7.12,0.01,0.19,5.09,20.97,0.57,0.07,48.90,0.44,0.00
583,0.56,0.47,0.10,0.02,0.03,0.00,0.07,0.61,0.04,0.40,0.01,0.04,1.34,3.89,0.05,0.02,90.45,1.16,0.00
584,2.37,0.77,0.13,0.06,0.07,0.06,0.46,0.73,0.01,4.09,0.02,0.03,0.28,2.25,0.13,0.00,84.39,1.12,0.00
585,1.74,0.76,0.28,0.10,0.13,0.18,1.13,1.21,1.19,5.55,0.01,0.03,0.92,5.82,0.45,0.01,77.60,0.19,0.00
586,0.22,0.78,0.24,0.05,0.02,0.07,0.34,0.91,0.02,1.55,0.01,0.04,2.72,7.71,0.21,0.05,84.49,0.10,0.00
587,2.20,0.79,0.37,0.10,0.16,0.05,0.86,1.40,0.24,4.29,0.02,0.12,0.74,4.08,0.11,0.02,81.76,0.27,0.00
588,1.47,1.01,1.01,0.27,0.72,0.77,5.17,1.90,4.94,16.01,0.01,0.08,10.79,10.84,0.45,0.09,43.91,0.22,0.00
589,2.27,1.43,0.82,0.45,0.56,0.48,5.63,1.27,6.77,14.90,0.03,0.16,0.84,1.92,0.03,0.00,56.32,1.13,0.00
590,0.08,0.00,0.00,0.00,0.01,0.00,0.00,0.04,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,86.85,12.87,0.02
591,0.73,0.45,0.15,0.06,0.00,0.00,0.18,1.13,0.01,0.96,0.00,0.01,7.60,19.69,0.21,0.10,67.70,0.02,0.01
592,0.75,1.10,0.29,0.12,0.04,0.06,0.47,0.94,0.00,1.34,0.02,0.07,8.50,10.10,0.10,0.11,73.90,0.13,0.01
