uniqid_county,NLCD06_11_county,NLCD06_12_county,NLCD06_21_county,NLCD06_22_county,NLCD06_23_county,NLCD06_24_county,NLCD06_31_county,NLCD06_41_county,NLCD06_42_county,NLCD06_43_county,NLCD06_52_county,NLCD06_71_county,NLCD06_81_county,NLCD06_82_county,NLCD06_90_county,NLCD06_95_county,NLCD06_9999_county
1193,0.39,0.00,4.50,1.12,0.33,0.12,0.04,59.27,5.24,6.40,2.65,1.94,17.62,0.21,0.16,0.01,0.00
1194,1.03,0.00,5.27,1.24,0.34,0.14,0.19,38.02,15.68,6.44,2.38,9.17,16.77,1.09,2.20,0.04,0.00
1195,1.03,0.00,6.44,1.00,0.37,0.12,0.09,67.81,6.99,4.19,1.71,2.65,7.21,0.18,0.23,0.00,0.00
1196,9.71,0.00,3.18,2.03,0.67,0.23,0.34,0.45,27.68,1.12,7.98,2.25,4.10,1.46,34.47,4.32,0.00
1197,5.43,0.00,11.39,4.91,1.26,0.55,0.61,27.78,9.97,0.55,0.58,9.73,25.62,0.13,1.51,0.01,0.00
1198,1.06,0.00,7.27,3.03,0.67,0.34,0.15,41.33,14.08,1.58,1.80,6.16,21.27,0.10,1.15,0.01,0.00
1199,2.04,0.00,9.48,7.46,3.48,1.13,0.32,14.79,21.65,2.34,1.16,10.64,3.66,4.01,17.27,0.56,0.00
1200,0.90,0.00,5.65,2.73,0.63,0.17,0.40,0.94,23.12,1.41,9.41,2.97,6.95,6.63,35.94,2.17,0.00
1201,1.32,0.00,3.62,1.17,0.27,0.09,0.07,0.25,12.19,0.37,8.08,1.74,2.16,17.70,49.62,1.35,0.00
1202,1.91,0.00,4.94,1.66,0.40,0.14,0.29,2.19,18.45,0.92,10.03,3.00,11.26,16.84,26.55,1.41,0.00
1203,0.58,0.00,3.95,1.19,0.22,0.10,1.00,34.18,34.04,0.66,1.30,8.85,9.96,0.02,3.93,0.01,0.00
1204,1.84,0.00,4.53,1.87,0.41,0.12,0.53,15.27,30.06,5.62,1.46,16.72,3.62,5.11,12.60,0.24,0.00
1205,0.36,0.00,3.76,0.57,0.14,0.04,0.06,0.82,20.29,0.90,11.92,2.96,6.14,13.29,36.71,2.06,0.00
1206,1.99,0.00,9.16,2.05,0.78,0.33,0.44,23.95,32.41,0.88,3.54,9.38,13.11,0.01,1.97,0.02,0.00
1207,1.27,0.00,13.63,5.71,1.92,0.99,0.48,32.05,11.61,0.59,1.00,7.39,21.18,0.11,2.06,0.00,0.00
1208,11.62,0.00,4.27,1.12,0.13,0.04,0.06,0.78,13.17,0.84,7.06,1.84,8.69,19.14,29.15,2.09,0.00
1209,5.00,0.00,6.89,2.75,1.09,0.20,0.71,0.41,21.08,0.82,5.10,1.39,1.47,1.96,17.08,34.06,0.00
1210,0.27,0.00,3.64,0.95,0.16,0.04,0.19,2.94,14.75,1.41,6.00,4.54,3.18,35.96,25.52,0.44,0.00
1211,0.40,0.00,3.24,1.33,0.22,0.04,0.17,0.77,24.11,0.55,12.46,4.60,4.43,11.29,34.41,1.99,0.00
