uniqid_huc10,NLCD11_11_huc10,NLCD11_12_huc10,NLCD11_21_huc10,NLCD11_22_huc10,NLCD11_23_huc10,NLCD11_24_huc10,NLCD11_31_huc10,NLCD11_41_huc10,NLCD11_42_huc10,NLCD11_43_huc10,NLCD11_52_huc10,NLCD11_71_huc10,NLCD11_81_huc10,NLCD11_82_huc10,NLCD11_90_huc10,NLCD11_95_huc10,NLCD11_9999_huc10
35,0.09,0.00,3.59,0.86,0.08,0.00,1.65,0.52,0.01,0.01,68.13,17.67,0.14,0.52,5.89,0.84,0.00
36,0.35,0.00,5.94,0.48,0.15,0.06,0.08,5.62,9.39,0.00,22.32,49.26,1.80,3.50,1.07,0.00,0.00
37,0.06,0.00,0.18,0.05,0.00,0.00,1.82,7.39,38.99,2.40,15.73,30.45,1.18,0.06,1.04,0.65,0.00
38,0.95,0.00,5.18,1.06,0.23,0.08,0.16,4.99,2.28,0.01,0.00,40.12,0.17,44.77,0.00,0.00,0.00
39,3.66,0.00,5.89,1.81,0.41,0.12,0.02,30.08,1.79,0.00,0.00,44.12,10.56,1.53,0.01,0.00,0.00
40,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.01,0.00,99.46,0.00,0.00,0.00,0.00,0.00,0.44
41,0.46,0.00,4.56,0.81,0.31,0.11,0.01,3.42,0.04,0.04,2.45,50.48,0.06,37.23,0.00,0.01,0.00
42,0.76,0.00,4.54,0.02,0.00,0.00,0.00,1.02,0.60,0.01,12.18,44.71,0.32,35.83,0.00,0.00,0.00
43,0.31,0.00,0.38,0.57,0.14,0.02,0.02,0.00,0.01,0.00,90.95,4.27,0.22,0.00,2.17,0.95,0.00
44,0.00,0.00,0.00,0.00,0.00,0.00,17.03,0.00,0.93,0.00,48.90,33.10,0.00,0.00,0.04,0.00,0.00
45,0.03,0.00,0.31,0.11,0.01,0.00,10.43,0.00,0.00,0.00,88.56,0.10,0.00,0.46,0.00,0.00,0.00
46,1.80,0.00,3.11,0.90,0.37,0.09,0.04,1.14,0.00,0.02,0.01,55.47,0.02,36.46,0.57,0.02,0.00
47,5.04,0.00,12.82,13.31,5.40,3.64,0.51,18.61,0.82,0.00,0.06,36.59,2.49,0.25,0.28,0.18,0.00
48,0.01,0.00,0.16,0.09,0.00,0.00,0.00,0.01,19.59,0.00,71.38,8.57,0.00,0.10,0.03,0.06,0.00
49,0.07,0.00,4.66,3.39,0.86,0.13,1.90,6.93,0.52,0.67,27.16,7.48,31.92,11.53,2.62,0.16,0.00
50,0.14,0.00,2.10,3.47,1.98,0.51,13.56,0.00,0.00,0.00,78.09,0.09,0.00,0.04,0.01,0.01,0.00
51,0.53,0.00,2.22,0.39,0.19,0.13,0.11,0.00,0.00,0.00,85.01,6.10,0.97,3.63,0.45,0.28,0.00
52,0.44,0.00,3.79,0.58,0.04,0.01,0.00,1.67,0.00,0.00,0.05,43.55,0.01,48.97,0.81,0.08,0.00
53,0.01,0.00,0.03,0.03,0.00,0.00,1.64,0.00,6.23,0.00,77.23,14.59,0.07,0.00,0.16,0.00,0.00
54,0.00,0.00,0.96,0.13,0.05,0.00,0.28,2.21,13.33,0.19,40.52,41.41,0.15,0.72,0.04,0.00,0.00
55,0.00,0.00,0.57,0.03,0.01,0.00,0.35,2.00,16.56,0.28,44.04,35.71,0.31,0.06,0.00,0.08,0.00
56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.71,0.00,54.77,37.45,0.00,0.07,0.00,0.00,0.00
57,0.00,0.00,0.30,0.12,0.01,0.00,0.35,0.01,17.54,0.00,74.80,5.77,0.75,0.05,0.21,0.09,0.00
58,0.13,0.00,5.45,0.31,0.04,0.01,0.45,0.63,2.50,0.01,77.09,9.70,0.07,3.15,0.44,0.03,0.00
59,0.01,0.00,5.49,1.11,0.18,0.04,0.33,0.00,0.00,0.00,29.10,29.97,0.00,33.76,0.00,0.00,0.00
60,0.00,0.00,0.39,0.04,0.00,0.00,23.12,0.00,0.00,0.00,76.45,0.00,0.00,0.00,0.00,0.00,0.00
61,0.04,0.00,2.16,0.29,0.15,0.02,0.21,0.04,0.00,0.04,46.40,22.32,10.03,15.47,2.79,0.04,0.00
62,0.02,0.00,0.10,0.02,0.00,0.00,0.08,0.01,24.68,0.00,73.33,1.44,0.09,0.01,0.22,0.00,0.00
63,0.02,0.00,1.03,0.13,0.02,0.00,0.12,0.00,1.56,0.00,83.39,13.12,0.04,0.57,0.00,0.00,0.00
64,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,1.22,0.00,84.77,13.20,0.00,0.00,0.23,0.00,0.01
65,2.73,0.00,3.88,0.50,0.17,0.05,0.42,19.24,3.74,0.47,25.28,4.23,35.86,0.46,2.31,0.66,0.00
66,0.01,0.00,2.92,0.25,0.03,0.00,0.43,0.16,0.07,0.01,30.35,29.75,30.73,4.55,0.68,0.05,0.00
67,0.01,0.00,0.44,0.02,0.00,0.00,0.45,0.00,25.43,0.00,68.87,3.66,0.97,0.01,0.06,0.09,0.00
68,0.00,0.00,0.66,0.00,0.00,0.00,0.01,0.00,4.38,0.00,24.62,70.28,0.00,0.03,0.01,0.01,0.00
69,1.22,0.00,0.26,0.13,0.01,0.00,0.55,0.06,0.00,0.00,95.83,0.15,0.30,0.00,1.28,0.20,0.00
70,0.05,0.00,3.58,0.39,0.02,0.01,0.24,0.08,0.01,0.00,10.00,67.14,0.00,18.27,0.16,0.06,0.00
71,0.00,0.00,0.20,0.12,0.01,0.00,3.14,0.00,0.00,0.00,87.91,8.62,0.00,0.00,0.00,0.00,0.00
72,0.00,0.00,1.15,0.34,0.03,0.00,34.75,0.00,5.92,0.00,48.02,8.02,0.06,1.51,0.17,0.02,0.00
73,0.01,0.00,4.76,2.11,0.90,0.25,0.29,3.14,0.11,0.02,29.91,2.95,30.98,22.06,2.45,0.05,0.00
74,0.02,0.00,0.22,0.17,0.01,0.00,0.01,0.43,1.29,0.00,94.49,1.19,0.00,0.00,2.05,0.03,0.09
75,0.71,0.00,4.30,0.87,0.11,0.03,0.25,2.13,2.39,0.03,0.01,31.48,0.14,57.52,0.00,0.04,0.00
76,0.61,0.00,2.66,1.90,0.34,0.04,0.01,1.16,19.70,0.01,44.66,1.59,23.71,1.96,1.64,0.03,0.00
77,0.03,0.00,9.13,5.34,5.31,0.65,0.76,0.01,2.03,5.87,52.53,14.69,1.36,1.79,0.28,0.23,0.00
78,0.22,0.00,3.14,0.32,0.01,0.00,0.04,0.03,0.01,0.00,10.97,30.70,0.19,52.37,0.70,1.28,0.00
79,0.00,0.00,1.50,0.36,0.02,0.00,0.27,0.00,0.00,0.00,96.92,0.04,0.00,0.89,0.00,0.00,0.00
80,0.00,0.00,0.00,0.00,0.00,0.00,12.22,0.00,0.57,0.00,81.46,5.74,0.00,0.00,0.00,0.00,0.00
81,6.72,0.00,3.48,0.52,0.04,0.02,0.22,7.40,0.00,0.04,0.00,44.19,4.50,23.98,7.44,1.45,0.00
82,2.44,0.00,4.98,3.57,0.84,0.15,0.21,5.55,0.00,0.02,0.01,25.33,3.10,50.71,3.04,0.06,0.00
83,0.00,0.00,0.72,0.12,0.01,0.00,0.01,0.00,0.00,0.00,97.96,1.18,0.00,0.00,0.00,0.00,0.00
84,0.92,0.00,18.91,16.52,12.96,1.64,0.41,0.00,0.23,0.62,37.78,5.74,0.75,2.32,0.57,0.64,0.00
85,0.00,0.00,0.00,0.00,0.00,0.00,49.40,0.00,0.00,0.00,50.60,0.00,0.00,0.00,0.00,0.00,0.00
86,0.68,0.00,5.47,0.40,0.10,0.01,0.01,0.23,0.39,0.00,65.42,4.62,0.22,22.22,0.01,0.23,0.00
87,0.26,0.00,4.94,0.16,0.02,0.00,0.02,2.57,1.80,0.01,9.96,53.01,0.82,26.17,0.25,0.00,0.00
88,0.31,0.00,6.41,0.13,0.02,0.00,0.01,3.44,0.99,0.01,11.51,68.55,0.00,8.31,0.32,0.00,0.00
89,0.21,0.00,0.80,0.33,0.02,0.00,0.02,0.47,24.54,0.10,58.32,11.76,0.09,2.29,1.03,0.01,0.00
90,0.00,0.00,0.00,0.00,0.00,0.00,14.08,0.00,0.26,0.00,84.92,0.74,0.00,0.00,0.00,0.00,0.00
91,0.00,0.00,0.30,0.06,0.00,0.00,0.60,0.00,4.76,0.00,93.18,1.11,0.00,0.00,0.00,0.00,0.00
92,0.01,0.00,4.11,0.28,0.02,0.00,0.98,0.00,0.00,0.08,10.73,76.34,0.00,7.41,0.02,0.00,0.00
93,0.57,0.00,9.21,4.25,6.29,0.50,0.70,0.00,2.50,5.97,52.42,14.41,1.83,0.40,0.32,0.63,0.00
94,0.31,0.00,2.60,0.03,0.00,0.00,0.36,0.24,2.33,0.00,21.36,37.55,0.00,32.13,0.01,3.07,0.00
95,0.00,0.00,0.07,0.00,0.00,0.00,0.01,0.00,0.00,0.00,98.69,0.27,0.00,0.00,0.91,0.05,0.00
96,1.66,0.00,3.99,0.67,0.12,0.02,1.00,18.15,0.02,0.00,0.40,55.25,7.51,11.13,0.04,0.04,0.00
97,0.01,0.00,0.50,0.20,0.01,0.00,3.34,0.00,6.81,0.00,83.31,5.83,0.00,0.00,0.00,0.01,0.00
98,0.15,0.00,0.97,0.38,0.02,0.00,0.38,0.01,10.87,0.00,82.20,1.63,0.14,3.06,0.16,0.03,0.00
99,3.89,0.00,4.88,1.06,0.20,0.04,0.04,13.23,0.97,0.00,0.12,35.22,19.66,20.20,0.42,0.08,0.00
100,0.00,0.00,0.14,0.03,0.00,0.00,0.21,0.00,0.65,0.01,98.05,0.90,0.00,0.00,0.00,0.00,0.00
101,0.17,0.00,0.04,0.01,0.00,0.00,0.04,1.18,56.17,0.17,41.35,0.64,0.00,0.00,0.09,0.13,0.00
102,0.21,0.00,12.11,21.31,16.53,3.26,0.01,0.00,0.00,0.00,41.76,0.96,0.30,3.48,0.06,0.00,0.00
103,0.01,0.00,0.38,0.25,0.01,0.00,0.23,0.00,20.49,0.00,78.37,0.24,0.01,0.00,0.00,0.01,0.00
104,0.02,0.00,5.22,0.65,0.08,0.00,9.48,0.01,25.57,2.31,45.90,8.13,0.03,1.69,0.89,0.01,0.00
105,0.04,0.00,1.41,0.26,0.05,0.01,0.00,4.54,3.46,0.00,88.89,1.35,0.00,0.00,0.00,0.00,0.00
106,0.13,0.00,2.99,0.33,0.06,0.02,2.54,0.27,0.37,1.26,41.98,17.87,0.00,31.79,0.38,0.00,0.00
107,0.10,0.00,0.80,0.01,0.00,0.00,1.47,4.80,8.42,0.14,61.39,18.61,0.00,3.72,0.15,0.39,0.00
108,0.06,0.00,0.63,0.01,0.00,0.00,17.36,0.00,41.56,0.00,35.91,4.45,0.00,0.00,0.01,0.00,0.00
109,0.05,0.00,0.26,0.13,0.01,0.00,0.34,0.00,0.61,0.00,96.36,0.63,0.01,0.01,1.41,0.19,0.00
110,0.00,0.00,1.02,0.01,0.00,0.00,0.07,0.00,0.00,0.00,2.52,96.37,0.00,0.00,0.00,0.00,0.00
111,0.09,0.00,6.21,1.00,0.24,0.03,8.56,0.00,0.00,0.09,5.31,36.11,1.80,39.89,0.00,0.69,0.00
112,0.02,0.00,1.36,0.72,0.13,0.03,0.83,3.45,57.44,1.61,21.96,10.46,1.19,0.16,0.62,0.03,0.00
113,0.03,0.00,0.91,0.31,0.03,0.00,1.74,1.70,4.37,0.02,75.21,13.19,1.32,0.26,0.90,0.01,0.00
114,0.02,0.00,1.39,0.22,0.04,0.00,0.25,0.13,12.05,0.00,80.54,2.25,0.00,2.52,0.29,0.30,0.00
115,0.25,0.00,1.19,0.12,0.04,0.00,0.05,0.00,1.17,0.00,94.42,0.20,0.00,1.45,0.59,0.52,0.00
116,0.14,0.00,1.68,0.06,0.01,0.00,0.09,0.06,0.02,0.20,87.08,3.83,0.00,6.14,0.19,0.51,0.00
117,0.73,0.00,3.29,0.97,0.22,0.04,0.09,33.36,0.05,0.00,0.01,45.99,11.77,3.40,0.06,0.04,0.00
118,0.13,0.00,0.29,0.02,0.00,0.00,7.54,0.36,16.22,0.00,57.60,17.47,0.06,0.00,0.05,0.25,0.00
119,0.36,0.00,0.20,0.01,0.00,0.00,0.09,0.00,0.00,0.00,81.75,16.43,0.00,0.13,0.42,0.61,0.00
120,1.70,0.00,4.10,0.60,0.01,0.00,0.66,4.93,1.15,0.02,38.10,23.49,16.29,2.80,5.03,1.11,0.00
121,0.41,0.00,0.57,0.01,0.00,0.00,0.07,1.27,58.48,0.08,5.55,31.46,0.67,0.02,0.21,1.22,0.00
122,0.00,0.00,0.17,0.12,0.01,0.00,0.11,0.01,4.22,0.03,95.30,0.02,0.00,0.00,0.00,0.00,0.00
123,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,20.16,0.00,76.19,3.36,0.03,0.00,0.01,0.01,0.00
124,0.32,0.00,6.60,0.33,0.08,0.04,0.02,2.31,2.95,0.03,62.46,15.12,0.58,9.14,0.02,0.00,0.00
125,0.00,0.00,0.50,0.04,0.00,0.00,0.03,0.00,0.00,0.00,98.20,0.11,0.00,0.68,0.06,0.37,0.00
126,0.00,0.00,1.07,0.85,0.27,0.05,0.10,0.11,14.28,0.01,52.49,30.37,0.15,0.25,0.00,0.00,0.00
127,0.29,0.00,4.79,0.50,0.11,0.03,0.03,0.10,0.01,0.00,5.93,16.85,0.00,71.25,0.01,0.10,0.00
128,0.67,0.00,5.03,0.80,0.18,0.01,0.00,0.03,9.93,4.45,69.49,7.92,0.01,0.08,0.35,1.04,0.00
129,0.01,0.00,0.34,0.07,0.00,0.00,0.04,0.06,7.05,0.00,87.12,5.21,0.00,0.10,0.00,0.00,0.00
130,0.00,0.00,1.50,0.27,0.10,0.00,0.02,0.34,0.50,0.00,96.21,1.06,0.00,0.00,0.00,0.00,0.00
131,0.02,0.00,0.19,0.03,0.00,0.00,1.44,0.00,2.71,0.00,87.35,7.94,0.00,0.00,0.04,0.27,0.00
132,0.01,0.00,0.98,0.41,0.05,0.00,0.17,0.00,8.86,0.00,57.35,32.10,0.00,0.06,0.01,0.00,0.00
133,0.16,0.00,4.41,1.67,0.37,0.07,13.91,0.00,0.00,0.01,2.73,30.08,2.40,44.16,0.00,0.02,0.00
134,0.06,0.00,5.59,1.64,0.65,0.16,0.32,0.00,0.00,0.00,0.29,13.69,1.47,75.98,0.10,0.05,0.00
135,0.11,0.00,0.68,0.53,0.19,0.01,1.45,0.00,50.46,0.00,34.96,11.57,0.00,0.00,0.04,0.00,0.00
136,0.59,0.00,4.31,0.93,0.22,0.02,0.00,3.66,0.00,0.07,0.00,49.79,3.77,35.43,1.19,0.01,0.00
137,0.67,0.00,4.58,0.74,0.31,0.07,0.04,2.99,0.01,0.00,12.24,68.32,0.43,9.54,0.03,0.03,0.00
138,0.02,0.00,0.31,0.07,0.00,0.00,0.13,0.02,30.74,0.00,66.07,2.13,0.05,0.00,0.40,0.06,0.00
139,0.01,0.00,0.45,0.43,0.09,0.00,0.70,0.00,34.22,0.00,47.64,16.41,0.00,0.02,0.01,0.01,0.00
140,0.14,0.00,1.82,1.24,0.64,0.09,10.03,0.00,15.87,0.00,69.96,0.02,0.00,0.00,0.18,0.01,0.00
141,0.35,0.00,2.34,4.73,1.54,0.27,4.75,0.02,0.05,0.05,19.46,0.01,31.49,34.42,0.32,0.19,0.01
142,0.00,0.00,0.87,1.05,0.74,0.10,2.25,0.00,0.00,0.00,94.95,0.02,0.00,0.01,0.00,0.00,0.00
143,0.42,0.00,0.15,0.01,0.00,0.00,0.11,0.00,0.00,0.00,58.46,40.35,0.00,0.07,0.08,0.35,0.00
144,0.04,0.00,0.12,0.04,0.00,0.00,0.02,0.00,0.04,0.00,90.37,9.18,0.00,0.00,0.01,0.16,0.00
145,0.70,0.00,6.53,4.09,1.19,0.36,0.10,0.00,0.17,0.00,86.15,0.40,0.03,0.17,0.00,0.00,0.10
146,0.00,0.00,3.60,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.26,0.00,27.06,0.00,0.07,0.00
147,0.02,0.00,1.95,0.00,0.00,0.00,0.41,0.00,8.16,20.65,49.76,16.20,1.37,0.14,0.64,0.68,0.00
148,0.03,0.00,0.72,0.13,0.02,0.00,1.04,0.00,13.63,0.00,75.33,9.00,0.03,0.02,0.02,0.03,0.00
149,0.05,0.00,1.71,2.26,0.80,0.03,49.49,0.00,0.34,0.00,37.49,0.07,1.31,6.35,0.07,0.03,0.00
150,0.32,0.00,4.58,0.87,0.36,0.16,0.05,0.00,0.11,1.69,21.57,21.47,0.00,48.73,0.08,0.01,0.00
151,6.86,0.00,9.98,3.73,1.71,0.57,0.40,2.97,3.41,0.00,0.00,33.19,4.89,28.27,3.88,0.12,0.00
152,0.07,0.00,0.03,0.00,0.00,0.00,0.05,0.00,2.80,0.00,16.12,80.24,0.00,0.32,0.13,0.24,0.00
153,0.06,0.00,2.12,1.38,0.17,0.00,0.97,0.02,0.43,0.08,57.48,20.68,12.22,0.06,3.36,0.98,0.00
154,0.60,0.00,5.39,0.47,0.11,0.02,0.23,8.43,2.10,1.30,4.03,15.44,40.29,18.93,2.42,0.25,0.00
155,1.25,0.00,3.87,0.32,0.04,0.01,0.00,0.08,0.00,0.00,0.02,29.42,0.00,64.48,0.48,0.00,0.00
156,0.19,0.00,2.38,0.47,0.02,0.00,0.38,7.51,0.15,0.21,33.06,3.15,40.30,8.56,3.37,0.25,0.00
157,0.95,0.00,1.75,0.18,0.04,0.00,0.54,0.03,7.10,12.87,59.63,15.90,0.12,0.13,0.26,0.50,0.00
158,0.56,0.00,2.85,1.74,0.47,0.13,1.68,0.13,5.27,0.02,58.38,19.36,1.87,5.23,2.27,0.04,0.00
159,0.15,0.00,1.82,0.49,0.11,0.01,0.00,9.08,10.28,0.00,75.86,1.64,0.18,0.35,0.03,0.00,0.00
160,0.02,0.00,3.08,1.28,0.34,0.16,0.91,0.00,0.00,0.00,93.29,0.90,0.00,0.00,0.00,0.00,0.00
161,0.14,0.00,1.01,0.06,0.00,0.00,0.04,9.09,13.30,0.00,36.03,38.31,0.66,0.84,0.52,0.00,0.00
162,0.06,0.00,3.96,0.18,0.01,0.00,0.21,0.02,0.00,0.00,5.93,77.47,0.00,11.70,0.46,0.00,0.00
163,0.17,0.00,3.81,0.60,0.07,0.02,0.00,0.21,0.00,0.00,0.01,26.37,0.00,66.88,1.73,0.12,0.00
164,0.03,0.00,0.80,0.28,0.03,0.00,0.34,4.40,38.51,1.96,14.23,31.52,4.05,0.21,2.58,1.04,0.00
165,0.06,0.00,4.42,0.50,0.25,0.08,0.12,5.97,6.39,1.13,14.39,5.40,46.73,11.45,2.77,0.37,0.00
166,0.00,0.00,0.28,0.04,0.00,0.00,0.02,0.09,0.22,0.00,41.09,58.07,0.00,0.00,0.11,0.06,0.00
167,0.02,0.00,0.00,0.00,0.00,0.00,4.98,0.03,15.41,0.14,78.96,0.20,0.00,0.00,0.26,0.00,0.00
168,0.27,0.00,10.23,15.60,32.73,10.28,0.21,0.01,0.14,0.68,20.43,8.83,0.01,0.04,0.46,0.10,0.00
169,1.42,0.00,4.21,1.29,0.51,0.14,2.96,1.85,0.00,0.00,0.59,36.31,0.02,50.69,0.00,0.02,0.00
170,0.23,0.00,10.26,9.60,9.09,1.08,0.30,0.00,2.23,0.81,59.19,5.86,0.14,0.22,0.82,0.16,0.00
171,0.74,0.00,4.81,0.52,0.13,0.02,1.09,0.86,0.00,0.00,22.39,61.21,0.66,7.52,0.02,0.04,0.00
172,0.12,0.00,0.77,0.12,0.01,0.00,0.00,0.00,18.04,0.34,80.01,0.34,0.03,0.02,0.09,0.11,0.00
173,0.02,0.00,7.96,5.48,7.12,0.75,0.15,0.00,10.19,11.55,44.33,7.48,0.09,4.70,0.16,0.02,0.00
174,0.05,0.00,1.33,0.14,0.01,0.00,0.20,0.03,1.07,0.14,33.35,56.07,0.00,7.56,0.05,0.00,0.00
175,0.00,0.00,0.36,0.07,0.00,0.00,6.85,0.01,2.30,0.01,89.73,0.67,0.00,0.00,0.00,0.00,0.00
176,0.00,0.00,2.52,0.45,0.02,0.00,1.25,0.00,0.00,0.00,85.14,0.48,0.90,9.23,0.01,0.00,0.00
177,0.02,0.00,0.31,0.26,0.05,0.02,5.26,0.00,0.07,0.00,85.60,7.73,0.01,0.00,0.67,0.00,0.00
178,0.00,0.00,0.21,0.02,0.00,0.00,2.20,0.01,2.66,0.00,60.39,34.27,0.15,0.00,0.09,0.00,0.00
179,0.01,0.00,3.13,0.22,0.01,0.00,2.77,0.00,0.00,1.70,70.90,5.94,0.00,15.21,0.10,0.00,0.00
180,0.00,0.00,3.73,0.13,0.02,0.00,0.04,0.64,12.54,0.00,51.87,10.51,0.94,19.54,0.06,0.00,0.00
181,0.00,0.00,1.50,0.51,0.06,0.05,0.31,0.00,0.65,0.00,95.98,0.94,0.00,0.00,0.00,0.00,0.00
182,0.11,0.00,0.19,0.00,0.00,0.00,0.01,0.00,4.76,0.00,8.62,86.01,0.00,0.22,0.00,0.08,0.00
183,0.32,0.00,1.25,0.38,0.03,0.00,0.90,0.00,0.14,0.00,83.09,7.73,0.58,2.89,2.58,0.10,0.00
184,0.00,0.00,6.58,4.67,0.78,0.24,0.11,0.02,1.12,0.02,80.81,5.65,0.00,0.00,0.00,0.00,0.00
185,0.02,0.00,1.23,0.04,0.01,0.00,0.00,0.47,0.44,0.00,97.66,0.13,0.00,0.00,0.02,0.00,0.00
186,0.00,0.00,0.18,0.01,0.00,0.00,0.01,0.19,82.92,0.00,9.60,6.98,0.00,0.00,0.06,0.04,0.00
187,2.42,0.00,12.76,6.52,4.82,3.11,0.13,4.55,3.69,0.00,0.00,17.85,25.20,15.30,3.55,0.09,0.00
188,0.45,0.00,2.88,0.11,0.02,0.00,0.00,0.14,0.00,0.00,0.01,52.19,2.88,40.89,0.40,0.03,0.00
189,0.03,0.00,0.09,0.05,0.00,0.00,1.23,0.00,1.59,0.00,90.69,6.13,0.06,0.01,0.10,0.00,0.00
190,0.09,0.00,2.39,0.08,0.00,0.00,0.32,0.05,1.10,0.45,54.21,27.92,0.00,13.34,0.04,0.00,0.00
191,0.04,0.00,0.57,2.68,0.71,0.02,0.50,0.08,0.03,0.18,65.29,4.48,17.68,4.62,2.76,0.35,0.00
192,0.00,0.00,0.81,0.07,0.00,0.00,0.35,0.00,0.00,0.00,97.84,0.16,0.00,0.59,0.13,0.04,0.00
193,0.02,0.00,0.35,0.09,0.00,0.00,0.22,1.90,56.19,1.45,31.83,6.06,0.34,0.00,1.41,0.13,0.00
