uniqid_huc10,coa_wheat_bushels_1969_huc10,coa_wheat_bushels_1974_huc10,coa_wheat_bushels_1978_huc10,coa_wheat_bushels_1982_huc10,coa_wheat_bushels_1987_huc10,coa_wheat_bushels_1992_huc10,coa_wheat_bushels_1997_huc10,coa_wheat_bushels_2002_huc10,coa_wheat_bushels_2007_huc10,coa_wheat_bushels_2012_huc10
6995,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0
6996,81.5,204.4,159.9,190.2,107.8,159.3,197.6,106.0,54.2,82.6
6997,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0
6998,281.5,617.4,779.8,462.6,497.7,553.2,477.9,240.6,269.9,186.5
6999,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0
7000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7001,36.1,54.8,59.1,82.8,80.2,96.8,54.9,53.1,53.1,64.4
7002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7004,0.8,2.1,1.7,2.0,1.1,1.3,1.6,0.8,0.4,0.6
7005,0.4,0.4,0.8,0.9,0.8,0.2,0.4,0.3,0.2,0.8
7006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7007,0.8,5.2,6.2,8.4,4.3,6.6,10.3,10.0,10.0,8.1
7008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7009,0.9,1.2,0.5,0.6,1.6,0.3,0.5,0.6,0.6,0.0
7010,31.9,56.6,41.1,61.6,38.6,49.7,78.9,36.8,42.6,63.7
7011,2.9,4.3,2.3,4.0,4.5,0.2,2.7,1.1,1.1,1.0
7012,163.1,201.0,273.9,440.4,411.7,657.1,1032.5,409.3,702.4,743.2
7013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1
7014,0.2,0.2,0.2,1.1,1.8,1.9,0.6,0.5,0.5,0.5
7015,58.2,94.7,196.4,339.1,271.7,314.8,376.8,280.0,246.5,228.9
7016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7017,0.9,6.3,7.4,12.1,6.1,9.5,14.8,14.1,14.1,13.9
7018,5.4,12.1,4.5,31.6,14.7,14.9,12.3,18.0,12.3,23.9
7019,80.9,214.4,83.6,174.7,182.6,218.4,211.6,164.7,186.2,441.3
7020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7023,0.0,0.1,0.2,0.2,0.1,0.0,0.1,0.6,0.6,0.6
7024,466.1,434.7,539.7,608.2,611.8,588.2,885.8,528.9,679.2,692.7
7025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7027,414.3,644.0,824.1,1080.9,898.5,913.3,1476.7,717.9,712.0,805.0
7028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7030,11.1,17.4,28.6,56.0,25.4,14.9,18.9,11.4,9.3,10.9
7031,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0
7032,46.3,52.9,45.5,49.2,60.6,65.7,65.3,3.8,14.1,42.6
7033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7037,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0
7038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
