uniqid_eco4,imperv_nwalt1974_eco4,imperv_nwalt1982_eco4,imperv_nwalt1992_eco4,imperv_nwalt2002_eco4,imperv_nwalt2012_eco4,imperv_nlcd2001_eco4,imperv_nlcd2006_eco4,imperv_nlcd2011_eco4
700,2.33,2.47,2.69,2.86,3.06,1.84,1.93,2.18
701,2.95,3.17,3.37,3.51,3.83,2.72,2.89,3.18
702,2.58,2.82,3.00,3.17,3.33,3.11,3.23,3.39
703,0.75,0.78,0.81,0.82,0.86,0.32,0.33,0.34
704,1.17,1.22,1.26,1.34,1.40,1.45,1.50,1.53
705,1.52,1.73,1.84,1.95,2.03,1.99,2.09,2.14
706,0.56,0.58,0.58,0.61,0.63,0.49,0.50,0.50
707,1.23,1.31,1.36,1.44,1.53,1.56,1.65,1.67
708,0.54,0.56,0.58,0.60,0.64,0.50,0.54,0.55
709,1.06,1.16,1.23,1.34,1.45,1.02,1.16,1.22
710,0.70,0.76,0.80,0.84,0.86,0.73,0.76,0.77
711,0.96,1.03,1.09,1.15,1.18,1.00,1.04,1.08
712,1.36,1.48,1.53,1.60,1.66,1.80,1.84,1.85
713,0.83,0.88,0.91,0.94,0.97,1.25,1.27,1.28
714,1.03,1.06,1.07,1.11,1.13,1.15,1.17,1.18
715,0.27,0.28,0.29,0.31,0.32,0.19,0.20,0.21
716,0.58,0.59,0.60,0.61,0.64,0.36,0.39,0.40
717,2.04,2.19,2.44,2.63,2.75,2.23,2.44,2.52
718,0.55,0.55,0.57,0.59,0.61,0.65,0.66,0.67
719,0.55,0.55,0.55,0.56,0.56,0.23,0.23,0.23
720,0.69,0.72,0.75,0.78,0.80,0.39,0.40,0.41
721,2.23,2.38,2.50,2.70,2.97,3.20,3.33,3.47
722,0.27,0.29,0.31,0.33,0.34,0.16,0.16,0.16
723,0.58,0.59,0.61,0.64,0.64,0.37,0.38,0.38
724,0.38,0.40,0.43,0.44,0.44,0.23,0.24,0.25
725,0.99,1.09,1.19,1.23,1.28,1.35,1.38,1.41
726,0.60,0.64,0.71,0.77,0.82,0.67,0.72,0.77
727,0.29,0.29,0.30,0.30,0.30,0.09,0.09,0.09
728,0.39,0.40,0.41,0.42,0.43,0.13,0.14,0.14
729,0.23,0.23,0.23,0.24,0.24,0.10,0.10,0.10
730,0.16,0.16,0.16,0.16,0.16,0.03,0.03,0.03
731,0.38,0.39,0.41,0.42,0.43,0.28,0.29,0.29
732,3.75,4.24,4.68,4.82,5.07,5.42,5.79,6.02
733,3.84,4.14,4.31,4.39,4.57,4.67,5.08,5.32
734,0.95,1.08,1.26,1.44,1.63,1.26,1.49,1.56
735,0.28,0.28,0.30,0.31,0.31,0.23,0.23,0.23
736,0.48,0.51,0.56,0.63,0.67,0.59,0.61,0.62
737,1.13,1.25,1.37,1.44,1.51,1.37,1.51,1.56
738,0.34,0.36,0.39,0.41,0.42,0.28,0.29,0.30
739,0.25,0.26,0.27,0.29,0.30,0.20,0.20,0.21
740,0.42,0.43,0.52,0.56,0.59,0.30,0.32,0.32
741,1.37,1.52,1.66,1.75,1.81,1.77,1.98,2.07
742,0.30,0.31,0.32,0.33,0.33,0.20,0.21,0.21
743,0.91,0.98,1.13,1.26,1.32,0.79,0.85,0.87
744,7.25,8.32,9.02,9.56,9.96,10.03,10.70,10.92
745,0.31,0.32,0.33,0.33,0.34,0.20,0.20,0.20
746,1.67,1.81,1.93,2.01,2.06,1.86,1.93,1.96
747,7.01,7.42,7.62,7.72,7.95,6.33,6.48,6.54
748,8.15,9.13,9.73,10.03,10.37,9.66,9.90,10.03
749,12.92,14.64,16.31,17.37,18.44,16.71,17.74,18.12
750,4.50,4.90,5.33,5.53,5.70,4.37,4.49,4.53
751,42.91,43.16,43.33,43.44,43.75,53.49,54.20,54.52
752,43.87,47.20,48.64,49.08,49.68,53.83,54.43,54.69
753,9.38,11.80,13.96,15.32,16.99,15.41,17.28,17.66
754,6.25,7.11,7.92,8.78,9.46,9.46,10.00,10.28
755,9.24,10.46,11.10,11.66,12.00,12.75,13.02,13.22
756,7.21,7.73,8.04,8.18,8.31,5.58,5.65,5.72
757,0.26,0.26,0.27,0.28,0.29,0.17,0.17,0.17
758,0.24,0.24,0.24,0.25,0.25,0.07,0.07,0.07
759,1.07,1.13,1.15,1.18,1.21,1.04,1.09,1.12
760,2.38,2.51,2.58,2.65,2.76,2.60,2.73,2.82
761,3.25,3.43,3.52,3.63,3.79,3.55,3.72,3.84
762,0.92,0.94,0.96,0.99,1.02,1.27,1.31,1.32
763,1.29,1.34,1.37,1.42,1.47,1.33,1.39,1.41
764,1.19,1.24,1.26,1.30,1.34,1.48,1.53,1.57
765,0.50,0.50,0.51,0.52,0.52,0.83,0.84,0.84
766,0.75,0.77,0.78,0.80,0.83,1.33,1.35,1.35
767,0.54,0.55,0.56,0.57,0.58,0.40,0.41,0.42
768,1.31,1.36,1.42,1.49,1.57,1.33,1.41,1.49
769,0.60,0.63,0.65,0.68,0.70,0.49,0.51,0.53
770,2.85,2.97,3.09,3.30,3.49,3.30,3.56,3.64
771,1.43,1.50,1.56,1.71,1.92,1.53,1.74,1.89
772,0.66,0.69,0.71,0.75,0.78,0.57,0.61,0.63
773,1.52,1.61,1.69,1.83,1.97,1.82,1.97,2.06
774,2.07,2.19,2.34,2.52,2.68,2.23,2.45,2.57
775,1.97,2.15,2.43,2.90,3.50,3.07,3.71,4.05
776,1.15,1.19,1.22,1.28,1.34,1.11,1.20,1.23
777,0.74,0.75,0.76,0.78,0.79,0.64,0.65,0.66
778,3.35,3.58,3.85,4.13,4.49,4.03,4.43,4.54
779,0.62,0.65,0.67,0.69,0.71,0.85,0.85,0.86
780,0.74,0.76,0.79,0.81,0.82,0.95,0.96,0.96
781,1.63,1.68,1.73,1.78,1.86,1.97,2.06,2.15
782,1.31,1.35,1.38,1.40,1.44,1.36,1.38,1.42
783,1.03,1.06,1.11,1.14,1.19,1.07,1.12,1.16
784,1.79,1.87,1.92,1.98,2.06,2.31,2.37,2.46
785,4.77,5.00,5.26,5.38,5.92,5.57,5.93,6.34
786,2.78,3.02,3.28,3.42,3.57,3.45,3.58,3.71
787,0.50,0.50,0.51,0.54,0.55,0.31,0.31,0.31
788,0.40,0.41,0.41,0.42,0.43,0.27,0.28,0.28
789,1.41,1.46,1.49,1.51,1.53,1.67,1.70,1.71
790,1.37,1.44,1.50,1.54,1.59,1.76,1.79,1.83
791,0.78,0.79,0.80,0.81,0.83,1.02,1.02,1.04
792,1.23,1.38,1.49,1.59,1.67,2.10,2.15,2.19
793,1.14,1.19,1.21,1.22,1.24,1.58,1.60,1.62
794,0.62,0.65,0.69,0.70,0.73,0.58,0.63,0.67
795,0.54,0.56,0.58,0.59,0.60,0.46,0.50,0.52
796,0.84,0.89,0.92,0.94,0.98,0.93,0.98,1.02
797,0.60,0.64,0.69,0.71,0.77,0.53,0.61,0.65
798,0.87,0.93,1.01,1.05,1.11,0.79,0.88,0.93
799,0.34,0.36,0.37,0.38,0.38,0.25,0.25,0.26
800,0.57,0.61,0.63,0.64,0.65,0.53,0.56,0.58
801,0.93,1.00,1.11,1.13,1.20,0.91,1.01,1.09
802,0.98,1.04,1.11,1.13,1.17,0.86,0.95,1.00
803,0.57,0.61,0.62,0.62,0.63,0.46,0.48,0.49
804,3.68,4.04,4.42,4.52,4.70,4.72,4.93,5.04
805,0.25,0.26,0.26,0.26,0.26,0.20,0.20,0.20
806,0.79,0.85,0.89,0.91,0.93,0.94,0.96,0.98
807,0.55,0.61,0.71,0.74,0.81,0.85,0.92,0.94
808,0.65,0.77,0.88,0.90,0.96,0.90,0.96,1.00
809,0.85,0.95,1.04,1.10,1.17,0.91,0.99,1.03
810,1.75,1.96,2.26,2.45,2.70,2.38,2.64,2.76
811,0.61,0.65,0.69,0.71,0.73,0.59,0.60,0.61
812,4.78,5.48,6.58,7.00,7.56,6.43,7.25,7.55
813,1.54,1.73,1.99,2.16,2.31,1.95,2.10,2.24
814,3.71,4.55,5.62,6.15,6.63,5.73,6.20,6.59
815,2.86,3.47,4.45,4.99,5.56,4.64,5.03,5.53
816,1.67,2.04,2.63,2.97,3.27,2.67,2.98,3.24
817,0.48,0.49,0.51,0.54,0.55,0.59,0.60,0.61
818,1.98,2.16,2.43,2.64,2.92,2.41,2.72,2.90
819,0.12,0.12,0.12,0.12,0.12,0.07,0.07,0.07
820,1.03,1.07,1.10,1.15,1.20,1.48,1.51,1.53
821,0.42,0.45,0.51,0.56,0.59,0.41,0.44,0.47
822,1.82,2.01,2.28,2.50,2.77,2.34,2.69,2.87
823,4.85,5.36,6.14,6.81,7.27,7.89,8.67,9.12
824,0.89,0.98,1.13,1.15,1.17,1.36,1.49,1.53
825,0.33,0.41,0.52,0.63,0.72,0.50,0.60,0.64
826,0.59,0.89,1.34,1.78,2.06,1.60,1.87,2.08
827,18.69,22.21,25.67,27.30,28.60,26.74,28.32,29.25
828,1.37,1.54,1.63,1.69,1.73,1.76,1.81,1.86
829,0.73,0.74,0.75,0.76,0.77,0.71,0.71,0.71
830,0.38,0.38,0.39,0.39,0.39,0.25,0.25,0.25
831,0.25,0.25,0.25,0.25,0.25,0.05,0.05,0.05
832,0.15,0.15,0.15,0.15,0.15,0.23,0.23,0.23
833,0.29,0.29,0.30,0.30,0.30,0.88,0.88,0.88
834,0.81,0.81,0.81,0.83,0.84,1.96,1.96,1.96
835,0.53,0.53,0.53,0.54,0.54,0.39,0.39,0.39
836,1.11,1.12,1.14,1.15,1.20,1.67,1.71,1.72
837,0.06,0.06,0.06,0.06,0.06,0.01,0.01,0.01
838,5.82,6.28,6.55,6.94,7.39,7.20,7.71,7.88
839,0.72,0.78,0.80,0.85,0.88,0.86,0.89,0.90
840,1.39,1.45,1.48,1.54,1.59,1.70,1.75,1.78
841,0.22,0.23,0.23,0.23,0.23,0.20,0.20,0.21
842,0.38,0.38,0.39,0.39,0.40,0.35,0.36,0.36
843,0.19,0.19,0.19,0.19,0.19,0.12,0.12,0.12
844,0.36,0.36,0.36,0.37,0.37,0.39,0.40,0.40
845,0.24,0.24,0.24,0.24,0.24,0.16,0.16,0.16
846,0.27,0.27,0.28,0.29,0.29,0.14,0.15,0.15
847,0.21,0.21,0.21,0.21,0.21,0.06,0.06,0.06
848,0.28,0.28,0.29,0.29,0.30,0.20,0.21,0.21
849,0.21,0.21,0.21,0.22,0.22,0.08,0.08,0.08
850,0.17,0.17,0.17,0.18,0.18,0.02,0.02,0.02
851,0.24,0.24,0.24,0.24,0.24,0.14,0.14,0.14
852,0.20,0.20,0.20,0.20,0.20,0.00,0.00,0.00
853,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28
854,0.18,0.18,0.19,0.19,0.20,0.10,0.11,0.11
855,0.16,0.16,0.16,0.16,0.16,0.07,0.07,0.07
856,0.26,0.28,0.30,0.33,0.35,0.28,0.31,0.33
857,0.18,0.18,0.18,0.18,0.18,0.09,0.09,0.10
858,0.09,0.09,0.09,0.09,0.09,0.02,0.02,0.02
859,0.10,0.11,0.11,0.11,0.11,0.07,0.07,0.07
860,0.17,0.17,0.17,0.18,0.18,0.13,0.13,0.13
861,5.42,6.11,6.79,7.32,7.94,6.67,7.57,7.92
862,2.24,2.47,2.69,2.85,2.98,3.58,3.77,3.86
863,0.63,0.64,0.65,0.66,0.68,0.87,0.89,0.90
864,2.86,3.13,3.38,3.61,3.93,3.30,3.58,3.85
865,3.34,3.75,4.03,4.16,4.38,4.49,4.85,5.01
866,0.26,0.27,0.27,0.28,0.29,0.09,0.09,0.09
867,2.38,2.75,3.04,3.25,3.46,3.11,3.38,3.52
868,1.68,2.02,2.26,2.55,3.47,2.85,3.97,4.28
869,1.56,1.67,1.80,1.94,2.12,1.78,1.98,2.04
870,4.20,4.65,4.93,5.29,5.60,4.63,5.09,5.27
871,15.50,16.94,17.79,18.47,20.19,17.67,19.52,20.30
872,1.07,1.12,1.19,1.29,1.45,1.21,1.35,1.42
873,5.59,6.16,6.58,6.96,7.54,6.93,7.51,7.97
874,2.71,3.01,3.39,3.89,4.74,4.03,4.75,5.10
875,3.17,3.38,3.56,3.74,4.10,3.65,3.93,4.24
876,1.39,1.42,1.46,1.49,1.51,1.52,1.54,1.55
877,1.46,1.53,1.61,1.67,1.74,2.21,2.24,2.29
878,1.88,1.97,2.04,2.11,2.24,2.12,2.18,2.27
879,2.95,3.21,3.56,3.92,4.40,4.16,4.56,4.85
880,0.84,0.87,0.89,0.94,0.95,1.02,1.04,1.06
881,0.84,0.86,0.87,0.89,0.89,1.04,1.04,1.04
882,0.14,0.15,0.15,0.15,0.15,0.13,0.13,0.13
883,0.23,0.24,0.24,0.25,0.25,0.15,0.16,0.16
884,0.18,0.18,0.18,0.18,0.18,0.08,0.08,0.08
885,0.32,0.32,0.33,0.33,0.33,0.45,0.45,0.45
886,0.33,0.33,0.34,0.34,0.35,0.41,0.41,0.41
887,0.14,0.14,0.14,0.14,0.14,0.08,0.08,0.08
888,0.22,0.22,0.22,0.22,0.22,0.12,0.12,0.12
889,0.28,0.29,0.30,0.30,0.30,0.32,0.33,0.33
890,0.39,0.40,0.41,0.42,0.43,0.34,0.35,0.36
891,0.17,0.17,0.17,0.17,0.17,0.06,0.06,0.06
892,0.09,0.09,0.09,0.09,0.09,0.18,0.18,0.18
893,0.23,0.23,0.24,0.24,0.24,0.30,0.30,0.30
894,0.21,0.21,0.21,0.22,0.22,0.08,0.08,0.08
895,0.48,0.50,0.51,0.52,0.55,0.33,0.35,0.37
896,0.32,0.32,0.32,0.33,0.33,0.13,0.13,0.13
897,0.49,0.49,0.51,0.55,0.56,0.44,0.45,0.45
898,0.37,0.38,0.38,0.38,0.38,0.08,0.08,0.08
899,4.40,5.30,6.57,7.26,7.85,9.48,10.00,10.46
900,1.93,2.04,2.16,2.31,2.63,2.72,3.00,3.15
901,1.45,1.62,2.00,2.24,2.40,2.53,2.68,2.81
902,0.28,0.28,0.28,0.28,0.28,0.13,0.13,0.13
903,0.27,0.27,0.27,0.27,0.29,0.10,0.11,0.12
904,0.38,0.40,0.41,0.44,0.47,0.38,0.41,0.43
905,0.30,0.34,0.37,0.46,0.51,0.35,0.38,0.41
906,0.91,1.04,1.19,1.44,1.65,1.29,1.47,1.59
907,0.33,0.33,0.33,0.33,0.33,0.29,0.29,0.29
908,5.94,7.69,10.30,12.07,14.62,11.46,13.60,15.17
909,1.70,2.02,2.27,2.44,3.09,2.62,3.04,3.48
910,1.20,1.23,1.25,1.26,1.29,1.84,1.87,1.91
911,0.30,0.30,0.31,0.31,0.32,0.22,0.23,0.23
912,0.21,0.21,0.22,0.22,0.23,0.23,0.24,0.24
913,0.35,0.36,0.36,0.37,0.37,0.32,0.33,0.33
914,1.23,1.30,1.33,1.37,1.42,1.59,1.62,1.65
915,1.60,1.70,1.79,1.89,2.01,2.04,2.13,2.17
916,0.26,0.27,0.28,0.31,0.33,1.24,1.26,1.28
917,1.95,2.06,2.12,2.18,2.29,2.30,2.39,2.46
918,9.08,9.55,9.80,10.12,10.44,10.49,10.91,11.19
919,1.69,1.81,1.90,1.96,2.05,2.12,2.19,2.25
920,2.62,2.77,2.87,2.96,3.09,2.82,2.93,3.07
921,0.70,0.72,0.76,0.80,0.86,0.83,0.88,0.93
922,0.74,0.76,0.80,0.84,0.88,0.66,0.72,0.78
923,1.69,1.74,1.78,1.82,1.88,1.74,1.82,1.88
924,10.79,12.12,13.00,13.49,14.18,13.60,14.15,14.49
925,4.20,4.90,5.48,5.86,6.34,5.13,5.67,5.95
926,12.68,13.58,13.99,14.23,14.55,18.97,19.46,19.69
927,9.52,10.51,11.33,12.01,12.78,11.23,12.12,12.67
928,8.81,9.48,9.89,10.03,10.25,10.01,10.19,10.33
929,10.51,11.80,12.69,13.28,14.13,14.11,14.99,15.37
930,7.20,8.13,9.07,9.48,10.22,6.81,7.47,7.76
931,48.28,49.98,50.87,51.24,51.95,53.80,54.89,55.44
932,26.87,30.45,33.75,35.54,37.22,38.59,39.67,40.12
933,10.30,12.84,15.55,16.94,18.44,15.32,16.46,16.99
934,1.15,1.30,1.54,1.69,1.79,1.17,1.21,1.23
935,0.55,0.55,0.56,0.57,0.57,0.50,0.50,0.50
936,0.20,0.20,0.20,0.20,0.20,0.03,0.03,0.03
937,0.77,0.79,0.81,0.85,0.89,0.83,0.84,0.84
938,16.34,18.51,21.42,22.75,25.36,21.00,23.97,26.00
939,2.62,2.98,3.77,4.21,5.14,3.06,3.95,4.37
940,0.64,0.74,0.91,1.03,1.16,0.67,0.75,0.80
941,0.21,0.21,0.21,0.21,0.21,0.03,0.03,0.03
942,0.17,0.17,0.17,0.17,0.17,0.01,0.01,0.01
943,0.54,0.56,0.65,0.70,0.76,0.49,0.52,0.54
944,0.16,0.16,0.16,0.16,0.17,0.03,0.03,0.03
945,0.53,0.55,0.57,0.59,0.61,0.33,0.35,0.35
946,1.16,1.25,1.39,1.47,1.52,1.06,1.07,1.08
947,0.53,0.56,0.57,0.58,0.59,0.26,0.27,0.27
948,0.70,0.70,0.70,0.70,0.70,1.54,1.54,1.54
949,0.57,0.57,0.57,0.57,0.58,0.96,0.96,0.96
950,0.62,0.64,0.65,0.66,0.67,1.18,1.19,1.19
951,0.57,0.62,0.66,0.73,0.82,0.68,0.73,0.76
952,0.29,0.30,0.30,0.30,0.31,0.28,0.28,0.28
953,0.57,0.64,0.66,0.69,0.70,0.73,0.74,0.75
954,0.79,0.83,0.85,0.86,0.90,0.98,1.00,1.03
955,0.26,0.26,0.26,0.26,0.26,0.14,0.14,0.14
956,0.31,0.31,0.32,0.32,0.32,0.25,0.25,0.25
957,0.28,0.28,0.28,0.28,0.29,0.16,0.17,0.17
958,0.83,0.85,0.87,0.89,0.90,1.60,1.61,1.63
959,0.49,0.50,0.51,0.52,0.53,0.45,0.46,0.47
960,0.23,0.23,0.23,0.23,0.23,0.08,0.08,0.08
961,0.09,0.09,0.09,0.09,0.09,0.02,0.02,0.02
962,0.25,0.25,0.25,0.25,0.25,0.08,0.08,0.08
963,0.24,0.25,0.25,0.25,0.25,0.14,0.14,0.14
964,0.25,0.25,0.25,0.25,0.25,0.17,0.17,0.17
965,0.23,0.23,0.23,0.23,0.23,0.09,0.09,0.09
966,0.25,0.25,0.25,0.25,0.25,0.28,0.28,0.28
967,0.24,0.24,0.24,0.24,0.24,0.39,0.39,0.39
