uniqid_eco4,imperv_nwalt1974_eco4,imperv_nwalt1982_eco4,imperv_nwalt1992_eco4,imperv_nwalt2002_eco4,imperv_nwalt2012_eco4,imperv_nlcd2001_eco4,imperv_nlcd2006_eco4,imperv_nlcd2011_eco4
618,0.40,0.42,0.43,0.44,0.44,0.33,0.33,0.33
619,0.38,0.39,0.40,0.40,0.40,0.29,0.30,0.30
620,0.59,0.63,0.68,0.70,0.71,0.52,0.53,0.54
621,0.63,0.69,0.74,0.76,0.79,0.73,0.74,0.74
622,0.32,0.32,0.33,0.35,0.36,0.31,0.31,0.31
623,0.57,0.63,0.68,0.71,0.72,0.57,0.58,0.58
624,0.29,0.30,0.31,0.31,0.31,0.31,0.32,0.32
625,0.42,0.42,0.42,0.42,0.42,0.15,0.15,0.15
626,0.14,0.14,0.15,0.15,0.15,0.01,0.01,0.01
627,0.17,0.17,0.17,0.17,0.17,0.01,0.01,0.01
628,0.21,0.21,0.21,0.21,0.21,0.08,0.08,0.08
629,0.27,0.27,0.29,0.29,0.29,0.16,0.16,0.17
630,0.64,0.67,0.73,0.79,0.82,0.60,0.60,0.62
631,0.84,0.86,0.88,0.90,0.92,0.76,0.78,0.80
632,0.86,0.89,0.95,0.97,1.00,0.66,0.68,0.72
633,0.59,0.62,0.64,0.65,0.67,0.37,0.38,0.39
634,0.90,0.93,0.95,0.96,0.99,0.83,0.86,0.87
635,0.59,0.61,0.62,0.64,0.64,0.39,0.39,0.41
636,0.88,0.91,0.93,0.94,0.98,0.60,0.61,0.66
637,1.58,1.66,1.69,1.76,1.81,1.64,1.68,1.71
638,3.06,3.28,3.40,3.58,3.73,3.34,3.50,3.59
639,6.29,7.17,7.76,8.41,8.84,7.36,7.83,8.04
640,12.94,13.75,14.20,14.97,15.52,15.23,15.83,16.18
641,1.20,1.29,1.46,1.62,1.75,1.00,1.05,1.20
642,1.08,1.15,1.30,1.36,1.45,0.77,0.80,0.84
643,0.35,0.36,0.37,0.39,0.39,0.20,0.21,0.21
644,0.46,0.48,0.49,0.50,0.50,0.37,0.38,0.39
645,7.49,8.03,8.27,8.39,8.58,10.15,10.50,10.73
646,2.73,2.95,3.23,3.36,3.52,3.16,3.40,3.52
647,0.19,0.20,0.20,0.20,0.21,0.14,0.15,0.15
648,2.37,2.82,3.21,3.65,4.06,4.12,4.78,4.98
649,1.08,1.17,1.26,1.34,1.43,1.12,1.24,1.29
650,2.01,2.20,2.34,2.50,2.72,2.39,2.65,2.74
651,3.04,3.45,4.08,4.40,4.64,4.61,4.94,5.10
652,1.04,1.16,1.31,1.45,1.62,1.31,1.50,1.60
653,0.52,0.56,0.60,0.63,0.66,0.55,0.58,0.61
654,5.45,6.11,6.93,7.68,8.35,7.12,7.77,8.10
655,4.78,5.12,5.51,6.06,6.77,4.67,5.38,5.71
656,4.27,4.68,5.04,5.41,5.68,4.54,4.78,4.93
657,6.91,7.91,8.65,9.51,10.20,10.02,10.60,11.05
658,29.12,30.03,30.58,31.03,31.58,27.77,28.53,29.30
659,12.04,12.66,13.16,13.45,13.75,10.08,10.37,10.54
660,33.52,35.07,35.52,35.90,36.36,45.73,46.62,47.41
661,1.05,1.17,1.31,1.40,1.53,1.37,1.50,1.57
662,0.93,1.01,1.07,1.12,1.17,1.03,1.08,1.11
663,1.94,2.08,2.23,2.44,2.64,2.43,2.68,2.79
664,0.58,0.61,0.64,0.66,0.69,0.62,0.65,0.67
665,0.68,0.72,0.75,0.77,0.81,0.73,0.77,0.79
666,0.74,0.79,0.84,0.90,0.98,0.79,0.85,0.90
667,0.94,0.98,1.02,1.07,1.12,1.04,1.08,1.12
668,1.14,1.19,1.23,1.27,1.35,1.30,1.39,1.43
669,0.80,0.86,0.90,0.97,1.04,0.98,1.04,1.09
670,0.51,0.55,0.57,0.58,0.59,0.66,0.67,0.68
671,0.83,0.88,0.94,1.03,1.14,0.88,0.99,1.05
672,1.16,1.23,1.29,1.36,1.43,1.40,1.48,1.53
673,1.59,1.70,1.83,1.96,2.11,1.79,1.98,2.10
674,7.65,8.43,8.95,9.47,9.98,10.08,10.58,10.95
675,1.01,1.08,1.15,1.22,1.29,1.15,1.24,1.27
676,0.72,0.77,0.82,0.85,0.91,0.77,0.83,0.87
677,0.36,0.37,0.38,0.40,0.41,0.26,0.26,0.27
678,0.51,0.55,0.58,0.61,0.65,0.55,0.59,0.61
679,0.58,0.60,0.64,0.68,0.71,0.40,0.40,0.41
680,0.74,0.79,0.83,0.89,0.93,0.50,0.51,0.52
681,0.84,0.88,0.90,0.97,1.00,0.58,0.60,0.61
682,0.54,0.58,0.61,0.64,0.67,0.38,0.41,0.42
683,0.37,0.38,0.39,0.41,0.42,0.20,0.21,0.21
684,2.07,2.19,2.27,2.38,2.50,2.08,2.20,2.28
685,0.55,0.58,0.63,0.69,0.79,0.42,0.50,0.53
686,0.29,0.29,0.32,0.35,0.36,0.17,0.18,0.18
687,2.76,2.93,3.11,3.31,3.52,3.03,3.29,3.47
688,0.42,0.44,0.48,0.51,0.53,0.25,0.26,0.26
689,0.67,0.70,0.73,0.77,0.80,0.57,0.60,0.62
690,0.49,0.49,0.50,0.51,0.53,0.21,0.21,0.21
691,3.55,3.91,4.16,4.50,4.86,4.66,4.93,5.18
692,1.73,1.90,2.00,2.13,2.25,2.09,2.19,2.26
693,0.53,0.56,0.58,0.61,0.63,0.37,0.39,0.41
694,0.59,0.62,0.64,0.67,0.68,0.56,0.58,0.59
695,7.69,8.42,8.83,9.13,9.55,9.46,9.78,10.31
696,3.04,3.30,3.50,3.73,3.99,3.70,4.02,4.18
697,2.01,2.19,2.33,2.49,2.73,2.39,2.67,2.79
698,0.83,0.92,1.00,1.11,1.27,0.81,1.02,1.08
699,0.96,1.03,1.06,1.12,1.18,1.00,1.06,1.09
