uniqid_huc10,atmdep_so4_1985_huc10,atmdep_so4_1986_huc10,atmdep_so4_1987_huc10,atmdep_so4_1988_huc10,atmdep_so4_1989_huc10,atmdep_so4_1990_huc10,atmdep_so4_1991_huc10,atmdep_so4_1992_huc10,atmdep_so4_1993_huc10,atmdep_so4_1994_huc10,atmdep_so4_1995_huc10,atmdep_so4_1996_huc10,atmdep_so4_1997_huc10,atmdep_so4_1998_huc10,atmdep_so4_1999_huc10,atmdep_so4_2000_huc10,atmdep_so4_2001_huc10,atmdep_so4_2002_huc10,atmdep_so4_2003_huc10,atmdep_so4_2004_huc10,atmdep_so4_2005_huc10,atmdep_so4_2006_huc10,atmdep_so4_2007_huc10,atmdep_so4_2008_huc10,atmdep_so4_2009_huc10,atmdep_so4_2010_huc10,atmdep_so4_2011_huc10,atmdep_so4_2012_huc10
5990,0.8113,0.8632,0.8939,0.8648,0.8524,0.8558,0.8852,0.9468,1.2159,0.6441,0.7707,0.7308,0.6316,1.1030,0.9674,0.6415,0.4711,0.3804,0.5785,0.5128,1.1448,0.4775,0.5358,0.4720,0.6289,0.5727,0.5052,0.5423
5991,0.9450,0.8567,1.6996,1.2040,1.1171,1.1356,0.8906,0.9991,0.9507,1.0147,1.0867,0.6595,1.1023,1.6525,1.1787,0.8235,0.8169,0.6838,0.8516,0.5924,0.8768,0.7876,0.5486,0.4438,0.6396,0.7223,0.5815,0.7535
5992,1.8380,3.8545,3.0666,2.4768,2.3269,1.7454,2.6579,3.0731,3.2067,1.6541,3.5728,3.5292,1.7897,4.0786,3.9240,2.4017,2.6564,4.2277,2.7938,1.7791,3.6029,3.4298,1.2366,1.4372,1.8059,3.0419,2.2651,2.1298
5993,0.7993,1.0619,1.1454,1.0936,0.7120,0.9732,0.8513,1.0856,0.9700,0.7231,0.8626,0.6858,0.4475,1.2862,1.1970,0.8425,0.9556,0.6607,0.6625,0.5709,0.6507,1.0505,0.3534,0.4036,0.4542,0.8717,0.6167,0.5715
5994,0.7602,0.6265,0.9153,0.6296,0.7422,0.6670,1.1634,0.6669,1.3513,0.7420,0.8755,0.5000,0.5932,0.9377,0.6840,0.7498,0.4431,0.4508,0.6177,0.6677,0.8959,0.4538,0.4636,0.3884,0.6999,1.1204,0.7058,0.8498
5995,1.4016,0.9504,1.0821,1.0095,1.2968,1.2175,1.4600,1.0908,2.0552,1.0665,1.5565,0.8549,0.9704,1.4147,1.0362,1.1000,0.7461,0.9477,1.0918,0.9947,1.6031,1.2321,0.7940,0.8183,1.4697,1.7945,0.9906,1.5241
5996,1.3985,0.8136,1.6173,1.4125,1.8240,1.3276,1.2566,0.9878,1.5388,1.2513,1.7886,0.8702,1.5793,1.9700,1.4390,1.1023,0.9708,1.3812,1.1078,0.8155,1.2744,1.4249,0.7828,0.6389,1.4822,0.9886,1.0285,1.0143
5997,3.3557,3.2364,2.5571,2.7863,4.0159,3.6647,3.6955,2.4254,4.2114,2.4997,4.9839,3.0075,2.2936,3.3382,3.5605,3.2936,1.8045,3.2300,2.4168,2.6821,3.6639,4.1786,2.1780,2.5452,4.8093,2.5345,2.2021,3.8532
5998,1.1993,1.5502,1.2026,1.1424,1.3468,1.2051,1.5738,1.1286,1.9402,1.0288,1.3070,1.1699,0.9178,1.6511,1.4963,0.9033,0.6447,0.6396,0.9282,0.7703,1.4232,0.7358,0.6096,0.5719,0.8885,0.8746,0.8155,0.8507
5999,2.4628,3.2811,3.0034,2.4644,2.3386,2.4600,2.8415,3.4044,3.1922,1.8881,2.6450,2.4951,1.8175,2.9235,3.1179,1.6052,1.6850,1.5034,1.6202,1.9033,3.4048,1.9497,1.3584,1.3676,2.0104,2.0838,1.9082,1.9609
6000,3.0786,2.1305,3.3891,2.5969,1.8207,2.5644,2.3935,3.6813,3.4748,2.5345,2.2105,2.2229,3.5972,2.9074,1.7203,2.7148,2.3999,1.4128,1.4839,1.8973,2.7683,2.0097,1.3573,1.5759,1.7721,1.9841,1.5415,1.5889
6001,0.9508,1.0856,1.2724,1.1474,0.8436,1.1576,0.9584,0.9361,1.1576,0.8789,0.8741,0.8682,0.5079,1.3991,1.1452,0.9998,0.9554,0.7931,0.7077,0.6474,0.7663,1.1355,0.3585,0.4408,0.5581,0.9229,0.7571,0.6363
6002,2.3870,3.7934,3.7084,3.1382,3.1838,2.4412,3.2292,3.8390,4.1007,2.1629,3.9831,3.4305,2.2155,4.8256,4.5700,2.9286,2.9109,3.5259,2.7361,2.3528,3.4897,2.5394,1.0004,1.2058,1.8491,2.5284,1.9467,2.2680
6003,1.8989,2.0638,2.2871,1.6748,1.5796,1.7467,2.7683,2.3983,2.3720,1.4099,1.4892,1.2974,1.3672,1.7688,1.6994,0.9618,1.0100,0.7297,0.8467,1.4976,2.6817,1.1702,1.1659,1.0839,1.4582,1.0178,1.4639,1.3225
6004,1.2144,1.8638,1.6914,1.2184,1.5795,1.4391,1.7700,1.8639,2.2771,1.3084,1.8974,1.9755,1.0843,2.4261,2.2950,1.4962,1.2319,1.8483,1.2822,1.2610,1.5101,1.7741,0.8315,0.6965,1.3409,1.6400,1.4048,1.3814
6005,0.9119,1.4781,1.7942,1.3488,0.7132,0.9098,1.4697,1.5912,1.4825,0.9063,1.4091,1.0617,0.8348,1.8272,2.0896,0.8461,1.4016,1.2554,0.7942,0.8672,0.7364,1.0819,0.4035,0.5674,0.7561,1.1311,0.8981,0.9114
6006,1.2274,1.4275,1.4904,1.0241,0.9611,1.0177,1.4659,1.2241,1.6064,0.9578,1.4440,1.3727,0.8935,2.1898,1.8778,0.9908,1.2732,1.4801,0.8535,0.7879,0.8614,1.2328,0.5016,0.5733,0.7152,1.1413,0.8377,1.0884
6007,0.7969,1.0752,1.0989,0.9039,0.9352,0.9086,0.9129,1.1296,1.6786,0.7108,1.0799,1.1978,0.7261,1.7672,1.3473,1.0126,0.9147,1.1892,0.8285,0.7976,0.8010,0.9337,0.4037,0.3883,0.6940,0.9222,0.8483,0.6596
6008,3.1370,2.9086,3.1754,2.4678,2.6879,3.4124,2.1777,2.8419,2.8064,2.3684,2.8741,2.3589,3.4647,2.9195,2.3809,2.6457,1.9290,2.0993,1.7809,1.9856,2.2013,2.3039,2.2276,1.7571,1.9574,1.9055,1.7346,1.3425
6009,1.5137,2.0210,1.7539,1.5196,1.8250,1.6408,1.6833,1.5674,2.5394,1.1982,1.8333,1.9207,1.0357,2.5787,2.2797,1.6969,1.3296,1.7287,1.4734,1.2692,1.5819,1.8791,0.7942,0.5892,1.1984,1.5811,1.4477,1.2282
6010,3.2681,6.3400,5.7343,4.4407,4.0790,3.5984,3.6356,5.3940,5.5563,2.8972,5.3868,5.3582,3.1320,6.0067,6.3056,3.4030,3.5233,4.5795,3.9965,2.8696,5.0637,4.7560,2.1780,2.1650,3.2892,4.1955,3.3884,4.2558
6011,0.3947,0.6897,1.1538,0.9888,0.3674,0.6090,0.6634,0.8203,0.4931,0.4202,0.7819,0.3728,0.6402,1.3764,1.0113,0.5986,0.7987,0.5954,0.7133,0.5520,0.6748,0.4705,0.2990,0.2399,0.2096,0.4369,0.2783,0.3623
