uniqid_huc10,nonfp_1987_huc10,nonfp_1988_huc10,nonfp_1989_huc10,nonfp_1990_huc10,nonfp_1991_huc10,nonfp_1992_huc10,nonfp_1993_huc10,nonfp_1994_huc10,nonfp_1995_huc10,nonfp_1996_huc10,nonfp_1997_huc10,nonfp_1998_huc10,nonfp_1999_huc10,nonfp_2000_huc10,nonfp_2001_huc10,nonfp_2002_huc10,nonfp_2003_huc10,nonfp_2004_huc10,nonfp_2005_huc10,nonfp_2006_huc10,nonfp_2007_huc10,nonfp_2008_huc10,nonfp_2009_huc10,nonfp_2010_huc10,nonfp_2011_huc10,nonfp_2012_huc10
2858,1.1,1.3354,1.6423,2.1077,1.4409,3.1261,2.5287,4.3916,6.4798,4.4393,3.4575,2.5151,2.6210,3.1898,3.0641,2.6567,2.8582,3.5227,2.4587,2.1232,3.2740,3.8620,1.7591,1.0817,1.8588,1.7568
2859,35.4,26.5828,29.9322,31.4078,33.6007,34.7927,44.1641,39.2818,33.5981,41.3349,38.1256,20.0860,22.2498,35.3055,35.3525,25.4813,29.0876,37.2587,44.1005,44.1550,38.3819,26.9618,17.4170,16.4067,18.0532,16.5218
2860,16.3,11.4705,12.6177,12.5253,12.9572,13.4266,16.5056,14.3564,12.7917,14.8909,14.5048,7.7255,8.2401,12.8524,12.5347,8.7439,9.6417,11.7202,12.7154,12.0736,10.6783,8.2945,5.0546,4.8791,5.1015,5.1678
2861,0.5,0.5147,0.5237,0.6061,0.4358,0.5744,0.7382,0.7873,0.7241,0.8343,0.8389,0.6227,0.7587,0.8456,0.8536,0.7089,0.7654,0.9203,0.8746,0.8786,0.7630,0.6077,0.1999,0.3270,0.3840,0.6570
2862,0.9,0.9670,1.0490,0.0352,0.0458,0.2306,0.1296,0.2609,0.3841,0.3156,0.0910,0.0309,0.0801,0.0886,0.2035,0.1482,0.0562,0.1515,0.0760,0.0340,0.0533,0.0816,0.1147,0.0480,0.2021,0.0432
2863,2.0,1.9424,1.8891,2.1237,1.4818,1.7455,2.2009,2.4702,2.6455,2.2633,3.6380,3.2999,2.8813,2.4000,2.6606,2.4948,2.4712,3.6344,3.3691,3.4796,4.3573,2.8752,1.8225,1.4988,1.9669,1.6276
2864,5.7,5.6984,5.7382,6.6384,4.8101,5.8189,7.6102,8.7824,9.7478,8.5548,14.0586,13.1345,11.6435,9.8438,11.4118,11.0400,11.3208,17.3733,16.7968,18.2311,24.6970,16.9286,11.1452,9.3533,12.7191,10.8309
2865,0.5,0.5248,0.6275,0.7815,0.5125,1.0871,0.8608,1.4767,2.1097,1.4340,1.1138,0.7794,0.7948,0.9634,0.9021,0.7600,0.7980,0.9697,0.6541,0.5526,0.6744,0.7724,0.3451,0.2095,0.3459,0.3208
2866,1.7,1.6058,1.5489,1.7262,1.1956,1.3878,1.7728,2.0053,2.1164,1.7685,2.3674,2.0976,1.7865,1.4696,1.5680,1.4445,1.4132,2.0598,1.8659,1.9091,2.3147,1.5116,0.9576,0.7895,1.0215,0.8300
2867,6.2,7.0133,7.8738,0.2758,0.3668,1.9238,1.1091,2.3041,3.5661,3.0115,0.8368,0.2962,0.8054,0.9235,2.2678,1.7185,0.6848,1.9089,1.0033,0.4766,0.7261,1.1630,1.6545,0.6924,2.9794,0.6672
2868,9.7,7.7742,13.9553,11.9512,12.9064,15.3508,15.8984,15.5927,28.5616,20.5139,19.1728,12.5485,12.7272,21.0176,20.7401,14.9455,16.3583,19.4426,16.9934,14.5070,16.7157,26.0763,11.7291,13.3376,11.3841,18.2695
2869,6.1,7.6668,9.6879,12.6983,8.8622,19.7083,16.3945,29.0974,43.7550,30.5417,24.1094,17.3217,18.2451,22.3617,21.9694,19.3041,21.0144,26.3151,18.8273,16.5697,28.7553,34.3550,15.8404,9.8135,16.9812,16.1477
2870,265.8,194.6657,205.0573,209.9515,219.8537,226.6109,280.4441,241.8491,202.1621,250.4478,245.6165,126.8805,137.9537,215.2882,209.0590,147.1014,163.3892,200.8640,224.6266,214.6757,181.6044,126.7706,82.2217,76.9339,83.3277,75.0646
2871,2.7,2.6231,2.7727,3.2354,2.5346,3.4256,3.3355,3.8930,4.8522,4.4182,4.0596,3.3832,3.3193,3.9108,4.1800,4.4043,4.1651,3.9997,4.5405,3.8990,3.7604,4.8431,2.6805,1.8316,2.0720,1.9883
2872,4.9,3.6183,3.9663,4.0936,4.3753,4.5930,5.8880,5.2292,4.4623,5.4796,5.6981,2.9656,3.2366,5.0666,4.8826,3.4405,3.8074,4.7308,5.3711,5.2007,4.6369,3.2383,2.0735,1.9248,2.0414,1.8228
2873,0.3,0.3089,0.3093,0.3583,0.2574,0.3407,0.4376,0.4675,0.4472,0.5326,0.5353,0.3889,0.4550,0.5054,0.4975,0.4050,0.4321,0.5015,0.4715,0.4504,0.5182,0.3947,0.1254,0.2007,0.2235,0.3644
2874,10.7,10.4117,10.1163,11.3488,7.9842,9.5034,12.1328,13.5572,14.6425,12.5412,17.2687,15.7284,13.6830,11.3973,12.6122,11.8759,11.8703,17.7301,16.3922,16.9724,21.1249,13.9059,8.8721,7.2571,9.4570,7.8401
2875,4.1,3.2983,0.0000,3.0222,4.3637,3.8237,4.0426,5.1099,6.5560,5.7767,5.6722,5.5535,5.7152,5.3750,4.6876,3.9538,5.3189,6.3788,4.2282,4.0761,4.3645,2.9171,2.6283,2.2154,2.2432,2.4399
2876,1.0,0.6882,0.8549,1.0410,1.1521,1.6269,2.0452,1.9166,1.6931,2.2464,2.0654,1.2861,1.2424,1.6594,1.7378,2.0113,2.0728,3.6185,1.3128,1.0445,1.3923,1.2349,0.8843,0.8271,0.9767,1.1064
2877,0.8,0.8488,0.9315,0.0320,0.0412,0.2144,0.1197,0.2419,0.3651,0.2989,0.0928,0.0316,0.0832,0.0928,0.2176,0.1575,0.0612,0.1667,0.0841,0.0389,0.0698,0.1110,0.1601,0.0673,0.2825,0.0614
2878,0.6,0.4037,0.4377,0.4406,0.4666,0.4750,0.6155,0.5549,0.4763,0.5774,0.5722,0.2921,0.3165,0.4978,0.4388,0.2995,0.3300,0.4022,0.4529,0.4315,0.4149,0.2898,0.1874,0.1747,0.1852,0.1674
2879,7.1,6.7884,7.1281,8.1922,6.3034,8.5165,8.2547,9.7129,12.3301,11.3681,10.7009,8.9158,8.8360,10.4603,11.3056,11.9662,11.2664,10.8480,12.4577,10.8955,10.0476,12.9456,7.1454,4.8988,5.6139,5.4418
2880,1.9,1.5377,2.6569,2.3148,2.5255,3.1068,3.2842,3.2907,5.8727,4.4038,3.8368,2.5342,2.6416,4.3775,4.5054,3.2130,3.5462,4.4443,3.7043,3.2806,3.5970,5.7645,2.8603,3.0772,2.5715,4.2616
2881,2.3,2.5992,2.2964,3.0482,2.6249,2.7416,4.2073,3.6288,4.6769,3.8057,3.5967,2.9162,2.8179,3.1977,3.1182,2.9049,2.8547,4.7834,5.9872,4.1799,4.0224,3.6538,4.0016,2.2172,1.7158,1.4142
2882,211.9,169.2404,0.0000,154.6927,220.9822,191.9407,198.6023,243.2553,302.5162,258.8525,249.6287,240.8675,247.7536,232.6146,203.4609,171.3392,229.4945,275.2159,182.4868,176.1734,183.0107,123.5808,113.0855,96.0212,98.6344,108.0049
2883,0.9,0.8407,0.8168,0.9163,0.6447,0.7674,0.9796,1.0945,1.1821,1.0126,1.3841,1.2606,1.0966,0.9136,1.0110,0.9518,0.9512,1.4208,1.3133,1.3596,1.6414,1.0806,0.6895,0.5638,0.7345,0.6090
2884,1.4,1.1412,2.0832,1.7957,1.9467,2.3083,2.3927,2.3743,4.4357,3.1557,2.6197,1.7306,1.7797,2.9325,2.9280,2.1279,2.3560,2.8222,2.5196,2.2185,2.6452,4.2335,1.9668,2.2633,1.9582,3.1757
2885,53.5,40.2540,45.3599,47.8875,51.1092,53.1928,67.2616,59.4154,50.2861,61.6944,59.1671,30.9110,33.9981,53.4673,52.4202,37.4730,42.5039,54.6421,63.2258,62.3112,57.6721,40.9461,26.5437,24.9948,27.1102,24.4668
2886,0.4,0.2677,0.3314,0.4047,0.4584,0.6542,0.8457,0.8106,0.7318,0.9918,0.8853,0.5608,0.5556,0.7530,0.8000,0.9228,0.9677,1.7090,0.6307,0.5140,0.7322,0.6584,0.4732,0.4421,0.5256,0.5937
2887,1.5,1.7670,2.1590,2.7496,1.8692,3.9298,3.0955,5.2277,7.5322,5.0589,4.2057,2.9186,3.0141,3.6397,3.4418,2.9160,3.0734,3.7010,2.5239,2.1290,2.7583,3.1439,1.4022,0.8541,1.4264,1.3299
2888,7.6,6.2146,11.2365,9.6491,10.4114,12.4957,12.9512,12.6228,23.1840,16.7154,14.6411,9.6695,9.9626,16.4853,16.4682,12.0080,13.4612,16.2233,14.4156,12.5458,14.9984,23.8138,10.8994,12.5515,10.8326,17.5575
2889,1.2,1.0083,1.8180,1.5320,1.6270,1.9340,1.9974,1.9582,3.5952,2.5582,2.2598,1.4725,1.4967,2.4662,2.4437,1.7606,1.9358,2.2978,2.0043,1.7358,1.9445,3.0247,1.3700,1.5539,1.3385,2.1523
2890,0.8,0.6117,0.0000,0.5532,0.7969,0.7033,0.7425,0.9299,1.1871,1.0394,1.0299,0.9937,1.0230,0.9669,0.8419,0.7049,0.9414,1.1142,0.7370,0.7226,0.7443,0.5032,0.4578,0.3867,0.3872,0.4176
2891,1.0,1.1582,1.0272,1.3602,1.1927,1.2509,1.9530,1.7317,2.2893,1.9091,1.8091,1.5119,1.5108,1.7681,1.8054,1.7416,1.7690,3.0621,3.9240,2.7986,2.6842,2.4792,2.7245,1.5232,1.1895,0.9854
2892,0.5,0.5719,0.5138,0.6775,0.5834,0.6128,0.9465,0.8193,1.0653,0.8640,0.8204,0.6750,0.6524,0.7446,0.7257,0.6784,0.6700,1.1234,1.4040,0.9766,1.0031,0.9051,0.9928,0.5531,0.4276,0.3522
2893,0.3,0.1966,0.2417,0.2918,0.3251,0.4624,0.5874,0.5598,0.4996,0.6569,0.6498,0.4117,0.4022,0.5368,0.5571,0.6412,0.6637,1.1596,0.4196,0.3365,0.4807,0.4308,0.3129,0.2935,0.3518,0.3944
2894,10.8,8.8151,0.0000,8.1225,11.7340,10.4031,11.0648,14.0946,18.0652,15.7547,15.1453,14.7178,15.1807,14.4615,12.7124,10.7017,14.2908,17.2528,11.5913,11.2728,12.2549,8.2375,7.3986,6.2310,6.3428,6.9441
2895,2.7,3.2082,3.8275,4.9288,3.3403,7.0884,5.5406,9.4982,13.6399,9.2497,7.9324,5.4869,5.5836,6.7140,6.3054,5.3739,5.6237,6.7556,4.6051,3.8912,7.7088,8.9026,4.0476,2.4753,4.1618,3.8888
