uniqid_huc10,malat_high1992_huc10,malat_high1997_huc10,malat_high2002_huc10,malat_high2007_huc10,malat_high2012_huc10,malat_low1992_huc10,malat_low1997_huc10,malat_low2002_huc10,malat_low2007_huc10,malat_low2012_huc10
1572,0.0090,0.2116,0.3124,0.0992,0.0016,0.0008,0.0046,0.0008,0.0992,0.0000
1573,0.0152,0.0088,0.0062,0.0078,0.0064,0.0152,0.0088,0.0062,0.0078,0.0064
1574,0.0000,0.0002,0.0006,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000
1575,0.4783,1.0074,1.1219,1.4999,1.8680,0.4783,1.0074,1.1219,1.4999,1.8680
1576,0.0008,0.0062,0.0177,0.0038,0.0004,0.0002,0.0002,0.0026,0.0038,0.0002
1577,0.0000,0.0001,0.0003,0.0001,0.0001,0.0000,0.0001,0.0003,0.0000,0.0001
1578,0.0802,0.1923,0.2421,0.0846,0.0023,0.0446,0.1860,0.2262,0.0777,0.0013
1579,0.3003,0.5581,0.7386,1.1446,0.9649,0.3003,0.5581,0.7386,1.1446,0.9649
1580,0.1878,0.5384,0.6651,1.5341,1.1434,0.1878,0.5384,0.6651,1.5341,1.1434
1581,0.2502,0.2356,0.1306,0.0751,0.0057,0.0025,0.0345,0.1306,0.0000,0.0000
1582,0.0006,0.0009,0.0014,0.0008,0.0001,0.0006,0.0000,0.0011,0.0000,0.0001
1583,0.7333,0.4117,0.3517,0.0995,0.0000,0.0067,0.0154,0.0002,0.0000,0.0000
1584,0.8697,0.5314,0.0302,0.0440,0.0108,0.0146,0.5016,0.0009,0.0044,0.0050
1585,0.0003,0.0003,0.0003,0.0001,0.0000,0.0003,0.0000,0.0002,0.0000,0.0000
1586,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1587,0.0153,0.0361,0.0025,0.0031,0.0079,0.0041,0.0179,0.0016,0.0000,0.0079
1588,0.4254,4.8218,0.7343,0.7617,0.3990,0.0747,0.1396,0.0000,0.0000,0.0000
1589,0.0000,0.0016,0.0001,0.0001,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000
1590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1591,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1592,0.4090,0.4326,0.0476,0.2844,0.1516,0.0029,0.0135,0.0152,0.2560,0.0021
