FIPS Code,1982 Mean Temp (Celsius),2012 Mean Temp (Celsius),% Change
30097,6.2,19.7,215.5%
30099,10.8,17.8,64.0%
30101,13.8,18.1,30.5%
30105,8.5,20.9,144.8%
30111,9.3,21.9,136.8%
31017,13.0,16.7,28.0%
31019,14.0,12.7,-9.2%
31025,13.8,17.6,28.2%
31031,14.3,21.0,47.6%
31039,11.3,15.2,35.3%
31047,14.6,12.2,-16.6%
31053,9.9,15.1,52.5%
31055,14.4,21.7,50.3%
31057,13.6,13.6,0.1%
31067,12.1,22.8,88.4%
31069,12.4,12.7,1.7%
31083,11.0,21.4,93.8%
31087,19.3,12.9,-33.4%
31089,16.0,13.6,-15.0%
31093,16.1,14.3,-11.4%
31095,16.0,23.0,43.5%
31101,12.9,16.7,30.0%
31103,10.0,23.2,132.6%
31107,13.8,14.9,8.0%
31109,10.9,22.5,105.9%
31111,16.1,17.0,5.4%
31119,12.1,12.3,2.0%
31121,11.0,12.7,15.1%
31125,10.3,14.5,41.0%
31127,12.6,14.9,18.0%
31129,11.2,18.6,67.0%
31131,16.2,3.2,-80.4%
31141,11.6,14.7,26.4%
31147,11.8,18.2,53.8%
31151,11.4,22.6,97.3%
31153,12.9,22.3,73.5%
31157,10.7,13.6,27.2%
31159,9.7,22.2,128.3%
31161,18.0,12.6,-30.0%
31163,20.3,21.1,4.3%
31171,11.0,12.3,11.9%
31181,15.1,21.0,39.0%
32001,30.4,19.3,-36.5%
32003,22.4,27.8,23.9%
32005,6.9,15.3,121.3%
32007,9.1,16.0,75.2%
32009,8.0,14.5,80.6%
32011,10.9,17.9,64.0%
32013,11.2,16.2,44.2%
32015,14.6,14.6,-0.1%
32019,14.0,18.6,33.0%
32021,14.7,15.7,6.6%
32023,18.0,14.1,-21.7%
32027,12.0,16.0,33.3%
32031,11.4,14.8,29.8%
32510,8.1,17.5,117.7%
33001,11.8,23.1,95.0%
33003,5.9,24.7,319.8%
33005,13.4,21.3,59.7%
33007,6.1,19.0,212.0%
33009,7.9,21.6,174.3%
33011,11.2,23.2,107.4%
33013,10.2,22.0,115.0%
33015,10.8,17.9,66.1%
33017,11.9,20.0,67.5%
33019,16.1,18.6,16.1%
34001,16.8,13.7,-18.7%
34003,13.4,9.9,-26.1%
34005,14.5,12.3,-15.1%
34007,15.5,13.9,-10.0%
34009,16.6,14.4,-13.7%
34011,15.8,14.9,-5.6%
34013,17.9,16.5,-7.6%
34015,15.2,16.7,9.8%
34019,10.9,13.9,27.2%
34021,14.9,10.4,-30.3%
34023,13.0,14.0,8.2%
34025,14.4,14.3,-0.5%
34027,12.6,14.5,15.2%
34029,13.8,20.9,51.0%
34031,15.3,13.8,-9.7%
34033,15.4,16.1,4.3%
34035,12.5,14.1,13.1%
34037,11.5,14.5,25.7%
34039,14.4,18.1,25.8%
34041,10.9,14.1,29.4%
35001,17.0,11.7,-31.2%
35005,20.4,19.2,-5.7%
35006,17.5,15.3,-12.4%
35013,25.5,18.7,-26.4%
35027,21.7,16.0,-26.2%
35035,19.5,16.2,-16.9%
35039,12.0,13.9,15.5%
35043,14.5,8.5,-41.3%
35045,14.2,12.2,-13.9%
35049,15.1,13.0,-14.1%
35051,12.9,12.3,-5.0%
35055,13.1,7.5,-42.6%
35061,12.2,20.8,70.7%
36001,12.8,19.6,53.0%
36019,12.7,16.8,32.2%
36029,18.8,19.1,1.5%
36043,5.1,18.4,260.1%
36045,10.7,18.3,71.8%
36055,20.3,12.9,-36.4%
36059,14.4,22.8,58.2%
36063,15.8,14.9,-5.5%
36067,34.0,16.7,-50.8%
36075,13.2,16.0,21.0%
36083,2.6,14.3,451.1%
36089,8.3,10.9,31.5%
36091,2.8,16.5,487.9%
36111,8.2,17.2,109.5%
36115,2.6,17.0,553.7%
36119,17.9,22.4,25.1%
37013,10.4,18.7,80.1%
37017,16.3,19.6,19.8%
37037,17.2,19.2,12.0%
37049,15.0,19.8,32.3%
37059,12.8,17.3,34.5%
37063,9.0,17.2,91.8%
37065,14.8,18.7,26.9%
37073,17.8,20.0,12.6%
37077,9.0,18.6,107.0%
37079,14.3,17.9,25.0%
37083,14.5,19.2,32.4%
37085,12.5,17.4,38.9%
37087,12.0,16.6,38.1%
37091,16.7,17.7,5.7%
37101,10.6,18.4,73.3%
37105,14.6,17.9,22.5%
37107,14.9,19.1,28.3%
37119,17.2,23.4,36.2%
37123,9.8,17.8,82.0%
37131,15.5,17.5,12.6%
37135,9.5,17.2,81.4%
37145,17.5,18.3,4.7%
37147,14.8,18.1,21.9%
37153,15.7,17.5,11.7%
37157,9.9,18.7,88.7%
37183,12.2,18.0,47.7%
38003,9.2,18.7,103.8%
38005,10.0,10.4,4.1%
38007,7.2,23.2,220.3%
38011,9.8,20.8,111.2%
38013,7.0,15.4,120.3%
38015,8.9,12.2,36.6%
38017,8.4,12.7,50.8%
38025,8.0,18.7,134.7%
38027,9.9,10.8,9.8%
38029,10.5,18.6,76.9%
38031,10.2,11.6,13.8%
38035,13.6,14.0,2.8%
38037,6.6,13.2,98.6%
38039,8.3,16.6,101.1%
38045,10.2,14.0,37.7%
38049,11.7,18.9,61.0%
38053,11.4,18.2,59.8%
38055,7.9,15.3,92.9%
38057,5.7,14.1,149.8%
38059,7.5,12.2,63.8%
38061,6.3,20.0,215.6%
38071,13.3,10.3,-22.7%
38073,9.3,13.2,42.3%
38077,8.8,15.7,79.4%
38089,11.6,13.4,15.3%
38091,6.4,14.4,127.0%
38093,10.7,18.6,74.0%
38097,8.8,0.3,-97.0%
38099,9.9,16.0,60.9%
38101,10.6,16.2,52.8%
38105,9.4,20.1,112.9%
39003,22.0,12.0,-45.5%
39009,21.3,17.1,-19.7%
39011,22.3,14.6,-34.4%
39013,20.7,15.6,-24.8%
39015,22.0,20.2,-8.3%
39017,15.8,17.4,10.7%
39019,14.6,11.3,-22.7%
39023,20.0,13.4,-33.0%
39025,18.7,20.7,10.6%
39027,22.5,20.3,-9.7%
39029,19.0,12.9,-32.1%
39031,21.5,15.2,-29.1%
39033,18.5,14.8,-19.8%
39035,20.5,15.3,-25.5%
39039,24.3,20.3,-16.4%
39041,20.0,21.4,7.0%
39045,24.0,14.1,-41.1%
39047,28.3,13.2,-53.4%
39049,15.3,14.4,-6.4%
39053,21.4,8.3,-61.1%
39057,19.5,12.6,-35.6%
39059,22.2,20.4,-7.9%
39061,14.0,15.8,13.0%
39067,22.5,19.0,-15.7%
39069,25.0,20.5,-17.9%
39071,22.0,20.1,-8.5%
39073,19.8,14.7,-25.8%
39075,20.0,13.5,-32.6%
39079,21.7,15.6,-28.2%
39081,18.8,15.7,-16.8%
39083,20.0,12.0,-40.0%
39085,11.3,20.2,78.5%
39087,18.3,10.9,-40.1%
39089,16.8,12.6,-25.4%
39093,22.0,20.6,-6.4%
39095,17.7,21.5,21.3%
39097,23.0,16.2,-29.7%
39099,19.0,20.4,7.3%
39101,24.5,12.0,-51.2%
39105,24.3,13.6,-44.0%
39107,24.0,16.0,-33.3%
39109,17.4,13.6,-22.2%
39113,13.2,15.2,15.4%
39115,21.0,11.7,-44.3%
39117,24.5,11.3,-53.9%
39119,21.6,14.5,-33.1%
39121,19.6,21.5,9.7%
39123,16.0,19.9,24.3%
39125,31.0,21.5,-30.5%
39127,22.3,13.2,-41.0%
39131,23.0,15.6,-32.3%
39141,20.1,16.5,-17.7%
39143,22.0,20.4,-7.3%
39145,19.7,14.1,-28.3%
39149,25.0,12.0,-52.2%
39151,22.0,9.3,-57.8%
39153,20.0,16.0,-19.9%
39157,18.7,20.3,8.9%
39159,25.5,21.2,-17.0%
39163,18.1,14.1,-22.1%
39165,21.3,17.5,-17.6%
39167,15.4,18.7,21.5%
39171,22.0,15.4,-30.1%
39175,20.5,14.3,-30.1%
40003,9.0,23.8,165.2%
40005,10.1,14.2,39.9%
40007,14.0,17.2,22.7%
40011,17.0,18.8,10.4%
40015,13.7,14.2,3.8%
40017,18.4,18.6,1.1%
40021,14.9,20.6,37.9%
40023,4.0,14.7,268.3%
40027,19.5,11.9,-39.1%
40029,16.7,14.8,-11.0%
40035,17.8,16.7,-6.6%
40041,19.8,17.0,-13.9%
40043,18.2,20.2,11.4%
40059,16.2,17.2,6.2%
40063,19.8,17.0,-14.1%
40071,11.2,20.1,80.0%
40079,17.0,17.1,1.0%
40081,19.8,19.7,-0.7%
40083,14.2,22.6,59.8%
40091,20.9,16.9,-19.1%
40093,13.5,17.7,31.2%
40105,26.0,18.0,-30.9%
40107,18.8,17.3,-7.8%
40109,18.9,19.6,3.9%
40111,16.9,19.0,12.5%
40113,19.5,20.7,6.1%
40115,21.1,16.5,-21.8%
40117,16.8,24.1,44.0%
40119,17.0,22.9,34.8%
40125,18.9,16.1,-14.8%
40133,18.1,13.4,-26.1%
40135,11.7,20.8,77.3%
40139,17.0,17.0,-0.2%
40143,10.8,18.0,66.9%
40145,17.7,17.3,-2.2%
40147,18.4,15.8,-14.0%
40153,15.5,17.7,14.2%
41001,10.4,9.8,-6.0%
41003,13.3,13.0,-2.1%
41005,14.3,11.0,-23.4%
41007,14.3,11.6,-19.2%
41009,18.0,11.6,-35.7%
41011,11.6,14.4,24.0%
41013,12.4,13.0,5.1%
41015,11.0,11.7,6.9%
41017,9.4,10.1,7.1%
41019,13.4,11.8,-11.5%
41023,9.0,12.6,40.4%
41025,7.7,14.8,93.5%
41027,6.3,10.9,73.2%
41029,11.2,15.1,34.5%
41031,8.5,11.2,32.3%
41033,10.4,9.9,-4.6%
41035,8.9,9.2,4.0%
41037,6.2,11.9,92.2%
41039,12.9,10.5,-18.2%
41041,15.0,12.3,-18.1%
41043,12.2,13.2,8.4%
41045,12.8,13.9,8.9%
41047,15.0,12.2,-18.7%
41051,13.7,14.4,5.3%
41053,13.5,12.3,-8.6%
41057,13.4,12.4,-7.5%
41059,12.9,14.2,10.5%
41061,12.7,11.4,-10.8%
41063,4.7,11.1,138.6%
41065,11.1,14.3,29.3%
41067,13.8,11.8,-14.3%
41069,9.8,12.8,30.6%
41071,14.7,12.0,-18.0%
42003,12.4,15.4,24.7%
42007,14.0,14.8,5.4%
42009,9.2,15.5,69.1%
42011,13.8,12.4,-9.8%
42015,23.3,15.1,-35.3%
42017,14.1,18.4,31.2%
42025,9.6,10.9,13.3%
42029,12.7,13.8,9.2%
42033,23.0,17.5,-23.8%
42035,9.8,13.8,41.8%
42037,17.5,10.1,-42.0%
42043,12.9,11.1,-13.7%
42045,15.7,17.3,10.0%
42051,11.6,14.2,23.0%
42069,20.7,16.6,-19.6%
42071,12.9,16.7,29.0%
42075,10.5,8.5,-19.0%
42079,20.7,10.5,-49.1%
42089,5.2,14.6,178.6%
42091,10.3,14.4,39.6%
42093,13.0,9.7,-25.8%
42095,14.3,16.6,16.4%
42097,21.8,9.8,-55.0%
42099,14.5,14.2,-2.3%
42101,14.9,18.0,20.8%
42103,12.2,14.9,22.5%
42127,22.0,14.0,-36.5%
42131,26.8,13.4,-50.0%
44007,10.8,28.1,159.9%
44009,11.6,24.9,115.6%
45003,16.7,19.9,19.2%
45007,10.0,19.2,91.7%
45013,21.9,13.4,-38.9%
45015,18.4,20.8,13.2%
45035,22.0,18.6,-15.5%
45041,14.0,17.7,26.7%
45049,17.8,20.7,16.7%
45053,17.4,16.6,-4.8%
45067,20.5,16.9,-17.8%
45073,14.6,18.1,24.3%
45075,25.2,18.8,-25.5%
45089,15.1,16.3,8.2%
46005,12.8,11.6,-8.9%
46009,4.8,21.2,345.9%
46011,11.4,20.3,78.6%
46013,17.0,13.4,-21.4%
46017,9.4,17.6,88.2%
46019,11.7,13.0,10.7%
46021,8.5,15.9,87.4%
46023,10.8,14.4,33.9%
46027,11.1,16.1,44.5%
46029,9.4,14.5,55.2%
46031,8.2,10.0,21.6%
46033,10.8,14.0,29.9%
46035,12.6,14.0,11.1%
46037,12.0,22.7,89.1%
46039,9.9,21.8,118.7%
46041,9.9,14.2,44.6%
46047,14.9,17.2,15.2%
46051,11.1,16.1,44.3%
46053,24.6,15.8,-35.8%
46055,13.7,12.5,-8.3%
46057,9.4,19.1,102.5%
46061,13.9,13.5,-2.8%
46063,11.4,14.9,30.7%
46065,23.4,15.3,-34.3%
46067,11.3,15.3,34.9%
46069,28.0,26.7,-4.6%
46071,11.3,14.4,28.1%
46079,10.0,25.5,155.3%
46081,8.9,7.8,-12.5%
46083,10.9,15.1,39.2%
46085,10.2,16.9,66.5%
46087,10.2,11.9,16.8%
46091,10.0,22.0,119.8%
46093,11.5,9.8,-14.5%
46095,13.9,7.7,-44.4%
46099,11.9,17.9,50.2%
46101,12.7,15.2,18.9%
46103,9.5,13.0,36.6%
46105,11.3,10.3,-9.1%
46109,8.6,20.6,140.1%
46113,13.6,7.5,-45.0%
46115,10.3,10.9,5.6%
46117,12.2,18.6,52.2%
46123,13.0,18.7,43.4%
46125,13.2,15.2,14.7%
46127,10.4,17.4,66.9%
46135,13.5,17.9,32.8%
46137,17.0,11.5,-32.5%
47001,14.0,16.1,15.0%
47005,22.0,15.8,-28.0%
47009,12.0,18.1,50.0%
47011,4.0,15.7,292.0%
47013,13.8,13.5,-2.0%
47015,4.0,15.3,282.8%
47019,15.7,11.3,-27.8%
47021,13.5,20.1,48.2%
47025,9.5,14.7,54.9%
47031,16.5,16.0,-3.3%
47035,8.7,12.7,46.0%
47037,10.8,20.8,93.8%
47045,17.2,14.6,-15.2%
47049,6.4,22.0,245.4%
47061,8.3,13.9,68.2%
47065,6.6,19.4,195.9%
47069,17.7,18.4,3.9%
47071,18.8,15.6,-17.1%
47073,8.5,13.1,54.2%
47079,18.5,18.3,-0.9%
47081,17.5,10.0,-42.7%
47083,9.0,16.7,86.1%
47085,17.0,19.6,15.3%
47087,13.6,20.0,47.3%
47093,12.4,20.0,60.6%
47097,17.3,15.1,-12.5%
47099,10.7,11.2,5.0%
47103,17.0,19.8,16.4%
47105,15.3,18.0,17.4%
47107,13.2,16.4,24.7%
47115,10.8,19.7,82.2%
47119,14.9,17.5,16.8%
47121,14.7,18.3,24.6%
47125,18.9,21.4,13.5%
47129,8.1,14.6,80.5%
47131,17.4,13.4,-23.5%
47137,3.7,16.1,334.1%
47139,3.5,13.0,270.2%
47143,17.2,9.8,-43.2%
47145,9.6,16.8,73.8%
47147,17.6,16.9,-4.0%
47149,11.5,18.1,57.2%
47151,11.8,16.9,43.0%
47155,18.0,16.0,-11.0%
47157,16.8,17.8,6.0%
47159,14.0,20.0,43.3%
47163,15.9,14.5,-9.0%
47179,16.8,14.2,-15.0%
47183,16.9,15.2,-10.1%
47187,4.0,15.5,288.1%
48029,22.1,23.0,3.8%
48141,21.7,13.3,-38.6%
48199,20.9,23.5,12.7%
48245,21.3,21.4,0.8%
48291,19.0,23.9,25.3%
48299,24.4,27.0,10.7%
48309,19.6,28.8,46.6%
48373,20.3,16.5,-18.9%
49003,12.3,21.4,73.1%
49005,9.7,10.1,3.9%
49007,10.2,5.1,-50.3%
49009,10.0,9.5,-5.3%
49011,13.2,10.8,-18.2%
49013,7.9,16.9,112.9%
49015,11.2,6.3,-43.5%
49017,10.2,12.5,23.2%
49019,16.1,9.0,-44.1%
49021,12.9,14.3,11.3%
49023,13.0,16.8,29.2%
49025,11.9,13.6,13.9%
49031,11.4,10.3,-10.2%
49033,10.9,12.5,14.5%
49035,13.1,11.8,-9.8%
49037,15.7,10.3,-34.9%
49041,10.1,5.5,-45.0%
49043,7.6,11.4,50.5%
49045,12.8,15.8,23.3%
49047,13.7,13.1,-4.7%
49049,12.5,14.0,11.9%
49051,8.9,10.0,12.3%
49053,14.9,13.1,-12.6%
49055,10.9,10.2,-6.6%
49057,12.9,15.8,22.8%
50001,8.1,14.6,80.6%
50003,12.3,12.7,3.1%
50005,6.2,13.8,120.7%
50007,12.0,14.9,24.2%
50009,12.4,13.5,9.3%
50011,9.2,12.0,29.6%
50015,12.0,9.9,-17.1%
50017,9.2,13.2,43.4%
50019,9.9,9.3,-6.2%
50021,10.1,11.9,17.5%
50023,8.7,12.4,43.1%
50025,13.2,12.6,-4.7%
50027,8.8,16.1,82.6%
51001,16.5,18.6,12.8%
51003,14.1,15.5,9.6%
51005,13.0,15.1,16.1%
51007,12.9,15.0,16.3%
51009,13.8,18.3,32.5%
51011,13.0,14.2,9.4%
51013,13.6,15.6,14.9%
51015,12.0,13.6,12.9%
51017,14.4,13.9,-3.6%
51019,13.9,17.6,26.8%
51023,13.9,15.7,12.7%
51025,19.4,14.7,-24.2%
51027,19.0,12.3,-35.2%
51031,12.2,15.8,30.0%
51033,11.6,14.7,26.5%
51035,14.6,13.8,-5.3%
51036,20.0,20.7,3.8%
51037,15.6,13.1,-16.0%
51041,16.6,19.0,14.8%
51043,16.0,15.7,-1.9%
51045,11.6,16.6,42.9%
51047,13.7,14.8,8.2%
51049,15.1,16.2,7.2%
51051,18.4,13.7,-25.4%
51053,16.6,16.5,-0.4%
51057,10.8,16.4,50.8%
51059,14.1,15.7,12.0%
51061,12.6,13.3,5.4%
51065,17.6,14.7,-16.0%
51067,13.7,15.8,14.9%
51069,14.0,13.8,-1.9%
51071,14.3,14.1,-1.1%
51073,15.5,15.8,2.0%
51075,16.7,14.4,-13.5%
51077,14.0,11.3,-19.4%
51079,10.0,14.9,49.5%
51083,17.0,15.3,-9.7%
51085,15.5,15.1,-2.7%
51087,18.2,17.8,-2.4%
51089,14.5,11.8,-18.4%
51093,15.6,16.2,4.1%
51095,19.4,26.6,37.3%
51097,18.0,15.7,-12.8%
51099,14.7,17.1,16.7%
51101,16.0,17.3,8.4%
51103,16.8,18.5,9.8%
51105,16.7,13.8,-17.8%
51107,9.9,14.6,47.5%
51109,20.3,17.0,-15.8%
51113,10.1,14.2,40.4%
51115,18.5,18.5,0.2%
51117,16.9,18.1,6.6%
51119,16.9,17.7,4.4%
51121,14.8,14.5,-2.5%
51125,17.2,15.1,-12.7%
51127,16.0,18.0,12.8%
51131,18.2,20.0,10.3%
51133,17.7,21.6,21.9%
51137,7.6,14.9,96.2%
51139,10.5,14.8,40.8%
51141,14.9,12.8,-13.8%
51143,14.1,15.2,7.9%
51147,14.8,16.0,7.8%
51149,20.1,14.4,-28.2%
51153,9.7,15.2,56.3%
51155,13.6,17.1,25.8%
51157,11.3,12.5,11.0%
51159,16.3,16.7,2.9%
51161,16.5,15.3,-7.5%
51163,14.8,12.8,-13.5%
51165,12.3,13.9,13.7%
51167,14.3,13.5,-5.9%
51169,14.6,13.0,-11.2%
51171,14.4,14.1,-2.1%
51173,14.0,11.8,-15.9%
51175,17.3,15.8,-8.5%
51177,17.9,15.6,-12.8%
51179,15.2,17.9,18.2%
51181,17.9,19.0,6.1%
51183,16.6,15.1,-8.9%
51185,13.3,12.8,-4.0%
51187,13.2,12.9,-2.1%
51191,11.8,14.0,18.8%
51193,16.2,19.3,19.1%
51195,14.2,16.2,13.7%
51197,15.2,16.3,7.6%
51199,15.9,21.4,34.6%
51510,15.4,19.1,24.6%
51520,14.5,12.3,-15.4%
51550,18.0,19.4,7.9%
51570,15.7,17.6,12.3%
51580,11.7,15.8,35.3%
51590,16.5,11.0,-33.3%
51595,16.5,16.1,-2.4%
51630,10.3,18.2,76.7%
51650,15.8,20.3,28.6%
51670,18.7,14.3,-23.6%
51700,14.8,17.2,16.5%
51710,14.3,15.8,10.8%
51730,15.2,17.8,17.1%
51735,6.9,18.9,172.6%
51740,15.4,14.0,-8.6%
51750,12.5,17.7,41.1%
51760,16.9,18.2,7.8%
51770,16.7,15.4,-7.7%
51775,16.7,15.4,-8.0%
51800,16.5,18.2,10.6%
51810,18.4,21.7,17.8%
51820,13.4,13.8,3.4%
53001,18.7,13.8,-26.3%
53005,18.8,16.1,-14.7%
53021,19.6,15.5,-20.7%
53025,18.8,13.5,-28.4%
53037,15.1,15.7,3.9%
53043,14.1,10.5,-25.8%
53045,7.3,14.9,102.2%
53047,5.7,16.1,184.8%
53049,13.6,10.1,-25.6%
53051,8.5,10.5,23.7%
53053,13.2,9.5,-27.8%
53057,8.0,9.2,14.3%
53063,13.3,12.8,-3.6%
53065,9.4,11.0,17.0%
53067,8.5,7.7,-10.2%
53071,17.8,14.6,-18.0%
53077,18.3,11.3,-38.1%
54003,10.2,14.4,40.7%
54027,17.1,14.5,-15.1%
54029,15.5,15.5,-0.1%
54037,11.8,14.4,21.4%
54053,15.5,15.4,-0.7%
54057,13.2,13.1,-0.6%
54059,16.1,16.6,2.9%
54061,16.3,17.8,9.6%
54065,10.4,14.9,43.3%
54073,16.6,17.0,2.7%
54077,11.2,16.2,44.1%
54079,17.8,17.1,-4.0%
54099,15.0,17.3,15.7%
54107,17.4,18.5,6.1%
55001,9.6,17.5,82.1%
55003,14.8,15.4,4.0%
55007,7.9,13.7,73.2%
55009,18.1,14.2,-21.4%
55013,12.3,22.0,79.3%
55015,15.0,18.5,23.6%
55017,11.9,18.7,56.4%
55019,9.4,12.5,33.4%
55023,8.4,13.1,55.1%
55025,13.3,14.5,8.7%
55027,3.0,20.9,596.9%
55031,9.0,17.3,92.1%
55033,8.8,14.5,64.7%
55037,10.1,14.1,40.7%
55039,25.7,15.4,-39.9%
55041,9.8,10.1,3.2%
55043,10.3,15.8,52.9%
55045,9.8,14.2,44.9%
55047,16.0,16.4,2.7%
55051,11.0,13.2,19.6%
55055,11.5,17.3,50.0%
55057,9.9,15.8,58.7%
55059,22.0,15.7,-28.8%
55063,13.8,17.9,30.1%
55065,7.8,19.7,152.4%
55067,9.4,14.8,57.8%
55069,13.9,13.6,-2.5%
55071,16.1,16.6,2.9%
55073,11.2,16.3,45.8%
55075,12.5,14.0,11.9%
55078,11.2,21.3,89.8%
55079,14.7,18.3,24.6%
55083,10.5,16.5,57.8%
55085,10.8,16.0,49.2%
55087,14.5,17.5,20.7%
55089,20.2,17.9,-11.1%
55091,9.7,13.5,38.5%
55093,6.5,15.1,132.5%
55095,16.6,19.5,17.9%
55097,9.2,16.4,78.8%
55105,12.2,19.3,58.1%
55107,10.0,18.8,88.1%
55109,7.5,17.3,130.8%
55111,12.5,16.3,29.8%
55113,12.5,18.2,44.9%
55115,9.6,17.0,77.6%
55117,22.5,18.0,-20.2%
55121,12.3,14.9,21.2%
55123,10.8,16.0,48.6%
55125,12.5,17.4,39.1%
55127,13.8,24.8,80.1%
55129,13.8,10.1,-26.6%
55133,12.0,17.0,41.2%
55135,8.3,17.8,115.5%
55141,8.7,17.1,97.1%
56015,11.7,13.9,18.9%
56023,7.7,13.6,76.9%
56037,10.4,13.6,30.7%
56039,9.4,13.1,39.6%
56041,6.5,5.6,-13.9%
60010,24.8,25.3,2.0%
66010,27.6,28.4,3.1%
69110,28.1,28.5,1.4%
78010,26.2,28.8,9.8%
