FIPS Code,1982 Mean Temp (Celsius),2012 Mean Temp (Celsius),% Change
05101,16.5,16.3,-1.3%
05103,20.8,23.7,14.2%
05105,17.7,19.2,8.5%
05107,18.5,23.8,28.4%
05109,13.0,18.3,40.8%
05111,11.6,18.9,63.1%
05115,19.5,17.4,-10.6%
05117,18.6,19.8,6.6%
05119,17.5,18.7,6.8%
05121,15.4,19.0,23.5%
05123,15.4,18.7,21.1%
05125,18.0,17.9,-0.3%
05127,20.0,18.6,-7.3%
05129,18.1,17.3,-4.4%
05131,15.3,18.5,20.9%
05133,16.8,19.2,14.0%
05135,19.8,24.3,22.5%
05137,15.6,10.5,-32.5%
05139,23.3,22.0,-5.6%
05141,18.7,16.4,-12.2%
05143,15.7,22.0,39.8%
05145,18.1,17.9,-1.5%
05147,15.8,19.1,20.4%
05149,15.6,16.9,8.6%
06001,16.9,17.2,1.9%
06003,6.5,12.4,91.2%
06013,19.7,16.2,-17.8%
06015,13.4,16.5,23.1%
06017,4.4,10.4,138.6%
06019,9.9,18.2,85.0%
06021,9.2,14.2,54.0%
06023,9.6,12.4,29.3%
06025,26.0,20.1,-22.8%
06029,24.2,19.5,-19.5%
06035,9.6,13.2,38.0%
06037,21.1,19.4,-7.9%
06039,10.2,15.5,52.3%
06045,15.4,13.3,-13.5%
06051,24.2,14.7,-39.0%
06055,16.2,15.9,-1.7%
06057,9.3,10.8,16.4%
06061,19.1,15.1,-20.8%
06065,18.8,24.2,29.0%
06067,19.3,17.8,-8.0%
06071,20.4,19.3,-5.4%
06073,19.3,16.7,-13.3%
06077,15.5,17.3,11.8%
06079,18.7,13.8,-26.3%
06081,14.0,10.8,-22.8%
06083,18.0,18.9,5.2%
06085,13.8,16.9,22.9%
06089,16.8,14.1,-16.0%
06093,6.6,12.6,91.5%
06095,15.1,16.5,9.0%
06097,16.7,20.9,25.5%
06103,16.3,13.5,-17.0%
06105,6.8,10.9,59.9%
06109,13.2,7.7,-41.8%
06113,16.1,17.4,8.1%
08001,12.9,14.4,11.7%
08005,12.9,3.3,-74.7%
08007,8.0,18.4,128.4%
08013,6.6,15.1,128.5%
08019,5.7,10.1,78.8%
08027,3.3,22.3,574.5%
08029,11.3,11.4,0.5%
08031,15.5,6.2,-59.8%
08035,14.2,10.6,-25.3%
08037,5.0,12.2,142.8%
08045,7.1,9.3,31.4%
08051,12.4,10.3,-16.5%
08053,8.4,9.5,13.5%
08059,11.1,17.1,54.6%
08065,6.6,8.5,28.5%
08067,7.6,14.0,82.9%
08069,6.7,15.2,126.6%
08071,11.9,21.8,83.9%
08077,11.6,15.2,31.5%
08081,10.3,14.6,40.9%
08083,11.3,14.3,27.3%
08085,14.2,13.4,-6.1%
08087,14.5,17.4,20.6%
08091,7.6,7.1,-6.3%
08093,8.8,4.6,-48.4%
08097,6.4,6.3,-1.4%
08101,15.6,14.4,-7.2%
08107,7.9,7.9,-0.1%
08111,9.8,9.2,-6.1%
08115,15.1,16.6,10.2%
08117,3.8,8.9,135.2%
08123,13.5,17.5,29.7%
09001,12.3,19.2,56.3%
09015,13.0,13.3,1.9%
10001,13.9,16.5,18.5%
10003,15.9,15.1,-5.0%
10005,14.6,20.2,38.2%
12001,23.1,20.3,-12.2%
12003,20.1,20.9,4.0%
12005,20.4,23.1,13.1%
12009,25.0,23.8,-5.0%
12011,1304.0,24.5,-98.1%
12013,18.8,22.4,18.8%
12015,24.2,89.5,270.3%
12017,23.6,23.5,-0.5%
12019,23.3,23.2,0.0%
12021,26.5,24.3,-8.5%
12023,21.1,22.3,5.9%
12027,25.1,24.7,-1.3%
12031,25.6,22.4,-12.5%
12033,21.4,21.8,1.9%
12035,23.3,21.5,-8.0%
12037,27.2,22.7,-16.5%
12039,22.8,20.8,-8.9%
12043,23.4,24.9,6.7%
12047,20.7,22.6,9.3%
12049,25.6,24.4,-4.8%
12053,24.2,23.7,-2.0%
12055,22.7,25.4,11.9%
12057,24.4,24.2,-0.9%
12059,20.1,23.5,17.2%
12061,22.1,23.2,5.2%
12065,21.0,20.3,-3.4%
12069,23.4,24.2,3.4%
12071,26.4,24.3,-8.0%
12073,20.8,20.4,-1.8%
12075,23.6,23.0,-2.7%
12077,27.8,19.8,-28.9%
