MonitoringLocationIdentifier,Result
11113300-02-GRD,17.599999999999998
11113300-02-HOB,22.066666666666663
11113300-02-ISG,20.14
11113300-02-ISR,15.412500000000003
11113300-02-LRT,17.49
11113300-02-LTE,21.44
11113300-02-MLG,15.660000000000002
11113300-02-MQB,15.233333333333333
11113300-02-SBA,18.916666666666668
11113300-02-SHG,22.775
11113300-02-SNW,15.768749999999995
11113300-02-THB,15.372500000000002
11113300-02-WIL,19.0
11113300-02-WNC,21.22
11113300-02-XDB,19.01
11113300-02-XGB,13.98
11113300-02A-NSH,21.428571428571427
11113300-02B-SBA,18.34
11113300-02G-BRD,18.037499999999998
11113300-03-AMM,19.7
11113300-03-BMB,14.995
11113300-03-CAB,17.755000000000003
11113300-03-CLD,19.45
11113300-03-CRB,17.675
11113300-03-GRB,16.038
11113300-03-GRD,20.875
11113300-03-HOB,22.400000000000002
11113300-03-ISG,20.8
11113300-03-JNC,17.6875
11113300-03-MQB,15.0
11113300-03-NBR,20.075
11113300-03-OSS,25.933333333333334
11113300-03-OTT,16.01666666666667
11113300-03-RAB,11.795
11113300-03-WAB,19.627999999999997
11113300-03-XDB,16.12
11113300-03D-MQB,17.96666666666667
11113300-03G-MAD,15.985714285714286
11113300-04-AMM,22.075
11113300-04-AND,18.628571428571426
11113300-04-BKW,21.345454545454547
11113300-04-ISG,21.575000000000003
11113300-04-MQB,20.233333333333334
11113300-04-SNW,12.65
11113300-04-SSR,13.512500000000001
11113300-04-WIL,16.15
11113300-04-XDB,17.453333333333333
11113300-04A-NSH,21.833333333333332
11113300-04M-CLD,19.982499999999998
11113300-05-BLM,16.442857142857143
11113300-05-BRR,15.600000000000001
11113300-05-DOB,17.580000000000002
11113300-05-GRD,17.475
11113300-05-HOB,21.96
11113300-05-LMP,24.1375
11113300-05-LTE,21.9
11113300-05-LTR,20.160000000000004
11113300-05-MAD,12.218181818181817
11113300-05-MLE,16.4
11113300-05-MQB,13.559999999999999
11113300-05-NIS,19.583333333333332
11113300-05-NOR,19.56
11113300-05-SAG,6.1
11113300-05-SGR,17.720000000000002
11113300-05-WAB,23.56
11113300-05-WIL,12.05
11113300-05-WNC,20.866666666666667
11113300-05-XDB,21.45
11113300-05A-CLD,19.4875
11113300-05C-CRB,19.564999999999998
11113300-06-BKW,19.28333333333333
11113300-06-BLM,16.66
11113300-06-CLD,18.544999999999998
11113300-06-CRB,18.060000000000002
11113300-06-GRB,16.8975
11113300-06-NOB,14.140000000000004
11113300-06-NSH,20.577777777777776
11113300-06-WIL,11.3
11113300-06-XDB,15.81
11113300-07-ASH,20.11666666666667
11113300-07-BKW,20.216666666666665
11113300-07-BLM,16.759999999999998
11113300-07-BMB,16.515
11113300-07-BRR,15.950000000000001
11113300-07-CCH,25.9
11113300-07-CLD,18.01666666666667
11113300-07-DOB,20.5325
11113300-07-FLT,12.285714285714286
11113300-07-HNY,14.363333333333335
11113300-07-ISG,21.36666666666667
11113300-07-OYS,18.387499999999996
11113300-07-PAR,19.35
11113300-07-PMI,20.43
11113300-07-SGR,18.64
11113300-07-WAB,16.083333333333332
11113300-07-XDB,17.82
11113300-08-BLM,20.783333333333335
11113300-08-CLD,20.603333333333335
11113300-08-HOB,22.433333333333334
11113300-08-ISG,21.020000000000003
11113300-08-ISR,15.059999999999999
11113300-08-LMP,22.957142857142856
11113300-08-MAD,12.045454545454545
11113300-08-MER,23.6
11113300-08-OYS,17.985714285714288
11113300-08-SAC,22.599999999999998
11113300-09-AND,16.406666666666663
11113300-09-BRR,20.233333333333334
11113300-09-CLD,22.642500000000002
11113300-09-EXT-DAMMED,25.15
11113300-09-NOR,18.359999999999996
11113300-09-OYS,19.1
11113300-09-THB,21.48
11113300-09-WAB,11.98
11113300-09A-PMI,20.625
11113300-09T-AND,18.60625
11113300-10-AMM,19.025
11113300-10-BLM,17.37142857142857
11113300-10-CCH,24.0
11113300-10-ISR,15.52
11113300-10-OYS,19.6125
11113300-11-CCH,23.25
11113300-11-ISG,20.75
11113300-11-LMP,23.53333333333333
11113300-11-SAC,22.099999999999998
11113300-11-WNC,15.95
11113300-11A-AND,18.413333333333338
11113300-11A-PMI,19.942857142857143
11113300-12-BLM,17.62
11113300-12-CCH,22.950000000000003
11113300-12-EXT,23.875
11113300-12-ISG,23.9
11113300-12-SAC,21.060000000000002
11113300-12-SGR,16.6
11113300-12-WAB,17.315
11113300-12A-EXT,22.628571428571433
11113300-12A-LMP,22.78333333333333
11113300-13-AMM,21.425
11113300-13-EXT,23.125
11113300-13-OYS,19.566666666666666
11113300-13A-OYS,18.525
11113300-13F-LMP,22.3125
11113300-14-EXT,23.56
11113300-14-ISR,15.679999999999998
11113300-15-BLM,19.619999999999997
11113300-15-CCH,19.915
11113300-15-EXT,19.3
11113300-15-LMP,22.52857142857143
11113300-15-PMI,18.36923076923077
11113300-15A-ASH,20.683333333333334
11113300-15C-OYS,17.67142857142857
11113300-15J-AMM,21.333333333333332
11113300-16-ASH,19.23
11113300-16-ISR,15.439999999999998
11113300-16-MER,26.3
11113300-16-WNC,22.6
11113300-1672-004,9.066666666666666
11113300-1672-006,10.833333333333334
11113300-16A-ASH,18.042857142857144
11113300-16D-ASH,20.133333333333333
11113300-17-ISR,15.228571428571428
11113300-17-LMP,23.9
11113300-18-ASH,20.328571428571426
11113300-18-CCH,20.866666666666664
11113300-18-PMI,18.7375
11113300-19-CCH,23.0
11113300-19-ISR,15.483333333333333
11113300-20-CTC,20.18
11113300-20-ISR,14.539999999999997
11113300-20-WNC,20.720000000000002
11113300-20A-ASH,19.52857142857143
11113300-21-CCH,23.799999999999997
