uniqid_huc10,RIP_NWALT74_11_huc10,RIP_NWALT74_12_huc10,RIP_NWALT74_21_huc10,RIP_NWALT74_22_huc10,RIP_NWALT74_23_huc10,RIP_NWALT74_24_huc10,RIP_NWALT74_25_huc10,RIP_NWALT74_26_huc10,RIP_NWALT74_27_huc10,RIP_NWALT74_31_huc10,RIP_NWALT74_32_huc10,RIP_NWALT74_33_huc10,RIP_NWALT74_41_huc10,RIP_NWALT74_43_huc10,RIP_NWALT74_44_huc10,RIP_NWALT74_45_huc10,RIP_NWALT74_46_huc10,RIP_NWALT74_50_huc10,RIP_NWALT74_60_huc10
49,0.12,0.01,0.46,0.54,0.03,0.09,0.00,0.76,1.22,0.00,0.78,0.00,0.46,8.69,23.95,2.85,5.95,54.10,0.00
50,0.00,0.00,0.23,0.03,0.37,0.00,0.00,0.23,0.53,0.00,0.99,0.74,0.04,0.01,0.02,0.00,0.05,96.77,0.00
51,0.00,0.22,0.00,0.01,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.08,0.00,1.24,0.93,0.00,10.02,87.34,0.00
52,0.81,0.27,0.20,0.01,0.00,0.00,0.00,0.00,0.20,0.00,0.02,0.00,0.00,34.15,0.70,3.40,55.31,4.93,0.00
53,0.03,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.72,99.19,0.00
54,0.00,0.00,0.17,0.02,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.36,0.08,1.09,0.70,93.36,4.14
55,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.13,0.24,1.81,0.26,95.25,2.25
56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.01,0.00,29.49,70.38,0.00
57,0.01,0.02,0.06,0.02,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.01,0.07,1.19,0.29,4.98,93.09,0.00
58,0.36,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.80,0.10,0.18,9.59,88.54,0.00
59,0.00,0.00,0.79,0.01,0.27,0.02,0.00,0.00,0.21,0.00,0.00,0.00,0.06,14.41,1.49,0.38,30.32,52.05,0.00
60,0.00,0.00,0.38,0.05,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.94,0.00
61,0.05,0.01,0.13,0.01,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,11.53,8.56,3.72,16.18,59.56,0.00
62,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.09,0.00,0.84,99.01,0.00
63,0.00,0.00,0.30,0.01,0.00,0.00,0.00,0.00,0.09,0.00,0.04,0.00,0.00,0.41,0.01,0.00,15.80,83.34,0.00
64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,19.52,80.47,0.00
65,0.28,1.13,0.29,0.02,0.08,0.02,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.91,17.86,2.71,0.26,76.14,0.00
66,0.00,0.00,0.19,0.03,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,4.86,24.50,1.76,18.27,50.15,0.00
67,0.01,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.02,0.00,0.19,0.01,4.81,94.82,0.00
68,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.05,73.44,26.21,0.00
69,1.67,0.66,0.19,0.01,0.01,0.01,0.00,0.00,0.05,0.00,0.00,0.01,0.01,0.05,0.25,0.00,0.17,96.93,0.00
70,0.01,0.01,0.03,0.00,0.02,0.00,0.00,0.01,0.09,0.00,0.23,0.00,0.03,1.76,0.05,0.22,76.07,21.47,0.00
71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.75,52.25,0.00
72,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.01,0.23,0.00,0.02,0.00,0.17,0.82,0.05,0.00,9.54,89.10,0.00
73,0.01,0.18,0.75,0.41,0.03,0.20,0.26,0.75,0.75,0.00,1.27,0.00,0.05,14.58,25.08,1.33,1.57,52.80,0.00
74,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.18,70.39,29.33
75,2.49,0.04,0.11,0.00,0.04,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.01,48.61,1.55,5.64,31.95,9.33,0.00
76,0.12,0.00,0.48,0.08,0.00,0.01,0.00,0.12,0.57,0.00,0.65,0.00,0.00,2.00,16.48,0.37,0.55,76.26,2.32
77,0.06,0.10,1.37,1.66,0.69,0.76,1.22,2.03,2.83,2.29,1.09,0.00,0.00,2.40,2.09,0.26,4.38,76.33,0.44
78,0.58,1.60,0.24,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,29.40,4.57,0.27,40.47,22.71,0.00
79,0.00,0.00,0.18,0.02,0.01,0.00,0.00,0.14,0.06,0.00,0.93,0.00,0.01,0.35,0.06,0.00,0.01,98.24,0.00
80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.88,97.12,0.00
81,3.85,0.86,0.22,0.01,0.00,0.00,0.00,0.02,0.89,0.00,0.93,0.00,0.01,14.83,5.55,3.07,30.58,39.18,0.00
82,3.61,0.14,0.39,0.24,0.04,0.17,0.17,1.09,0.74,0.31,1.51,0.00,0.01,41.00,6.00,2.52,22.94,19.10,0.00
83,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,98.87,0.00
84,0.89,0.64,1.41,4.83,0.73,4.00,1.01,8.59,7.64,20.84,0.88,0.00,0.00,2.44,2.50,0.36,1.14,42.09,0.00
85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
86,0.45,0.00,0.31,0.00,0.00,0.00,0.00,0.08,0.35,0.00,0.60,0.00,0.00,11.04,0.29,0.05,10.05,76.77,0.00
87,0.47,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,15.10,0.81,8.10,40.53,34.59,0.00
88,0.57,0.00,0.28,0.02,0.00,0.00,0.00,0.08,0.27,0.00,0.22,0.00,0.00,3.02,0.23,8.24,37.37,49.71,0.00
89,0.35,0.06,0.07,0.04,0.00,0.00,0.00,0.00,0.24,0.00,0.06,0.00,0.01,2.43,0.03,0.01,2.50,94.22,0.00
90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,99.16,0.00
91,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.06,0.00,0.00,0.00,2.67,96.90,0.00
92,0.00,0.00,0.32,0.00,0.01,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,6.00,0.47,4.15,81.85,7.04,0.00
93,0.76,0.03,0.40,0.49,0.01,0.61,0.00,0.21,2.44,0.00,0.20,0.00,0.01,1.85,3.75,0.57,0.00,87.97,0.71
94,0.16,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.04,14.76,0.16,0.10,42.02,42.57,0.00
95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,99.34,0.00
96,2.25,0.00,0.26,0.04,0.02,0.03,0.00,0.08,0.56,0.00,0.26,0.00,0.03,4.19,3.90,9.74,38.28,40.37,0.00
97,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.47,97.48,0.00
98,0.17,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.06,2.90,0.25,0.04,0.37,95.95,0.00
99,0.43,0.40,0.24,0.01,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.00,9.71,16.98,15.89,18.17,37.52,0.00
100,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.44,99.43,0.05
101,0.44,0.01,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,92.37,7.11
102,0.49,0.00,0.16,0.81,0.10,1.30,0.00,1.28,1.29,13.18,6.82,0.00,0.00,0.69,0.68,0.00,0.11,73.08,0.00
103,0.02,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,99.74,0.00
104,0.02,0.00,0.21,0.13,0.00,0.08,0.00,0.00,0.78,0.00,0.00,0.00,0.00,0.87,0.19,0.18,0.03,97.08,0.45
105,0.09,0.00,0.39,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.04,0.60,98.81,0.00
106,0.17,0.00,0.15,0.01,0.00,0.00,0.00,0.08,0.12,0.00,0.20,0.00,0.02,12.81,0.04,0.05,18.42,67.94,0.00
107,0.03,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.02,0.00,0.00,15.24,84.68,0.00
108,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,99.76,0.00
109,0.01,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.00,0.66,99.23,0.00
110,0.00,0.00,0.62,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.33,4.04,0.00
111,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,1.78,0.17,0.14,0.23,33.41,63.94,0.00
112,0.01,0.00,1.14,0.10,0.00,0.00,0.00,0.56,0.34,0.00,1.72,0.00,0.01,0.28,1.14,0.57,5.66,88.06,0.42
113,0.03,0.05,0.45,0.04,0.00,0.00,0.00,0.08,0.04,0.00,0.62,0.00,0.00,0.16,0.77,0.02,17.87,79.88,0.00
114,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.32,0.06,0.00,3.85,93.83,1.64
115,0.11,0.00,0.29,0.02,0.00,0.00,0.00,0.13,0.15,0.00,0.14,0.00,0.00,0.29,0.10,0.09,0.19,98.24,0.25
116,0.07,0.00,0.01,0.00,0.11,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.96,0.13,0.06,8.05,90.58,0.00
117,0.67,0.00,0.12,0.05,0.11,0.17,0.00,0.27,0.39,0.00,3.92,0.00,0.00,0.77,7.33,8.82,18.10,59.28,0.00
118,0.17,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.06,0.00,15.07,84.64,0.00
119,1.31,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,11.80,86.83,0.00
120,1.52,1.91,0.00,0.08,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.35,1.28,29.16,65.61,0.00
121,0.04,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.03,0.59,1.15,31.17,66.83,0.00
122,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00
123,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,5.03,94.96,0.00
124,0.11,0.00,0.15,0.00,0.02,0.00,0.00,0.00,0.26,0.00,0.13,0.00,0.00,4.56,0.84,0.03,16.53,77.37,0.00
125,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.94,0.00
126,0.02,0.00,0.89,0.03,0.05,0.02,0.00,0.00,0.12,0.00,0.00,0.00,0.02,0.02,0.01,1.54,18.63,78.66,0.00
127,0.05,0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,5.68,0.02,0.34,49.56,44.18,0.00
128,0.34,0.05,0.32,0.17,0.01,0.24,0.00,1.23,0.59,0.00,1.85,0.00,0.00,0.03,0.00,0.08,0.00,87.39,7.70
129,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.02,0.00,0.00,7.75,92.16,0.00
130,0.02,0.00,0.06,0.00,0.03,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,99.74,0.00
131,0.05,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,9.28,90.58,0.00
132,0.00,0.00,0.58,0.03,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.14,0.37,0.09,0.00,17.16,81.57,0.00
133,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.11,42.73,0.00
134,0.95,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,75.80,11.60,2.59,6.13,2.74,0.00
135,0.09,0.00,0.75,0.01,0.15,0.00,0.00,0.01,0.01,0.00,0.23,0.05,0.08,0.00,0.00,0.00,13.90,84.72,0.00
136,0.62,0.01,0.55,0.04,0.00,0.05,0.00,0.15,0.23,0.00,0.31,0.00,0.00,30.26,9.13,5.50,46.22,6.92,0.00
137,0.62,0.00,0.38,0.03,0.00,0.03,0.00,0.03,0.30,0.00,0.42,0.00,0.00,2.44,0.25,5.46,42.45,47.60,0.00
138,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,2.34,97.56,0.00
139,0.01,0.00,0.84,0.00,0.01,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.07,0.00,0.00,14.57,84.47,0.00
140,0.16,0.01,0.48,0.11,0.06,0.00,0.00,0.15,0.19,0.00,0.72,0.00,5.50,0.00,0.00,0.00,0.00,92.61,0.00
141,0.96,0.12,0.16,0.11,0.04,0.01,0.04,0.03,0.12,0.02,0.16,0.00,0.00,10.38,10.60,0.60,0.03,76.63,0.00
142,0.00,0.00,0.19,0.03,0.00,0.01,0.00,0.29,0.01,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,99.04,0.00
143,1.56,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.36,61.00,0.00
144,0.14,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.05,89.80,0.00
145,1.66,0.00,0.23,0.69,0.21,0.00,0.00,1.01,0.28,0.00,2.95,0.00,0.00,0.03,0.00,0.00,0.43,92.52,0.00
146,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,97.66,1.36,0.00
147,0.02,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.17,1.85,0.56,0.00,95.88,1.28
148,0.03,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.58,0.01,0.21,0.00,8.74,90.20,0.00
149,0.11,0.00,0.28,0.12,0.00,0.05,0.00,0.33,0.38,0.00,1.15,0.00,0.00,4.57,0.14,0.00,0.05,92.78,0.04
150,0.24,0.00,0.22,0.10,0.18,0.04,0.00,0.37,0.28,0.00,0.75,0.00,0.00,41.69,0.98,0.82,28.15,26.16,0.00
151,3.07,0.00,1.07,0.56,0.20,1.21,0.04,0.95,1.01,6.24,1.40,0.56,0.07,14.63,8.55,6.23,30.89,23.29,0.00
152,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.04,0.03,71.16,28.51,0.00
153,0.08,0.01,0.37,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.24,3.63,1.34,6.67,87.51,0.00
154,0.95,0.01,0.22,0.01,0.01,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,16.91,30.04,4.26,12.73,34.56,0.00
155,1.49,0.08,0.16,0.02,0.00,0.01,0.00,0.07,0.23,0.00,0.05,0.01,0.00,62.61,1.32,0.51,30.69,2.75,0.00
156,0.37,0.43,0.15,0.01,0.00,0.00,0.00,0.03,0.15,0.00,0.07,0.00,0.01,8.38,29.17,1.16,1.14,58.93,0.00
157,0.11,0.02,0.34,0.01,0.03,0.00,0.00,0.02,0.25,0.00,0.04,0.00,0.00,0.08,0.31,0.22,0.50,97.13,0.93
158,2.01,0.29,0.49,0.54,0.04,0.01,0.00,0.69,0.75,0.00,2.69,0.00,0.02,3.22,1.93,0.04,10.31,76.97,0.00
159,0.46,0.00,0.72,0.03,0.01,0.12,0.00,0.03,0.16,0.00,0.31,0.00,0.00,0.30,0.23,0.33,0.73,96.58,0.00
160,0.00,0.00,0.84,0.23,0.39,0.01,0.00,0.21,0.08,0.00,5.77,0.15,0.00,0.00,0.00,0.00,2.16,90.17,0.00
161,0.30,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,1.33,1.00,2.47,23.40,71.42,0.00
162,0.12,0.08,0.19,0.00,0.02,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,7.83,0.28,0.18,55.72,35.42,0.00
163,0.51,1.80,0.31,0.18,0.00,0.00,0.00,0.21,0.13,0.00,0.38,0.00,0.00,50.58,1.23,1.83,36.36,6.48,0.00
164,0.07,0.00,0.24,0.01,0.00,0.00,0.00,0.05,0.05,0.00,0.26,0.00,0.00,0.16,2.47,1.79,10.89,84.02,0.00
165,0.06,0.82,0.36,0.08,0.02,0.00,0.00,0.21,0.30,0.12,0.08,0.00,0.00,11.11,31.19,1.73,2.64,51.29,0.00
166,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.59,33.29,0.00
167,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.42,2.48
168,0.07,0.13,5.00,7.55,4.88,5.82,4.78,5.31,2.08,7.74,4.59,0.01,0.01,1.88,1.00,0.00,0.35,48.79,0.00
169,3.55,0.00,0.59,0.10,0.04,0.00,0.00,0.21,0.18,0.00,0.84,0.00,0.00,17.66,0.76,11.79,47.86,16.42,0.00
170,0.11,0.07,1.74,2.56,0.27,2.26,0.13,3.09,1.73,4.28,3.18,0.00,0.09,3.20,1.61,0.11,0.17,75.40,0.02
171,0.67,0.03,0.01,0.01,0.00,0.02,0.00,0.00,0.18,0.00,0.02,0.08,0.00,2.18,0.19,5.36,27.73,63.53,0.00
